"recipeId","slug","titleFa","titleEn","country","cityRegion","sourceGroup","dishType","culinaryClass","ingredientCount","stepCount","grisCompleteness","notRuledReason","priority","recommendedAction"
"garnish_recipe_fa_870_d37ad654","albaloo-polo-ba-morgh","آلبالو پلو با مرغ یا گوشت","Albaloo Polo Ba Morgh","ایران","","phase-one-v0.6.1","rice|main_course","cooked","15","8","complete","No source-backed rule yet.","P1_FAMOUS_REGIONAL","SOURCE_REVIEW_REQUIRED"
"garnish_recipe_intl_095_c9024579","avgolemono","آوگولمونو","Avgolemono","یونان","","international-core-150-v0.6.0","soup","cooked","8","5","complete","No source-backed rule yet.","P2_NORMAL_COOKED","SOURCE_REVIEW_REQUIRED"
"garnish_recipe_intl_112_cb59927d","eton-mess","اتن مس","Eton Mess","international","","international-core-150-v0.6.0","dessert","dessert","6","5","complete","No source-backed rule yet.","P3_SIMPLE_OR_NON_COOKING","LOW_RISK_RULE_ONLY"
"garnish_recipe_intl_028_ecdcc65f","stamppot","استامپوت (پوره سیب‌زمینی و کلم ترش)","Stamppot","هلند","","international-core-150-v0.6.0","main_course","cooked","8","5","complete","No source-backed rule yet.","P2_NORMAL_COOKED","SOURCE_REVIEW_REQUIRED"
"garnish_recipe_fa_868_c97331a5","estamboli-polo","استانبولی پلو بدون گوشت","Estamboli Polo","ایران","","phase-one-v0.6.1","rice|main_course|vegetarian","cooked","10","7","complete","No source-backed rule yet.","P1_FAMOUS_REGIONAL","SOURCE_REVIEW_REQUIRED"
"garnish_recipe_intl_123_e8fa3267","spaghetti-al-limone","اسپاگتی آل لیمونه","Spaghetti Al Limone","ایتالیا","","international-core-150-v0.6.0","main_course|pasta","cooked","8","5","complete","No source-backed rule yet.","P2_NORMAL_COOKED","SOURCE_REVIEW_REQUIRED"
"garnish_recipe_intl_062_ce31c267","spaghetti-aglio-e-olio","اسپاگتی سیر و روغن","Spaghetti Aglio E Olio","ایتالیا","","international-core-150-v0.6.0","main_course|pasta","cooked","6","5","complete","No source-backed rule yet.","P2_NORMAL_COOKED","SOURCE_REVIEW_REQUIRED"
"garnish_recipe_intl_069_b980b37b","apple-strudel","اشترودل سیب","Apple Strudel","international","","international-core-150-v0.6.0","dessert|baked","dessert","9","5","complete","No source-backed rule yet.","P3_SIMPLE_OR_NON_COOKING","LOW_RISK_RULE_ONLY"
"garnish_recipe_fa_1334_8963bd85","meat-strudel","اشترودل گوشت","Meat Strudel","ایران","","phase-one-v0.6.1","main","cooked","13","5","complete","No source-backed rule yet.","P2_NORMAL_COOKED","SOURCE_REVIEW_REQUIRED"
"garnish_recipe_fa_1072_b55bdfe7","eshkeneh","اشکنه","Eshkeneh","ایران","","phase-one-v0.6.1","main","cooked","9","6","complete","No source-backed rule yet.","P2_NORMAL_COOKED","SOURCE_REVIEW_REQUIRED"
"garnish_recipe_intl_012_46d4828e","imam-bayildi","امام بایلدی","Imam Bayildi","international","","international-core-150-v0.6.0","main_course|vegetable_dish","cooked","9","5","complete","No source-backed rule yet.","P2_NORMAL_COOKED","SOURCE_REVIEW_REQUIRED"
"garnish_recipe_fa_121_b6f01192","omelet-rob","املت رب","Omelet Rob","ایران","","phase-one-v0.6.1","main_course","cooked","6","6","complete","No source-backed rule yet.","P2_NORMAL_COOKED","SOURCE_REVIEW_REQUIRED"
"garnish_recipe_fa_113_2a1debd0","anar-polo-shirazi","انارپلو شیرازی","Anar Polo Shirazi","ایران","شیراز","phase-one-v0.6.1","rice|main_course","cooked","15","5","complete","No source-backed rule yet.","P1_FAMOUS_REGIONAL","SOURCE_REVIEW_REQUIRED"
"garnish_recipe_intl_033_8acac046","eggplant-parmigiana","بادمجان پارمیجانا","Eggplant Parmigiana","ایتالیا","","international-core-150-v0.6.0","main_course|baked","cooked","11","5","complete","No source-backed rule yet.","P0_CANONICAL_HIGH_RISK","SOURCE_REVIEW_REQUIRED"
"garnish_recipe_fa_862_dbf3d4d5","baghali-polo-ba-goosht","باقالی پلو با گوشت","Baghali Polo Ba Goosht","ایران","","phase-one-v0.6.1","rice|main_course","cooked","12","7","complete","Tier 1 canonical dish needs source-backed rule.","P1_FAMOUS_REGIONAL","SOURCE_REVIEW_REQUIRED"
"garnish_recipe_fa_1224_c65df148","baghali-ghatogh","باقلاقاتُق","Baghali Ghatogh","ایران","گیلان","phase-one-v0.6.1","main","cooked","9","6","complete","No source-backed rule yet.","P0_CANONICAL_HIGH_RISK","SOURCE_REVIEW_REQUIRED"
"garnish_recipe_intl_078_c3975f3a","baklava","باقلوا","Baklava","international","","international-core-150-v0.6.0","dessert|baked","dessert","8","5","complete","No source-backed rule yet.","P3_SIMPLE_OR_NON_COOKING","LOW_RISK_RULE_ONLY"
"garnish_recipe_fa_90_85d9aaf0","beryani-isfahan","بریانی اصفهان","Beryani Isfahan","ایران","اصفهان","phase-one-v0.6.1","main_course","cooked","10","6","complete","Tier 1 canonical dish needs source-backed rule.","P0_CANONICAL_HIGH_RISK","SOURCE_REVIEW_REQUIRED"
"garnish_recipe_fa_96_730b7817","boz-ghormeh-kermani","بزقرمه کرمانی","Boz Ghormeh Kermani","ایران","کرمان","phase-one-v0.6.1","stew","cooked","10","6","complete","Tier 1 canonical dish needs source-backed rule.","P1_FAMOUS_REGIONAL","SOURCE_REVIEW_REQUIRED"
"garnish_recipe_intl_066_d22397d4","borscht","بورش","Borscht","international","","international-core-150-v0.6.0","soup","cooked","13","5","complete","No source-backed rule yet.","P2_NORMAL_COOKED","SOURCE_REVIEW_REQUIRED"
"garnish_recipe_intl_124_ee006e03","bistecca-alla-fiorentina","بیستکا آلا فیورنتینا","Bistecca Alla Fiorentina","international","","international-core-150-v0.6.0","main_course|grilled","cooked","7","5","complete","No source-backed rule yet.","P0_CANONICAL_HIGH_RISK","SOURCE_REVIEW_REQUIRED"
"garnish_recipe_intl_065_d91803a7","beef-stroganoff","بیف استروگانف","Beef Stroganoff","international","","international-core-150-v0.6.0","main_course","cooked","10","5","complete","No source-backed rule yet.","P0_CANONICAL_HIGH_RISK","SOURCE_REVIEW_REQUIRED"
"garnish_recipe_intl_140_e00e3df2","tarta-de-santiago","تارتا د سانتیاگو","Tarta De Santiago","اسپانیا","","international-core-150-v0.6.0","dessert|baked","dessert","6","5","complete","No source-backed rule yet.","P3_SIMPLE_OR_NON_COOKING","LOW_RISK_RULE_ONLY"
"garnish_recipe_fa_1276_cdef73d2","tas-kabab","تاس‌کباب","Tas Kabab","ایران","","phase-one-v0.6.1","main","cooked","12","6","complete","Tier 1 canonical dish needs source-backed rule.","P1_FAMOUS_REGIONAL","SOURCE_REVIEW_REQUIRED"
"garnish_recipe_intl_009_ab044ed1","tabbouleh","تبوله","Tabbouleh","international","","international-core-150-v0.6.0","salad|appetizer","snack_or_non_cooking","9","5","complete","No source-backed rule yet.","P3_SIMPLE_OR_NON_COOKING","LOW_RISK_RULE_ONLY"
"garnish_recipe_fa_1084_8f35205e","tahchin-morgh","ته چین مرغ","Tahchin Morgh","ایران","","phase-one-v0.6.1","main","cooked","11","6","complete","No source-backed rule yet.","P0_CANONICAL_HIGH_RISK","SOURCE_REVIEW_REQUIRED"
"garnish_recipe_fa_115_ba80ef7c","tahandaz-morgh","ته‌انداز مرغ","Tahandaz Morgh","ایران","","phase-one-v0.6.1","rice|main_course","cooked","10","5","complete","No source-backed rule yet.","P2_NORMAL_COOKED","SOURCE_REVIEW_REQUIRED"
"garnish_recipe_fa_164_8367ec24","tahchin-goosht-bademjan","ته‌چین گوشت و بادمجان","Tahchin Goosht Bademjan","ایران","","phase-one-v0.6.1","rice|main_course","cooked","10","6","complete","No source-backed rule yet.","P2_NORMAL_COOKED","SOURCE_REVIEW_REQUIRED"
"garnish_recipe_intl_111_248a08a4","toad-in-the-hole","تود این د هول","Toad In The Hole","international","","international-core-150-v0.6.0","main_course|baked","non_cooking_component","7","5","complete","No source-backed rule yet.","P3_SIMPLE_OR_NON_COOKING","LOW_RISK_RULE_ONLY"
"garnish_recipe_intl_022_ac4d3143","tortilla-espanola","تورتیای اسپانیایی","Tortilla Espanola","اسپانیا","","international-core-150-v0.6.0","egg_dish|main_course","cooked","5","5","complete","No source-backed rule yet.","P0_CANONICAL_HIGH_RISK","SOURCE_REVIEW_REQUIRED"
"garnish_recipe_intl_031_7e902faf","tiramisu","تیرامیسو","Tiramisu","ایتالیا","","international-core-150-v0.6.0","dessert","dessert","7","5","complete","No source-backed rule yet.","P0_CANONICAL_HIGH_RISK","SOURCE_REVIEW_REQUIRED"
"garnish_recipe_fa_216_1bfdfe55","saffron-joojeh-kabab","جوجه کباب زعفرانی","Saffron Joojeh Kabab","ایران","","phase-one-v0.6.1","grilled|main_course","cooked","11","6","complete","Tier 1 canonical dish needs source-backed rule.","P1_FAMOUS_REGIONAL","SOURCE_REVIEW_REQUIRED"
"garnish_recipe_fa_1290_f5fc285f","halim-bademjan","حلیم بادمجان","Halim Bademjan","ایران","","phase-one-v0.6.1","main","cooked","12","6","complete","No source-backed rule yet.","P2_NORMAL_COOKED","SOURCE_REVIEW_REQUIRED"
"garnish_recipe_fa_1238_296fbec3","halim-gandom","حلیم گندم","Halim Gandom","ایران","","phase-one-v0.6.1","main","cooked","7","6","complete","No source-backed rule yet.","P2_NORMAL_COOKED","SOURCE_REVIEW_REQUIRED"
"garnish_recipe_fa_2014_249aa268","italian-pizza-dough","خمیر پیتزا ایتالیایی","Italian Pizza Dough","ایتالیا","","phase-one-v0.6.1","main|baked","non_cooking_component","5","5","complete","No source-backed rule yet.","P3_SIMPLE_OR_NON_COOKING","LOW_RISK_RULE_ONLY"
"garnish_recipe_fa_1343_5bf8151c","chicken-and-mushroom","خوراک مرغ و قارچ","Chicken And Mushroom","ایران","","phase-one-v0.6.1","main","cooked","13","5","complete","No source-backed rule yet.","P2_NORMAL_COOKED","SOURCE_REVIEW_REQUIRED"
"garnish_recipe_fa_101_877a41d3","khoresh-aloo","خورش آلو","Khoresh Aloo","ایران","","phase-one-v0.6.1","stew","cooked","10","5","complete","No source-backed rule yet.","P1_FAMOUS_REGIONAL","SOURCE_REVIEW_REQUIRED"
"garnish_recipe_intl_098_0fbf4374","irish-stew","خورش ایرلندی","Irish Stew","international","","international-core-150-v0.6.0","main_course|stew","cooked","9","5","complete","No source-backed rule yet.","P1_FAMOUS_REGIONAL","SOURCE_REVIEW_REQUIRED"
"garnish_recipe_fa_190_49162ac2","khoresh-morgh-qeysi","خورش مرغ قیسی","Khoresh Morgh Qeysi","ایران","","phase-one-v0.6.1","stew","cooked","10","5","complete","No source-backed rule yet.","P1_FAMOUS_REGIONAL","SOURCE_REVIEW_REQUIRED"
"garnish_recipe_fa_1251_3f83f105","khoresh-bademjan","خورشت بادمجان","Khoresh Bademjan","ایران","","phase-one-v0.6.1","main","cooked","11","6","complete","No source-backed rule yet.","P1_FAMOUS_REGIONAL","SOURCE_REVIEW_REQUIRED"
"garnish_recipe_fa_99_14f1018b","khoresh-rivas","خورشت ریواس","Khoresh Rivas","ایران","","phase-one-v0.6.1","stew","cooked","9","6","complete","No source-backed rule yet.","P1_FAMOUS_REGIONAL","SOURCE_REVIEW_REQUIRED"
"garnish_recipe_fa_228_09a631f3","fesenjan","خورشت فسنجان","Fesenjan","ایران","","phase-one-v0.6.1","stew|main_course","cooked","10","7","complete","Tier 1 canonical dish needs source-backed rule.","P0_CANONICAL_HIGH_RISK","SOURCE_REVIEW_REQUIRED"
"garnish_recipe_fa_224_c9d0355d","ghormeh-sabzi","خورشت قرمه‌سبزی","Ghormeh Sabzi","ایران","","phase-one-v0.6.1","stew|main_course","cooked","10","7","complete","Tier 1 canonical dish needs source-backed rule.","P0_CANONICAL_HIGH_RISK","SOURCE_REVIEW_REQUIRED"
"garnish_recipe_fa_98_601bddc6","khoresh-havij-tabrizi","خورشت هویج تبریزی","Khoresh Havij Tabrizi","ایران","تبریز","phase-one-v0.6.1","stew","cooked","10","6","complete","No source-backed rule yet.","P1_FAMOUS_REGIONAL","SOURCE_REVIEW_REQUIRED"
"garnish_recipe_fa_1261_99e02971","dampokhtak-mash-polo","دمپختک (ماش‌پلو تهرانی)","Dampokhtak Mash Polo","ایران","تهران","phase-one-v0.6.1","main","cooked","8","5","complete","No source-backed rule yet.","P1_FAMOUS_REGIONAL","SOURCE_REVIEW_REQUIRED"
"garnish_recipe_fa_230_332dd922","abgoosht","دیزی (آبگوشت)","Abgoosht","ایران","","phase-one-v0.6.1","stew|soup|main_course","cooked","13","7","complete","No source-backed rule yet.","P0_CANONICAL_HIGH_RISK","SOURCE_REVIEW_REQUIRED"
"garnish_recipe_fa_1280_13a22528","reshteh-polo-shirazi","رشته‌پلو شیرازی","Reshteh Polo Shirazi","ایران","شیراز","phase-one-v0.6.1","main","cooked","11","5","complete","No source-backed rule yet.","P1_FAMOUS_REGIONAL","SOURCE_REVIEW_REQUIRED"
"garnish_recipe_fa_878_85458912","zereshk-polo-ba-morgh","زرشک پلو با مرغ","Zereshk Polo Ba Morgh","ایران","","phase-one-v0.6.1","main","cooked","12","5","complete","Tier 1 canonical dish needs source-backed rule.","P0_CANONICAL_HIGH_RISK","SOURCE_REVIEW_REQUIRED"
"garnish_recipe_fa_1272_b3180a59","zireh-polo-kermani","زیره‌پلو کرمانی","Zireh Polo Kermani","ایران","کرمان","phase-one-v0.6.1","main","cooked","10","5","complete","No source-backed rule yet.","P1_FAMOUS_REGIONAL","SOURCE_REVIEW_REQUIRED"
"garnish_recipe_fa_1816_dec0afbb","cream-of-chicken-soup","سوپ شیر","Cream Of Chicken Soup","ایران","","phase-one-v0.6.1","main","cooked","14","5","complete","No source-backed rule yet.","P2_NORMAL_COOKED","SOURCE_REVIEW_REQUIRED"
"garnish_recipe_intl_046_0c90256b","red-lentil-soup","سوپ عدس قرمز ترکی","Red Lentil Soup","international","","international-core-150-v0.6.0","soup","cooked","10","5","complete","No source-backed rule yet.","P2_NORMAL_COOKED","SOURCE_REVIEW_REQUIRED"
"garnish_recipe_intl_014_33ae62d8","miso-soup","سوپ میسو","Miso Soup","international","","international-core-150-v0.6.0","soup","cooked","5","5","complete","No source-backed rule yet.","P2_NORMAL_COOKED","SOURCE_REVIEW_REQUIRED"
"garnish_recipe_intl_032_a150e5b1","minestrone-soup","سوپ مینسترونه","Minestrone Soup","ایتالیا","","international-core-150-v0.6.0","soup","cooked","12","5","complete","No source-backed rule yet.","P2_NORMAL_COOKED","SOURCE_REVIEW_REQUIRED"
"garnish_recipe_intl_021_6914ecb7","french-onion-soup","سوپ پیاز فرانسوی","French Onion Soup","international","","international-core-150-v0.6.0","soup","cooked","10","5","complete","No source-backed rule yet.","P0_CANONICAL_HIGH_RISK","SOURCE_REVIEW_REQUIRED"
"garnish_recipe_fa_1767_4e6ed616","shami-kabab-lorestan","شامی کباب لرستانی","Shami Kabab Lorestan","ایران","لرستان","phase-one-v0.6.1","main","cooked","10","5","complete","Tier 1 canonical dish needs source-backed rule.","P1_FAMOUS_REGIONAL","SOURCE_REVIEW_REQUIRED"
"garnish_recipe_fa_154_cdfcadf7","sholeh-mashhadi","شله مشهدی","Sholeh Mashhadi","ایران","مشهد","phase-one-v0.6.1","main_course|soup","cooked","11","5","complete","No source-backed rule yet.","P1_FAMOUS_REGIONAL","SOURCE_REVIEW_REQUIRED"
"garnish_recipe_fa_1250_cb9a971c","shirin-polo","شیرین‌پلو (مرصع‌پلو)","Shirin Polo","ایران","","phase-one-v0.6.1","main","cooked","13","5","complete","No source-backed rule yet.","P1_FAMOUS_REGIONAL","SOURCE_REVIEW_REQUIRED"
"garnish_recipe_fa_864_37673192","adas-polo-ba-goosht","عدس‌پلو با گوشت","Adas Polo Ba Goosht","ایران","","phase-one-v0.6.1","rice|main_course","cooked","13","7","complete","No source-backed rule yet.","P1_FAMOUS_REGIONAL","SOURCE_REVIEW_REQUIRED"
"garnish_recipe_intl_128_22442750","fatteh","فته","Fatteh","international","","international-core-150-v0.6.0","main_course","cooked","7","5","complete","No source-backed rule yet.","P2_NORMAL_COOKED","SOURCE_REVIEW_REQUIRED"
"garnish_recipe_fa_129_5d8a7866","ghanbar-polo-shirazi","قنبرپلو شیرازی","Ghanbar Polo Shirazi","ایران","شیراز","phase-one-v0.6.1","rice|main_course","cooked","10","6","complete","No source-backed rule yet.","P1_FAMOUS_REGIONAL","SOURCE_REVIEW_REQUIRED"
"garnish_recipe_fa_2054_be491f02","gheymeh-sibzamini","قیمه سیب زمینی","Gheymeh Sibzamini","ایران","","phase-one-v0.6.1","main","cooked","12","5","complete","Tier 1 canonical dish needs source-backed rule.","P2_NORMAL_COOKED","SOURCE_REVIEW_REQUIRED"
"garnish_recipe_fa_1239_1be04a64","gheymeh-nesar","قیمه نثار","Gheymeh Nesar","ایران","","phase-one-v0.6.1","main","cooked","15","5","complete","Tier 1 canonical dish needs source-backed rule.","P1_FAMOUS_REGIONAL","SOURCE_REVIEW_REQUIRED"
"garnish_recipe_fa_1323_cf6bcb5c","lasagna","لازانیا","Lasagna","ایران","","phase-one-v0.6.1","main","cooked","13","6","complete","No source-backed rule yet.","P2_NORMAL_COOKED","SOURCE_REVIEW_REQUIRED"
"garnish_recipe_fa_866_9986ddf5","loobia-polo-ba-goosht","لوبیا پلو با گوشت چرخ‌کرده","Loobia Polo Ba Goosht","ایران","","phase-one-v0.6.1","rice|main_course","cooked","12","7","complete","No source-backed rule yet.","P1_FAMOUS_REGIONAL","SOURCE_REVIEW_REQUIRED"
"garnish_recipe_intl_025_b9bdfd91","fish-and-chips","ماهی و چیپس","Fish And Chips","international","","international-core-150-v0.6.0","main_course|fried","cooked","8","5","complete","No source-backed rule yet.","P2_NORMAL_COOKED","SOURCE_REVIEW_REQUIRED"
"garnish_recipe_fa_1195_4b547f19","persian-makaroni","ماکارونی","Persian Makaroni","ایران","","phase-one-v0.6.1","main","cooked","10","5","complete","No source-backed rule yet.","P2_NORMAL_COOKED","SOURCE_REVIEW_REQUIRED"
"garnish_recipe_fa_1296_5d4fca2c","morgh-torsh-gilani","مرغ ترش گیلانی","Morgh Torsh Gilani","ایران","گیلان","phase-one-v0.6.1","main","cooked","12","6","complete","No source-backed rule yet.","P1_FAMOUS_REGIONAL","SOURCE_REVIEW_REQUIRED"
"garnish_recipe_fa_1333_db68905d","fried-chicken","مرغ سوخاری","Fried Chicken","ایران","","phase-one-v0.6.1","main","cooked","13","5","complete","No source-backed rule yet.","P2_NORMAL_COOKED","SOURCE_REVIEW_REQUIRED"
"garnish_recipe_intl_101_b76754a7","piri-piri-chicken","مرغ پیری‌پیری","Piri Piri Chicken","پرتغال","","international-core-150-v0.6.0","main_course|grilled","cooked","10","5","complete","No source-backed rule yet.","P2_NORMAL_COOKED","SOURCE_REVIEW_REQUIRED"
"garnish_recipe_intl_127_65e78281","maqluba","مقلوبه","Maqluba","international","","international-core-150-v0.6.0","main_course","cooked","13","5","complete","No source-backed rule yet.","P2_NORMAL_COOKED","SOURCE_REVIEW_REQUIRED"
"garnish_recipe_fa_1225_159208a2","mirza-ghasemi","میرزا قاسمی","Mirza Ghasemi","ایران","گیلان","phase-one-v0.6.1","main","cooked","9","6","complete","Tier 1 canonical dish needs source-backed rule.","P2_NORMAL_COOKED","SOURCE_REVIEW_REQUIRED"
"garnish_recipe_fa_103_066b318c","vavishka","واویشکا","Vavishka","ایران","گیلان","phase-one-v0.6.1","main_course","cooked","9","6","complete","No source-backed rule yet.","P2_NORMAL_COOKED","SOURCE_REVIEW_REQUIRED"
"garnish_recipe_intl_091_7dcadc00","pasta-all-arrabbiata","پاستا آلا آرابیاتا","Pasta All Arrabbiata","ایتالیا","","international-core-150-v0.6.0","main_course|pasta","cooked","8","5","complete","No source-backed rule yet.","P0_CANONICAL_HIGH_RISK","SOURCE_REVIEW_REQUIRED"
"garnish_recipe_intl_092_3046ff5e","pasta-alla-norma","پاستا آلا نورما","Pasta Alla Norma","international","","international-core-150-v0.6.0","main_course|pasta","cooked","9","5","complete","No source-backed rule yet.","P0_CANONICAL_HIGH_RISK","SOURCE_REVIEW_REQUIRED"
"garnish_recipe_fa_2103_d26d79d5","alfredo-pasta","پاستا آلفردو","Alfredo Pasta","international","","phase-one-v0.6.1","main|pasta","cooked","12","5","complete","No source-backed rule yet.","P2_NORMAL_COOKED","SOURCE_REVIEW_REQUIRED"
"garnish_recipe_intl_094_a48d62c1","pasta-e-fagioli","پاستا ای فاجولی","Pasta E Fagioli","ایتالیا","","international-core-150-v0.6.0","main_course|soup","cooked","12","5","complete","No source-backed rule yet.","P2_NORMAL_COOKED","SOURCE_REVIEW_REQUIRED"
"garnish_recipe_fa_2064_b5a2a37a","pesto-pasta","پاستا پستو","Pesto Pasta","international","","phase-one-v0.6.1","main|pasta","cooked","10","5","complete","No source-backed rule yet.","P2_NORMAL_COOKED","SOURCE_REVIEW_REQUIRED"
"garnish_recipe_intl_068_c9d33098","pastel-de-nata","پاستل د ناتا","Pastel De Nata","پرتغال","","international-core-150-v0.6.0","dessert|baked","dessert","9","5","complete","No source-backed rule yet.","P3_SIMPLE_OR_NON_COOKING","LOW_RISK_RULE_ONLY"
"garnish_recipe_intl_063_30b082f3","panna-cotta","پانا کوتا","Panna Cotta","ایتالیا","","international-core-150-v0.6.0","dessert|no_bake","dessert","6","5","complete","No source-backed rule yet.","P3_SIMPLE_OR_NON_COOKING","LOW_RISK_RULE_ONLY"
"garnish_recipe_intl_087_afad4d60","paella","پایلا","Paella","اسپانیا","","international-core-150-v0.6.0","main_course|rice","cooked","14","5","complete","Tier 1 canonical dish needs source-backed rule.","P0_CANONICAL_HIGH_RISK","SOURCE_REVIEW_REQUIRED"
"garnish_recipe_intl_086_a2184266","profiteroles","پروفیترول","Profiteroles","international","","international-core-150-v0.6.0","dessert|baked","dessert","9","5","complete","No source-backed rule yet.","P3_SIMPLE_OR_NON_COOKING","LOW_RISK_RULE_ONLY"
"garnish_recipe_intl_061_0bfbb206","polenta-con-funghi","پلنتا با قارچ","Polenta Con Funghi","ایتالیا","","international-core-150-v0.6.0","main_course","cooked","11","5","complete","No source-backed rule yet.","P2_NORMAL_COOKED","SOURCE_REVIEW_REQUIRED"
"garnish_recipe_intl_136_76743d5b","pot-au-feu","پوت‌او‌فو","Pot Au Feu","international","","international-core-150-v0.6.0","main_course|stew","cooked","11","5","complete","No source-backed rule yet.","P2_NORMAL_COOKED","SOURCE_REVIEW_REQUIRED"
"garnish_recipe_intl_052_a57a621f","sticky-toffee-pudding","پودینگ تافی خرما","Sticky Toffee Pudding","international","","international-core-150-v0.6.0","dessert|baked","dessert","10","5","complete","No source-backed rule yet.","P3_SIMPLE_OR_NON_COOKING","LOW_RISK_RULE_ONLY"
"garnish_recipe_intl_118_9ecd21c7","pollo-al-ajillo","پویو آل آخیو","Pollo Al Ajillo","اسپانیا","","international-core-150-v0.6.0","main_course","cooked","10","5","complete","No source-backed rule yet.","P2_NORMAL_COOKED","SOURCE_REVIEW_REQUIRED"
"garnish_recipe_intl_040_7d7b90a1","pierogi","پیروگی لهستانی","Pierogi","لهستان","","international-core-150-v0.6.0","main_course","cooked","9","5","complete","No source-backed rule yet.","P2_NORMAL_COOKED","SOURCE_REVIEW_REQUIRED"
"garnish_recipe_fa_197_dbaa9b9a","chelo-mahicheh","چلو ماهیچه","Chelo Mahicheh","ایران","","phase-one-v0.6.1","main_course|rice","cooked","11","5","complete","No source-backed rule yet.","P2_NORMAL_COOKED","SOURCE_REVIEW_REQUIRED"
"garnish_recipe_fa_235_3d02f3ae","chelo-kabab-koobideh","چلو کباب کوبیده","Chelo Kabab Koobideh","ایران","","phase-one-v0.6.1","grilled|rice|main_course","cooked","10","7","complete","Tier 1 canonical dish needs source-backed rule.","P0_CANONICAL_HIGH_RISK","SOURCE_REVIEW_REQUIRED"
"garnish_recipe_fa_1263_0e8a8255","kaleh-joosh","کاله‌جوش (کله‌جوش)","Kaleh Joosh","ایران","","phase-one-v0.6.1","main","cooked","7","6","complete","No source-backed rule yet.","P2_NORMAL_COOKED","SOURCE_REVIEW_REQUIRED"
"garnish_recipe_fa_86_ffcd0713","kabab-bonab","کباب بناب","Kabab Bonab","ایران","تبریز / بناب","phase-one-v0.6.1","grilled|main_course","cooked","6","6","complete","Tier 1 canonical dish needs source-backed rule.","P1_FAMOUS_REGIONAL","SOURCE_REVIEW_REQUIRED"
"garnish_recipe_fa_1197_73204fa8","kabab-tabei-morgh","کباب تابه‌ای مرغ","Kabab Tabei Morgh","ایران","","phase-one-v0.6.1","main","cooked","9","6","complete","Tier 1 canonical dish needs source-backed rule.","P1_FAMOUS_REGIONAL","SOURCE_REVIEW_REQUIRED"
"garnish_recipe_fa_1196_6cbbd3af","kabab-tabei-goosht","کباب تابه‌ای گوشت","Kabab Tabei Goosht","ایران","","phase-one-v0.6.1","main","cooked","8","6","complete","Tier 1 canonical dish needs source-backed rule.","P1_FAMOUS_REGIONAL","SOURCE_REVIEW_REQUIRED"
