capability,resource_action,OWNER,ADULT,MEMBER,GUEST_SHOPPER,MANAGED_PROFILE,PLAN_VIEWER,PLAN_REVIEWER,OUTSIDER_OR_REMOVED,condition,deny_contract,audit_event
SHOPPING_SESSION_END,Complete or cancel shopping session,ALLOW,ALLOW,CONDITIONAL,CONDITIONAL,DENY,DENY,DENY,DENY,"Member or guest may end only a session they started; owner/adult may end any stale session",404_or_409,SHOPPING_SESSION_ENDED
SHOPPING_DECISION_CREATE,Request unavailable/substitution decision,ALLOW,ALLOW,ALLOW,CONDITIONAL,DENY,DENY,DENY,DENY,"Guest assigned to active session; item in compatible state",404_or_409,SHOPPING_DECISION_REQUESTED
SHOPPING_DECISION_RESOLVE,Approve reject or choose substitution,ALLOW,ALLOW,ALLOW,CONDITIONAL,DENY,DENY,DENY,DENY,"Decision open/unexpired; guest may resolve only if requester explicitly delegated and policy allows; first CAS wins",404_or_409,SHOPPING_DECISION_RESOLVED
SHOPPING_ATTACHMENT_UPLOAD,Upload alternative image,ALLOW,ALLOW,ALLOW,CONDITIONAL,DENY,DENY,DENY,DENY,"Decision is open; uploader can access item; type size signature and scan gates pass",404_or_415,SHOPPING_ATTACHMENT_UPLOADED
PLAN_READ,Read current household meal board,ALLOW,ALLOW,ALLOW,DENY,DENY,CONDITIONAL,CONDITIONAL,DENY,"Share principals see only selected immutable versions and granted field scopes",404,NONE
PLAN_EDIT_DRAFT,Create or edit draft slot directly,ALLOW,ALLOW,DENY,DENY,DENY,DENY,DENY,DENY,"Owner/adult only; board not confirmed/archived; expected board version; recipe visibility passes; member uses PLAN_PROPOSE",404_or_409,MEAL_DRAFT_CHANGED
PLAN_PROPOSE,Create household meal change proposal,ALLOW,ALLOW,ALLOW,DENY,DENY,DENY,CONDITIONAL,DENY,"Reviewer proposal is limited to selected shared version and typed patch schema; no canonical write",404_or_409,MEAL_PROPOSAL_CREATED
PLAN_REACT,React to household proposal,ALLOW,ALLOW,ALLOW,DENY,DENY,DENY,DENY,DENY,"One active reaction per profile; manager may submit a separate managed-profile reaction through delegated endpoint",404,MEAL_REACTION_CHANGED
PLAN_ATTEND_SELF,Set own attendance,ALLOW,ALLOW,ALLOW,DENY,DENY,DENY,DENY,DENY,"Caller acts only for linked profile on current/draft version",404_or_409,MEAL_ATTENDANCE_CHANGED
PLAN_ATTEND_MANAGED,Set managed-profile attendance,CONDITIONAL,CONDITIONAL,DENY,DENY,DENY,DENY,DENY,DENY,"Owner or adult must be designated manager; separate manager-transfer/emergency process grants no attendance write until transfer completes; current slot/board version",404_or_409,MEAL_ATTENDANCE_CHANGED
PLAN_GUEST_COUNT_WRITE,Set slot-level aggregate guest count,ALLOW,ALLOW,ALLOW,DENY,DENY,DENY,DENY,DENY,"Single guestCount on meal slot; integer 0..20; expected slot/board version; creates immutable next plan version",404_or_409,MEAL_GUEST_COUNT_CHANGED
PLAN_CONFIRM,Confirm plan or accept household proposal,ALLOW,ALLOW,DENY,DENY,DENY,DENY,DENY,DENY,"Expected current plan version; immutable next version; deterministic diff produced",404_or_409,MEAL_PLAN_CONFIRMED
PLAN_SHOPPING_APPLY,Apply confirmed plan shopping diff,ALLOW,ALLOW,DENY,DENY,DENY,DENY,DENY,DENY,"Diff pending and based on current version; separate idempotent command; preview hash matches",404_or_409,PLAN_SHOPPING_DIFF_APPLIED
SHARE_CREATE,Create view/review share,ALLOW,ALLOW,DENY,DENY,DENY,DENY,DENY,DENY,"Immutable versions selected; expiry required; sensitive scopes explicitly selected and justified",404,PLAN_SHARE_CREATED
SHARE_SCOPE_CHANGE,Reduce or add share scope,ALLOW,CONDITIONAL,DENY,DENY,DENY,DENY,DENY,DENY,"Adult must be share creator to add scope; owner may reduce/revoke any share; adding sensitive scope requires fresh confirmation",404,PLAN_SHARE_SCOPE_CHANGED
SHARE_REVOKE,Revoke share,ALLOW,CONDITIONAL,DENY,DENY,DENY,DENY,DENY,DENY,"Adult may revoke own share; owner may revoke any share; immediate cache/session invalidation",404,PLAN_SHARE_REVOKED
SHARE_VIEW,Read external shared version,DENY,DENY,DENY,DENY,DENY,CONDITIONAL,CONDITIONAL,DENY,"Bearer token digest valid; share active/unexpired; version selected; response projected by live scopes",404,SHARE_ACCESSED
ADVISOR_COMMENT,Create contextual review comment,DENY,DENY,DENY,DENY,DENY,DENY,CONDITIONAL,DENY,"REVIEW mode; selected version; optional slot belongs to version; rate and length limits",404_or_429,ADVISOR_COMMENT_CREATED
ADVISOR_PROPOSE,Create typed advisor proposal,DENY,DENY,DENY,DENY,DENY,DENY,CONDITIONAL,DENY,"REVIEW mode; selected immutable base version; allowlisted patch; never canonical mutation",404_or_409,ADVISOR_PROPOSAL_CREATED
ADVISOR_PROPOSAL_DECIDE,Accept or reject advisor proposal,ALLOW,ALLOW,DENY,DENY,DENY,DENY,DENY,DENY,"PLAN_CONFIRM capability; share/proposal active; base still current; accept creates new version",404_or_409,ADVISOR_PROPOSAL_DECIDED
NOTIFICATION_PREF_WRITE,Change own notification settings,ALLOW,ALLOW,ALLOW,ALLOW,DENY,DENY,DENY,DENY,"Caller changes only own user preference; guest still receives only permitted session events",404,NOTIFICATION_PREFERENCE_CHANGED
NOTIFICATION_ACTION,Execute deep-linked action,CONDITIONAL,CONDITIONAL,CONDITIONAL,CONDITIONAL,DENY,DENY,DENY,DENY,"Notification is not authority; re-run target capability expiry and expectedVersion checks; idempotency required",404_or_409,NOTIFICATION_ACTION_EXECUTED
