"recipeId","slug","title","sourceGroup","country","province","city","category","ingredientCount","stepCount","grisSectionCount","structuralComplete","culinaryRisk","worstSeverity","issueCount","issues"
"garnish_recipe_fa_148_554e136f","ash-e-anar","آش انار","phase-one-v0.6.1","ایران","","","soup","11","5","18","YES","NOT_RULED","P2","2","P2:WEAK_GRIS_STEPS:بعضی مراحل GRIS کوتاه/کم‌جزئیات‌اند. (6/6) | P3:IRANIAN_LOCALITY_MISSING:غذای ایرانی است اما شهر/استان مشخص ندارد."
"garnish_recipe_fa_78_26989900","ash-torsh-gilani","آش ترش گیلانی","phase-one-v0.6.1","ایران","گیلان","","soup","10","6","16","YES","NOT_RULED","P2","1","P2:WEAK_GRIS_INGREDIENTS:مواد GRIS نقش/نکته خرید/گروه کامل ندارند. (1/10)"
"garnish_recipe_fa_147_3b1b07c5","ash-e-jo","آش جو","phase-one-v0.6.1","ایران","","","soup","10","5","18","YES","NOT_RULED","P2","2","P2:WEAK_GRIS_STEPS:بعضی مراحل GRIS کوتاه/کم‌جزئیات‌اند. (7/7) | P3:IRANIAN_LOCALITY_MISSING:غذای ایرانی است اما شهر/استان مشخص ندارد."
"garnish_recipe_fa_79_792d1196","ash-dandooni","آش دندونی","phase-one-v0.6.1","ایران","","","soup","10","5","18","YES","NOT_RULED","P2","2","P2:WEAK_GRIS_STEPS:بعضی مراحل GRIS کوتاه/کم‌جزئیات‌اند. (6/6) | P3:IRANIAN_LOCALITY_MISSING:غذای ایرانی است اما شهر/استان مشخص ندارد."
"garnish_recipe_fa_1235_f91ccc6d","ash-doogh","آش دوغ","phase-one-v0.6.1","ایران","اردبیل","","main","8","5","16","YES","RULE_PASS","PASS","0",""
"garnish_recipe_fa_1208_434b3a9a","ash-reshteh","آش رشته","phase-one-v0.6.1","ایران","","","main","13","5","16","YES","RULE_PASS","P3","1","P3:IRANIAN_LOCALITY_MISSING:غذای ایرانی است اما شهر/استان مشخص ندارد."
"garnish_recipe_fa_77_3adf94d4","ash-sabzi-shirazi","آش سبزی شیرازی","phase-one-v0.6.1","ایران","فارس","شیراز","soup","9","6","16","YES","NOT_RULED","PASS","0",""
"garnish_recipe_fa_1237_3dff9aba","ash-sholeh-ghalamkar","آش شله قلمکار","phase-one-v0.6.1","ایران","","","main","13","5","16","YES","NOT_RULED","P3","1","P3:IRANIAN_LOCALITY_MISSING:غذای ایرانی است اما شهر/استان مشخص ندارد."
"garnish_recipe_fa_119_2a846a21","ash-shooli-yazdi","آش شولی یزدی","phase-one-v0.6.1","ایران","یزد","یزد","soup","10","6","16","YES","NOT_RULED","PASS","0",""
"garnish_recipe_fa_870_d37ad654","albaloo-polo-ba-morgh","آلبالو پلو با مرغ یا گوشت","phase-one-v0.6.1","ایران","","","rice","15","8","16","YES","NOT_RULED","P3","1","P3:IRANIAN_LOCALITY_MISSING:غذای ایرانی است اما شهر/استان مشخص ندارد."
"garnish_recipe_global_143_088_e5346ddb","alfajores-dulce-de-leche","آلفاخورس با دولسه د لچه","global-143-v0.3","آرژانتین","","","dessert","8","4","18","YES","NOT_RULED","P2","1","P2:WEAK_GRIS_STEPS:بعضی مراحل GRIS کوتاه/کم‌جزئیات‌اند. (6/6)"
"garnish_recipe_global_143_022_a1009be1","smashed-avocado-toast","آووکادو تست له‌شده","global-143-v0.3","نامشخص در داده؛ بین‌المللی","","","breakfast","7","3","18","YES","NOT_RULED","P2","2","P2:WEAK_GRIS_STEPS:بعضی مراحل GRIS کوتاه/کم‌جزئیات‌اند. (5/5) | P2:ORIGIN_WEAK:کشور/مبدا از داده به‌وضوح قابل استخراج نیست."
"garnish_recipe_intl_095_c9024579","avgolemono","آوگولمونو","international-core-150-v0.6.0","یونان","","","soup","8","5","18","YES","NOT_RULED","P2","1","P2:WEAK_GRIS_STEPS:بعضی مراحل GRIS کوتاه/کم‌جزئیات‌اند. (6/6)"
"garnish_recipe_global_143_033_4844ee49","watermelon-agua-fresca","آگوا فرسکای هندوانه","global-143-v0.3","نامشخص در داده؛ بین‌المللی","","","drink","5","4","18","YES","NOT_RULED","P2","1","P2:ORIGIN_WEAK:کشور/مبدا از داده به‌وضوح قابل استخراج نیست."
"garnish_recipe_global_143_031_1302a859","turkish-ayran","آیران ترکی","global-143-v0.3","ترکیه","","","drink","4","3","18","YES","NOT_RULED","PASS","0",""
"garnish_lite_fa_054_40007b8f","iced-matcha-latte","آیس ماچا لاته","lite-food-v0.3","نامشخص در داده؛ بین‌المللی","","","lite_food","2","3","0","YES","NOT_RULED","P2","1","P2:ORIGIN_WEAK:کشور/مبدا از داده به‌وضوح قابل استخراج نیست."
"garnish_lite_fa_064_769340cd","iced-green-tea-with-lemon","آیس چای سبز با لیمو","lite-food-v0.3","نامشخص در داده؛ بین‌المللی","","","lite_food","3","3","0","YES","NOT_RULED","P2","1","P2:ORIGIN_WEAK:کشور/مبدا از داده به‌وضوح قابل استخراج نیست."
"garnish_recipe_intl_112_cb59927d","eton-mess","اتن مس","international-core-150-v0.6.0","بریتانیا","","","dessert","6","5","18","YES","NOT_RULED","P2","2","P2:WEAK_GRIS_STEPS:بعضی مراحل GRIS کوتاه/کم‌جزئیات‌اند. (6/6) | P2:WEAK_GRIS_INGREDIENTS:مواد GRIS نقش/نکته خرید/گروه کامل ندارند. (6/6)"
"garnish_recipe_global_143_052_fd0a302b","salted-edamame","ادامامه نمکی","global-143-v0.3","ژاپن","","","boiled","3","5","18","YES","NOT_RULED","P2","1","P2:WEAK_GRIS_STEPS:بعضی مراحل GRIS کوتاه/کم‌جزئیات‌اند. (5/5)"
"garnish_recipe_global_143_104_31c06413","home-style-peking-duck","اردک پکنی خانگی","global-143-v0.3","ایران","گیلان","","main_course","10","5","18","YES","NOT_RULED","P2","1","P2:WEAK_GRIS_STEPS:بعضی مراحل GRIS کوتاه/کم‌جزئیات‌اند. (7/7)"
"garnish_recipe_intl_028_ecdcc65f","stamppot","استامپوت (پوره سیب‌زمینی و کلم ترش)","international-core-150-v0.6.0","هلند","","","main_course","8","5","18","YES","NOT_RULED","P2","1","P2:WEAK_GRIS_STEPS:بعضی مراحل GRIS کوتاه/کم‌جزئیات‌اند. (6/6)"
"garnish_recipe_fa_868_c97331a5","estamboli-polo","استانبولی پلو بدون گوشت","phase-one-v0.6.1","ایران","","","rice","10","7","16","YES","NOT_RULED","P3","1","P3:IRANIAN_LOCALITY_MISSING:غذای ایرانی است اما شهر/استان مشخص ندارد."
"garnish_recipe_intl_070_ef1a1272","stroopwafel","استروپ‌وافل","international-core-150-v0.6.0","هلند","","","dessert","8","5","18","YES","NOT_RULED","P2","1","P2:WEAK_GRIS_STEPS:بعضی مراحل GRIS کوتاه/کم‌جزئیات‌اند. (6/6)"
"garnish_lite_fa_052_cbf1699d","pineapple-coconut-smoothie","اسموتی آناناس و نارگیل","lite-food-v0.3","نامشخص در داده؛ بین‌المللی","","","lite_food","3","3","0","YES","NOT_RULED","P2","1","P2:ORIGIN_WEAK:کشور/مبدا از داده به‌وضوح قابل استخراج نیست."
"garnish_lite_fa_066_09614bdf","avocado-smoothie","اسموتی آووکادو","lite-food-v0.3","نامشخص در داده؛ بین‌المللی","","","lite_food","3","3","0","YES","NOT_RULED","P2","1","P2:ORIGIN_WEAK:کشور/مبدا از داده به‌وضوح قابل استخراج نیست."
"garnish_lite_fa_018_03b6b930","mango-yogurt-smoothie","اسموتی انبه و ماست","lite-food-v0.3","نامشخص در داده؛ بین‌المللی","","","lite_food","3","3","0","YES","NOT_RULED","P2","1","P2:ORIGIN_WEAK:کشور/مبدا از داده به‌وضوح قابل استخراج نیست."
"garnish_recipe_fa_1563_68a06056","strawberry-smoothie","اسموتی توت‌فرنگی","phase-one-v0.6.1","ایران","","","beverage","5","5","18","YES","NOT_RULED","P3","1","P3:IRANIAN_LOCALITY_MISSING:غذای ایرانی است اما شهر/استان مشخص ندارد."
"garnish_lite_fa_019_37a117f6","date-and-cacao-smoothie","اسموتی خرما و کاکائو","lite-food-v0.3","نامشخص در داده؛ بین‌المللی","","","lite_food","4","3","0","YES","NOT_RULED","P2","1","P2:ORIGIN_WEAK:کشور/مبدا از داده به‌وضوح قابل استخراج نیست."
"garnish_lite_fa_062_0b593690","chocolate-banana-smoothie","اسموتی شکلات و موز","lite-food-v0.3","نامشخص در داده؛ بین‌المللی","","","lite_food","3","3","0","YES","NOT_RULED","P2","1","P2:ORIGIN_WEAK:کشور/مبدا از داده به‌وضوح قابل استخراج نیست."
"garnish_recipe_fa_1554_6e31eecc","cantaloupe-smoothie","اسموتی طالبی","phase-one-v0.6.1","ایران","","","beverage","5","5","18","YES","NOT_RULED","P3","1","P3:IRANIAN_LOCALITY_MISSING:غذای ایرانی است اما شهر/استان مشخص ندارد."
"garnish_lite_fa_056_6f618741","peach-yogurt-smoothie","اسموتی هلو و ماست","lite-food-v0.3","نامشخص در داده؛ بین‌المللی","","","lite_food","4","3","0","YES","NOT_RULED","P2","1","P2:ORIGIN_WEAK:کشور/مبدا از داده به‌وضوح قابل استخراج نیست."
"garnish_recipe_fa_1564_e9a872de","watermelon-smoothie","اسموتی هندوانه","phase-one-v0.6.1","ایران","","","beverage","3","5","18","YES","NOT_RULED","P3","1","P3:IRANIAN_LOCALITY_MISSING:غذای ایرانی است اما شهر/استان مشخص ندارد."
"garnish_recipe_global_143_143_6060b21f","danish-smorrebrod-herring","اسموربرود دانمارکی با شاه‌ماهی","global-143-v0.3","دانمارک","","","open_sandwich","9","5","18","YES","RULE_PASS","P2","1","P2:WEAK_GRIS_STEPS:بعضی مراحل GRIS کوتاه/کم‌جزئیات‌اند. (5/5)"
"garnish_recipe_intl_036_e0780696","spanakopita","اسپاناکوپیتا","international-core-150-v0.6.0","یونان","","","main_course","11","5","18","YES","NOT_RULED","P2","1","P2:WEAK_GRIS_STEPS:بعضی مراحل GRIS کوتاه/کم‌جزئیات‌اند. (6/6)"
"garnish_recipe_intl_123_e8fa3267","spaghetti-al-limone","اسپاگتی آل لیمونه","international-core-150-v0.6.0","ایتالیا","","","main_course","8","5","18","YES","NOT_RULED","P2","1","P2:WEAK_GRIS_STEPS:بعضی مراحل GRIS کوتاه/کم‌جزئیات‌اند. (6/6)"
"garnish_recipe_intl_062_ce31c267","spaghetti-aglio-e-olio","اسپاگتی سیر و روغن","international-core-150-v0.6.0","ایتالیا","","","main_course","6","5","18","YES","NOT_RULED","P2","2","P2:WEAK_GRIS_STEPS:بعضی مراحل GRIS کوتاه/کم‌جزئیات‌اند. (6/6) | P2:WEAK_GRIS_INGREDIENTS:مواد GRIS نقش/نکته خرید/گروه کامل ندارند. (6/6)"
"garnish_recipe_global_143_135_2919e78e","roman-spaghetti-carbonara","اسپاگتی کاربونارای رومی","global-143-v0.3","ایتالیا","","رم","main_course","6","6","18","YES","RULE_PASS","P2","1","P2:WEAK_GRIS_STEPS:بعضی مراحل GRIS کوتاه/کم‌جزئیات‌اند. (6/6)"
"garnish_recipe_global_143_024_194514e6","espresso-double-shot","اسپرسوی دوبل خانگی","global-143-v0.3","نامشخص در داده؛ بین‌المللی","","","drink","2","4","18","YES","NOT_RULED","P2","1","P2:ORIGIN_WEAK:کشور/مبدا از داده به‌وضوح قابل استخراج نیست."
"garnish_recipe_global_143_039_d8dc5a96","vietnamese-fresh-spring-rolls","اسپرینگ رول تازه ویتنامی","global-143-v0.3","نامشخص در داده؛ بین‌المللی","","","appetizer","12","5","18","YES","NOT_RULED","P2","2","P2:WEAK_GRIS_STEPS:بعضی مراحل GRIS کوتاه/کم‌جزئیات‌اند. (6/6) | P2:ORIGIN_WEAK:کشور/مبدا از داده به‌وضوح قابل استخراج نیست."
"garnish_recipe_global_143_047_8830766d","thai-fried-spring-rolls","اسپرینگ‌رول تایلندی سرخ‌شده","global-143-v0.3","تایلند","","","fried_roll","11","5","18","YES","NOT_RULED","P2","1","P2:WEAK_GRIS_STEPS:بعضی مراحل GRIS کوتاه/کم‌جزئیات‌اند. (7/7)"
"garnish_recipe_intl_115_bd72c652","speculaas","اسپکولاس","international-core-150-v0.6.0","هلند","","","dessert","8","5","18","YES","NOT_RULED","P2","1","P2:WEAK_GRIS_STEPS:بعضی مراحل GRIS کوتاه/کم‌جزئیات‌اند. (6/6)"
"garnish_recipe_intl_117_d8d3d0ac","espinacas-con-garbanzos","اسپیناکاس کن گاربانثوس","international-core-150-v0.6.0","اسپانیا","","","main_course","9","5","18","YES","NOT_RULED","P2","1","P2:WEAK_GRIS_STEPS:بعضی مراحل GRIS کوتاه/کم‌جزئیات‌اند. (5/5)"
"garnish_recipe_intl_106_81b42fa9","iskender-kebab","اسکندر کباب","international-core-150-v0.6.0","ترکیه","","","main_course","10","5","16","YES","NOT_RULED","PASS","0",""
"garnish_recipe_intl_084_fb10b1a9","scones","اسکونز","international-core-150-v0.6.0","بریتانیا","","","baked","8","5","18","YES","NOT_RULED","P2","1","P2:WEAK_GRIS_STEPS:بعضی مراحل GRIS کوتاه/کم‌جزئیات‌اند. (6/6)"
"garnish_recipe_intl_069_b980b37b","apple-strudel","اشترودل سیب","international-core-150-v0.6.0","اتریش","","","dessert","9","5","18","YES","NOT_RULED","P2","1","P2:WEAK_GRIS_STEPS:بعضی مراحل GRIS کوتاه/کم‌جزئیات‌اند. (6/6)"
"garnish_recipe_fa_1334_8963bd85","meat-strudel","اشترودل گوشت","phase-one-v0.6.1","اتریش","","","main","13","5","16","YES","NOT_RULED","P3","1","P3:IRANIAN_LOCALITY_MISSING:غذای ایرانی است اما شهر/استان مشخص ندارد."
"garnish_recipe_fa_1072_b55bdfe7","eshkeneh","اشکنه","phase-one-v0.6.1","ایران","","","main","9","6","16","YES","NOT_RULED","P3","1","P3:IRANIAN_LOCALITY_MISSING:غذای ایرانی است اما شهر/استان مشخص ندارد."
"garnish_recipe_intl_012_46d4828e","imam-bayildi","امام بایلدی","international-core-150-v0.6.0","ترکیه","","","main_course","9","5","18","YES","NOT_RULED","P2","1","P2:WEAK_GRIS_STEPS:بعضی مراحل GRIS کوتاه/کم‌جزئیات‌اند. (6/6)"
"garnish_recipe_fa_121_b6f01192","omelet-rob","املت رب","phase-one-v0.6.1","ایران","","","main_course","6","6","18","YES","NOT_RULED","P2","3","P2:WEAK_GRIS_STEPS:بعضی مراحل GRIS کوتاه/کم‌جزئیات‌اند. (6/6) | P2:WEAK_GRIS_INGREDIENTS:مواد GRIS نقش/نکته خرید/گروه کامل ندارند. (6/6) | P3:IRANIAN_LOCALITY_MISSING:غذای ایرانی است اما شهر/استان مشخص ندارد."
"garnish_recipe_fa_120_502ae408","omelet-ghahvekhaneh","املت قهوه‌خانه‌ای","phase-one-v0.6.1","ایران","","","main_course","7","6","18","YES","NOT_RULED","P2","2","P2:WEAK_GRIS_STEPS:بعضی مراحل GRIS کوتاه/کم‌جزئیات‌اند. (6/6) | P3:IRANIAN_LOCALITY_MISSING:غذای ایرانی است اما شهر/استان مشخص ندارد."
"garnish_recipe_fa_1521_13feed66","cheese-omelet","املت پنیر","phase-one-v0.6.1","ایران","","","main","6","5","18","YES","NOT_RULED","P2","3","P2:WEAK_GRIS_STEPS:بعضی مراحل GRIS کوتاه/کم‌جزئیات‌اند. (6/6) | P2:WEAK_GRIS_INGREDIENTS:مواد GRIS نقش/نکته خرید/گروه کامل ندارند. (6/6) | P3:IRANIAN_LOCALITY_MISSING:غذای ایرانی است اما شهر/استان مشخص ندارد."
"garnish_recipe_fa_1325_87da9b04","omelet-gojeh-farangi","املت گوجه فرنگی","phase-one-v0.6.1","ایران","","","main","9","5","16","YES","NOT_RULED","P3","1","P3:IRANIAN_LOCALITY_MISSING:غذای ایرانی است اما شهر/استان مشخص ندارد."
"garnish_recipe_global_143_049_9785e6eb","beef-empanadas","امپانادای گوشت","global-143-v0.3","آرژانتین","","","filled_pastry","11","5","18","YES","NOT_RULED","P2","1","P2:WEAK_GRIS_STEPS:بعضی مراحل GRIS کوتاه/کم‌جزئیات‌اند. (7/7)"
"garnish_recipe_fa_113_2a1debd0","anar-polo-shirazi","انارپلو شیرازی","phase-one-v0.6.1","ایران","فارس","شیراز","rice","15","5","18","YES","NOT_RULED","P2","1","P2:WEAK_GRIS_STEPS:بعضی مراحل GRIS کوتاه/کم‌جزئیات‌اند. (6/6)"
"garnish_lite_fa_033_980e9629","dried-figs-stuffed-with-walnut","انجیر خشک با گردو","lite-food-v0.3","ایران","","","lite_food","2","3","0","YES","NOT_RULED","P3","1","P3:IRANIAN_LOCALITY_MISSING:غذای ایرانی است اما شهر/استان مشخص ندارد."
"garnish_recipe_global_143_100_da23be37","chicken-enchiladas-red-sauce","انچیلادای مرغ با سس قرمز","global-143-v0.3","مکزیک/تکس-مکس","","","main_course","10","5","18","YES","NOT_RULED","P2","1","P2:WEAK_GRIS_STEPS:بعضی مراحل GRIS کوتاه/کم‌جزئیات‌اند. (7/7)"
"garnish_recipe_global_143_136_0ebb92f9","osso-buco-alla-milanese","اوسوبوکو میلانی","global-143-v0.3","ایتالیا","","","main_course","9","6","18","YES","NOT_RULED","P2","1","P2:WEAK_GRIS_STEPS:بعضی مراحل GRIS کوتاه/کم‌جزئیات‌اند. (6/6)"
"garnish_recipe_intl_116_c3a0982f","oliebollen","اولی‌بولن","international-core-150-v0.6.0","هلند","","","dessert","9","5","18","YES","NOT_RULED","P2","1","P2:WEAK_GRIS_STEPS:بعضی مراحل GRIS کوتاه/کم‌جزئیات‌اند. (6/6)"
"garnish_recipe_intl_108_d102f5f2","okonomiyaki","اوکونومی‌یاکی","international-core-150-v0.6.0","ژاپن","","","main_course","10","5","18","YES","NOT_RULED","P2","1","P2:WEAK_GRIS_STEPS:بعضی مراحل GRIS کوتاه/کم‌جزئیات‌اند. (6/6)"
"garnish_recipe_intl_048_5b5471e4","oyakodon","اویاکودون (کاسه مرغ و تخم‌مرغ)","international-core-150-v0.6.0","ژاپن","","","main_course","9","5","18","YES","NOT_RULED","P2","1","P2:WEAK_GRIS_STEPS:بعضی مراحل GRIS کوتاه/کم‌جزئیات‌اند. (6/6)"
"garnish_recipe_global_143_083_233e9bde","umm-ali-egyptian-bread-pudding","اُم علی مصری","global-143-v0.3","مصر","","","dessert","8","4","18","YES","NOT_RULED","P2","1","P2:WEAK_GRIS_STEPS:بعضی مراحل GRIS کوتاه/کم‌جزئیات‌اند. (6/6)"
"garnish_recipe_fa_89_292dde1d","akbar-joojeh","اکبر جوجه","phase-one-v0.6.1","ایران","مازندران","","roasted","9","6","16","YES","NOT_RULED","PASS","0",""
"garnish_recipe_global_143_063_b14ec21c","classic-chocolate-eclair","اکلر شکلاتی کلاسیک","global-143-v0.3","فرانسه","","","pastry","10","5","18","YES","NOT_RULED","P2","1","P2:WEAK_GRIS_STEPS:بعضی مراحل GRIS کوتاه/کم‌جزئیات‌اند. (7/7)"
"garnish_recipe_global_143_013_d4a1df19","idli-with-sambar","ایدلی با سامبار","global-143-v0.3","نامشخص در داده؛ بین‌المللی","","","steamed","13","6","18","YES","NOT_RULED","P2","2","P2:WEAK_GRIS_STEPS:بعضی مراحل GRIS کوتاه/کم‌جزئیات‌اند. (7/7) | P2:ORIGIN_WEAK:کشور/مبدا از داده به‌وضوح قابل استخراج نیست."
"garnish_recipe_global_143_117_be424535","injera-with-doro-wat","اینجرا با دورو وات","global-143-v0.3","نامشخص در داده؛ بین‌المللی","","","main_course","11","5","18","YES","NOT_RULED","P2","2","P2:WEAK_GRIS_STEPS:بعضی مراحل GRIS کوتاه/کم‌جزئیات‌اند. (7/7) | P2:ORIGIN_WEAK:کشور/مبدا از داده به‌وضوح قابل استخراج نیست."
"garnish_recipe_global_143_044_051125e5","steamed-pork-baozi","بائوی بخارپز شکم‌پر","global-143-v0.3","نامشخص در داده؛ بین‌المللی","","","steamed_bun","12","5","18","YES","NOT_RULED","P2","2","P2:WEAK_GRIS_STEPS:بعضی مراحل GRIS کوتاه/کم‌جزئیات‌اند. (7/7) | P2:ORIGIN_WEAK:کشور/مبدا از داده به‌وضوح قابل استخراج نیست."
"garnish_recipe_intl_010_0e45be4c","baba-ghanoush","بابا غنوج","international-core-150-v0.6.0","لبنان/شام","","","appetizer","8","5","18","YES","NOT_RULED","P2","1","P2:WEAK_GRIS_STEPS:بعضی مراحل GRIS کوتاه/کم‌جزئیات‌اند. (6/6)"
"garnish_recipe_intl_033_8acac046","eggplant-parmigiana","بادمجان پارمیجانا","international-core-150-v0.6.0","ایتالیا","","","main_course","11","5","18","YES","NOT_RULED","P2","1","P2:WEAK_GRIS_STEPS:بعضی مراحل GRIS کوتاه/کم‌جزئیات‌اند. (6/6)"
"garnish_lite_fa_035_3483033b","salted-dried-fava-beans","باقالی شور","lite-food-v0.3","ایران","","","lite_food","1","3","0","YES","NOT_RULED","P3","1","P3:IRANIAN_LOCALITY_MISSING:غذای ایرانی است اما شهر/استان مشخص ندارد."
"garnish_recipe_fa_862_dbf3d4d5","baghali-polo-ba-goosht","باقالی پلو با گوشت","phase-one-v0.6.1","ایران","","","rice","12","7","16","YES","RULE_PASS","P3","1","P3:IRANIAN_LOCALITY_MISSING:غذای ایرانی است اما شهر/استان مشخص ندارد."
"garnish_recipe_fa_1224_c65df148","baghali-ghatogh","باقلاقاتُق","phase-one-v0.6.1","ایران","گیلان","","main","9","6","16","YES","NOT_RULED","PASS","0",""
"garnish_recipe_intl_078_c3975f3a","baklava","باقلوا","international-core-150-v0.6.0","ترکیه","","","dessert","8","5","18","YES","NOT_RULED","P2","1","P2:WEAK_GRIS_STEPS:بعضی مراحل GRIS کوتاه/کم‌جزئیات‌اند. (7/7)"
"garnish_recipe_global_143_053_7f9d9df9","buffalo-chicken-wings","بال مرغ بوفالو","global-143-v0.3","آمریکا","","","chicken","8","5","18","YES","NOT_RULED","P2","1","P2:WEAK_GRIS_STEPS:بعضی مراحل GRIS کوتاه/کم‌جزئیات‌اند. (6/6)"
"garnish_recipe_global_143_071_32ff2f21","classic-banoffee-pie","بانوفی پای","global-143-v0.3","نامشخص در داده؛ بین‌المللی","","","pie","9","5","18","YES","NOT_RULED","P2","2","P2:WEAK_GRIS_STEPS:بعضی مراحل GRIS کوتاه/کم‌جزئیات‌اند. (6/6) | P2:ORIGIN_WEAK:کشور/مبدا از داده به‌وضوح قابل استخراج نیست."
"garnish_recipe_global_143_118_67f4b795","south-african-bunny-chow","بانی چاو آفریقای جنوبی","global-143-v0.3","ایران","جنوب ایران","","main_course","12","5","18","YES","NOT_RULED","P2","1","P2:WEAK_GRIS_STEPS:بعضی مراحل GRIS کوتاه/کم‌جزئیات‌اند. (6/6)"
"garnish_recipe_global_143_134_b4cc12b5","bacalhau-a-bras","باکالائو آ براس پرتغالی","global-143-v0.3","پرتغال","","","main_course","7","6","18","YES","RULE_PASS","P2","1","P2:WEAK_GRIS_STEPS:بعضی مراحل GRIS کوتاه/کم‌جزئیات‌اند. (6/6)"
"garnish_recipe_global_143_068_2f672fa4","fudgy-chocolate-brownies","براونی شکلاتی فاجی","global-143-v0.3","آمریکا","","","bar_cookie","9","5","18","YES","NOT_RULED","P2","1","P2:WEAK_GRIS_STEPS:بعضی مراحل GRIS کوتاه/کم‌جزئیات‌اند. (7/7)"
"garnish_recipe_global_143_017_5b23f5df","german-brotchen-breakfast-spread","برتشن آلمانی با صبحانه سرد","global-143-v0.3","آلمان","","","bread","9","6","18","YES","NOT_RULED","P2","1","P2:WEAK_GRIS_STEPS:بعضی مراحل GRIS کوتاه/کم‌جزئیات‌اند. (6/6)"
"garnish_recipe_intl_007_34f16382","egg-fried-rice","برنج سرخ‌شده با تخم‌مرغ","international-core-150-v0.6.0","چین","","","main_course","10","5","18","YES","NOT_RULED","P2","1","P2:WEAK_GRIS_STEPS:بعضی مراحل GRIS کوتاه/کم‌جزئیات‌اند. (6/6)"
