"titleFa","titleEn","country","regionCity","category","mealTypes","whyImportant","popularityGlobalRegionalRelevance","ingredientFeasibilityRisk","duplicateRisk","sourceResearchRequirement","priority","recommendedBatch"
"پالک پنیر","Palak Paneer","India","North India","main","lunch,dinner","کلاسیک گیاهی هند.","medium_high","LOW_OR_MEDIUM_VERIFY_BEFORE_IMPORT","LOW_NO_EXACT_TITLE_MATCH","3 reputable independent sources before import","P1","global-02"
"دال ماخانی","Dal Makhani","India","Punjab","main","lunch,dinner","غذای محبوب هندی؛ نیازمند زمان پخت دقیق.","medium","LOW_OR_MEDIUM_VERIFY_BEFORE_IMPORT","LOW_NO_EXACT_TITLE_MATCH","3 reputable independent sources before import","P2","global-02"
"بابا غنوش","Baba Ganoush","Levant","MENA","appetizer","lunch,dinner","پیش‌غذای شناخته‌شده منطقه‌ای.","medium_high","LOW_OR_MEDIUM_VERIFY_BEFORE_IMPORT","LOW_NO_EXACT_TITLE_MATCH","3 reputable independent sources before import","P1","global-03"
"فتوش","Fattoush","Levant","MENA","salad","lunch,dinner","سالاد مهم خاورمیانه.","medium_high","LOW_OR_MEDIUM_VERIFY_BEFORE_IMPORT","HIGH_EXISTING_TITLE_MATCH","3 reputable independent sources before import","P1","global-03"
"مجدّره","Mujadara","Levant","MENA","main","lunch,dinner","غذای ساده، محبوب و مناسب کاربران گیاه‌خوار.","medium_high","LOW_OR_MEDIUM_VERIFY_BEFORE_IMPORT","HIGH_EXISTING_TITLE_MATCH","3 reputable independent sources before import","P1","global-03"
"شاورمای مرغ","Chicken Shawarma","Levant","MENA","main","lunch,dinner","شناخته‌شده و پرجستجو.","medium_high","LOW_OR_MEDIUM_VERIFY_BEFORE_IMPORT","LOW_NO_EXACT_TITLE_MATCH","3 reputable independent sources before import","P1","global-03"
"تاژین مرغ و لیمو","Chicken Preserved Lemon Tagine","Morocco","Morocco","main","lunch,dinner","غذای شاخص مراکش؛ مواد خاص دارد.","medium","LOW_OR_MEDIUM_VERIFY_BEFORE_IMPORT","LOW_NO_EXACT_TITLE_MATCH","3 reputable independent sources before import","P2","global-03"
"جولوف رایس","Jollof Rice","West Africa","West Africa","main","lunch,dinner","غذای مهم آفریقا با محبوبیت جهانی.","medium","LOW_OR_MEDIUM_VERIFY_BEFORE_IMPORT","LOW_NO_EXACT_TITLE_MATCH","3 reputable independent sources before import","P2","global-03"
"شپردز پای","Shepherd’s Pie","UK/Ireland","UK/Ireland","main","lunch,dinner","کلاسیک خانگی اروپا؛ باید با cottage pie اشتباه نشود.","medium_high","LOW_OR_MEDIUM_VERIFY_BEFORE_IMPORT","LOW_NO_EXACT_TITLE_MATCH","3 reputable independent sources before import","P1","global-04"
"فیش اند چیپس","Fish and Chips","UK","UK","main","lunch,dinner","غذای جهانی و پرشناخت.","medium_high","LOW_OR_MEDIUM_VERIFY_BEFORE_IMPORT","LOW_NO_EXACT_TITLE_MATCH","3 reputable independent sources before import","P1","global-04"
"گولاش مجاری","Hungarian Goulash","Hungary","Hungary","main","lunch,dinner","کلاسیک اروپای مرکزی.","medium_high","LOW_OR_MEDIUM_VERIFY_BEFORE_IMPORT","LOW_NO_EXACT_TITLE_MATCH","3 reputable independent sources before import","P1","global-04"
"پیرُگی سیب‌زمینی","Potato Pierogi","Poland","Poland","main","lunch,dinner","غذای معروف لهستانی.","medium","LOW_OR_MEDIUM_VERIFY_BEFORE_IMPORT","LOW_NO_EXACT_TITLE_MATCH","3 reputable independent sources before import","P2","global-04"
"موساکا یونانی","Greek Moussaka","Greece","Greece","main","lunch,dinner","کلاسیک مدیترانه‌ای.","medium_high","LOW_OR_MEDIUM_VERIFY_BEFORE_IMPORT","LOW_NO_EXACT_TITLE_MATCH","3 reputable independent sources before import","P1","global-04"
"سالاد نیسواز","Salade Nicoise","France","Nice","salad","lunch,dinner","کلاسیک فرانسوی؛ variant-sensitive.","medium","LOW_OR_MEDIUM_VERIFY_BEFORE_IMPORT","HIGH_EXISTING_TITLE_MATCH","3 reputable independent sources before import","P2","global-04"
"کلاب ساندویچ","Club Sandwich","USA","USA","main","lunch","غذای عمومی شناخته‌شده و مفید برای اپ.","medium_high","LOW_OR_MEDIUM_VERIFY_BEFORE_IMPORT","LOW_NO_EXACT_TITLE_MATCH","3 reputable independent sources before import","P1","global-05"
"چیکن پارمزان","Chicken Parmesan","USA/Italian-American","USA","main","lunch,dinner","هویت ایتالیایی-آمریکایی باید واضح باشد.","medium_high","LOW_OR_MEDIUM_VERIFY_BEFORE_IMPORT","LOW_NO_EXACT_TITLE_MATCH","3 reputable independent sources before import","P1","global-05"
"کورن چاوder","Corn Chowder","USA","USA","soup","lunch,dinner","سوپ آمریکایی کاربردی.","medium","LOW_OR_MEDIUM_VERIFY_BEFORE_IMPORT","LOW_NO_EXACT_TITLE_MATCH","3 reputable independent sources before import","P2","global-05"
"سالاد سزار کلاسیک","Classic Caesar Salad","Mexico/USA","Tijuana","salad","lunch,dinner","کلاسیک جهانی؛ نسخه کلاسیک/خانگی باید روشن شود.","medium_high","LOW_OR_MEDIUM_VERIFY_BEFORE_IMPORT","LOW_NO_EXACT_TITLE_MATCH","3 reputable independent sources before import","P1","global-05"
"پوک بول سالمون","Salmon Poke Bowl","USA","Hawaii","main","lunch,dinner","محبوب و مدرن؛ ریسک ایمنی ماهی خام.","medium","MEDIUM_OR_HIGH_CORE_INGREDIENT_CHECK_REQUIRED","LOW_NO_EXACT_TITLE_MATCH","3 reputable independent sources before import","P3","global-05"
"چورو با شکلات","Churros con Chocolate","Spain/Mexico","Global","dessert","snack,dessert","دسر جهانی شناخته‌شده.","medium","LOW_OR_MEDIUM_VERIFY_BEFORE_IMPORT","LOW_NO_EXACT_TITLE_MATCH","3 reputable independent sources before import","P2","global-05"
"تیرامیسو کلاسیک","Classic Tiramisu","Italy","Veneto","dessert","dessert","دسر جهانی؛ ریسک تخم‌مرغ خام/قهوه.","medium_high","LOW_OR_MEDIUM_VERIFY_BEFORE_IMPORT","LOW_NO_EXACT_TITLE_MATCH","3 reputable independent sources before import","P1","global-06"
"کرم بروله","Creme Brulee","France","France","dessert","dessert","دسر کلاسیک و پرطرفدار.","medium","LOW_OR_MEDIUM_VERIFY_BEFORE_IMPORT","HIGH_EXISTING_TITLE_MATCH","3 reputable independent sources before import","P2","global-06"
"باقلوا ترکی","Turkish Baklava","Turkey","Turkey","dessert","dessert","دسر منطقه‌ای مشهور.","medium_high","LOW_OR_MEDIUM_VERIFY_BEFORE_IMPORT","LOW_NO_EXACT_TITLE_MATCH","3 reputable independent sources before import","P1","global-06"
"کنافه","Knafeh","Levant","MENA","dessert","dessert","دسر بسیار معروف خاورمیانه.","medium_high","MEDIUM_OR_HIGH_CORE_INGREDIENT_CHECK_REQUIRED","LOW_NO_EXACT_TITLE_MATCH","3 reputable independent sources before import","P1","global-06"
"پودینگ برنج هندی","Kheer","India","India","dessert","dessert","دسر/صبحانه جنوب آسیا.","medium","LOW_OR_MEDIUM_VERIFY_BEFORE_IMPORT","LOW_NO_EXACT_TITLE_MATCH","3 reputable independent sources before import","P2","global-06"
