source,purpose,required_or_optional,consent_requirement,runtime_switch,behavior_when_denied,behavior_after_withdrawal,db_access,test
"apps/web/src/app/profile/page.jsx#view/edit/navigate handlers","profile_view/profile_edit/profile_navigate producer","optional","Delegates to useAnalytics canonical revalidation","Analytics runtime mirror","Profile core operations continue; no optional event","Future events stop; no replay queue","CALL useAnalytics.trackEvent","profile tests; useAnalytics.test.jsx"
"apps/web/src/app/recipe/[id]/page.jsx#view/favorite/plan/share handlers","recipe_view/favorite/mealplan/share producer","optional","Delegates to useAnalytics","Analytics runtime mirror","Recipe/favorite/plan action continues without event","Future events stop; no retry queue","CALL useAnalytics.trackEvent","recipe smoke tests; useAnalytics.test.jsx"
"apps/web/src/app/shopping-list/useShopping.js#manualAdd/addFromPlan","shopping_add_manual / shopping_add_from_plan producer","optional","Delegates to useAnalytics","Analytics runtime mirror","Shopping action continues; no optional event","Future events stop; no retry queue","CALL useAnalytics.trackEvent","shopping tests; useAnalytics.test.jsx"
"apps/web/src/hooks/useDismissRecommendation.js#dismiss","recommendation_dismiss producer","optional","Delegates to useAnalytics; server routes only with personalization","Analytics runtime mirror","Dismiss UI action continues; no event-derived learning","Future events stop","CALL useAnalytics.trackEvent","useDismissRecommendation tests; analytics central tests"
"apps/web/src/hooks/usePersonalization.js#setServings/applySwap/toggleRemoved","portion_scaled / ingredient_swapped / ingredient_removed producer","optional","Delegates to useAnalytics; personalization routing requires server current personalization","Analytics runtime mirror + server personalization switch","Local recipe customization continues; optional event drops","Future events stop; no queued replay","CALL useAnalytics.trackEvent","usePersonalization.test.js; analytics consent-gate tests"
"apps/web/src/hooks/useImpressionObserver.js#useImpressionObserver","measured recommendation impression producer","optional","Local analytics runtime gate; server AnalyticsService requires analytics and ExposureTracking additionally requires personalization","Analytics runtime mirror; both server switches at writers","Observer disconnected/disabled; pending timers/batches cleared; zero request","Reactive runtime event cancels queued batch; send-time recheck drops; already-sent request relies on server","POST /recommendations/impression; client-only timers/maps","useImpressionObserver.test.jsx; recommendation.controller.spec.ts"
"apps/web/src/lib/recommendationAttribution.js#rememberRecommendation/recallRecommendation","recommendation requestId attribution producer/consumer","optional","Analytics runtime only; bounded recipeId->requestId timestamp map","Analytics runtime mirror","Map cleared when analytics inactive","Analytics withdrawal clears on next access/central cleanup; GAP: personalization-only withdrawal leaves old requestIds, so re-consent is not epoch-partitioned","CLIENT localStorage garnish:rec-attribution","recommendationAttribution.test.js; GAP: no personalization-withdrawal/re-consent test"
"apps/server/src/behavior-engine/routing/event-outbox.service.ts#EventOutboxService.enqueue","personalization event queue producer","optional","Self-checks personalization provenance plus current analytics+personalization max grant epoch; event timestamp must be at/after epoch","Both optional switches checked before event/outbox IO","Returns null; zero EventOutbox write when OFF/denied/stale/missing provenance","Withdrawal denies; re-grant cannot enqueue an older event; GAP: UserEvent lookup precedes per-user epoch because API accepts only eventId","READ UserEvent/UserConsent; WRITE EventOutbox","event-outbox.service.spec.ts covers runtime OFF, zero write, withdrawal and old-event epoch"
"apps/server/src/behavior-engine/routing/event-outbox.service.ts#EventOutboxService.processNow","personalization event queue consumer","optional","Current analytics+personalization + personalization provenance + event timestamp at/after max current grant epoch","Both optional switches checked directly and via ConsentService","Marks row done/suppressed; router not called","Withdrawal is terminal; re-grant never replays an event older than the new max epoch; GAP: narrow final-check-to-router race remains","READ UserConsent; UPDATE EventOutbox; invokes EventRouter","event-outbox.service.spec.ts covers analytics withdrawal, re-grant suppression and epoch errors"
"apps/server/src/behavior-engine/routing/event-outbox.service.ts#EventOutboxService.drain","personalization event queue cron consumer","optional","Outer dual-runtime gate plus per-row current dual-purpose epoch/provenance guard","Both optional switches before EventOutbox scan","Returns zero counters with zero EventOutbox/UserEvent IO when either runtime is OFF","Withdrawal suppresses terminally; re-grant cannot resurrect rows whose event predates the new epoch; cleanup/dead-letter lifecycle remains available only while runtime ON","READ/UPDATE EventOutbox; READ UserEvent/UserConsent","event-outbox.service.spec.ts covers runtime-OFF zero IO, withdrawal, re-grant and stale processing"
"apps/server/src/behavior-engine/behavior-engine-scheduler.service.ts#drainOutbox","personalization cron","optional","Delegates per-row consent to EventOutboxService","GAP: no personalization runtime precheck","GAP: cron touches optional queue/event tables while OFF","Queued events suppress rather than replay, but OFF zero-IO criterion fails","CALL EventOutboxService.drain","GAP: scheduler runtime-OFF test does not cover drainOutbox"
"apps/server/src/behavior-engine/behavior-engine-scheduler.service.ts#handleCron","personalization profile cron","optional","Per-user BehaviorEngineService current personalization check","OPTIONAL_PERSONALIZATION_PROCESSING_ENABLED explicit pre-IO gate","Returns before UserEvent user discovery when OFF","Future runs skip withdrawn users; GAP: active re-consent can reuse old provenanced events because no effectiveFrom cutoff","READ UserEvent active users; CALL BehaviorEngineService","behavior-engine.consent-boundary.spec.ts; scheduler tests"
"apps/server/src/behavior-engine/routing/event-router.service.ts#EventRouterService.route","personalization event dispatcher","optional_internal","Process-wide personalization runtime self-gate; per-user current consent/epoch remains caller/outbox responsibility","OPTIONAL_PERSONALIZATION_PROCESSING_ENABLED direct first-line check","Returns before registry lookup/processor call","Runtime OFF blocks direct bypass; GAP: runtime ON direct invocation still relies on caller for per-user epoch","Dispatch only; processor DB access","event-router.service.spec.ts direct OFF zero-dispatch"
"apps/server/src/behavior-engine/processors/recipe.signal-processor.ts#RecipeSignalProcessor.process","SignalObservation/UserBehaviorSignal producer","optional_internal","First-line personalization runtime self-gate; per-user epoch remains outbox/caller responsibility; idempotency via alreadyConsumed","OPTIONAL_PERSONALIZATION_PROCESSING_ENABLED direct","Returns before dedupe/Recipe/SignalObservation/SignalCalculator IO","Runtime OFF blocks direct call; GAP: runtime ON direct caller can bypass per-user epoch","WRITE SignalObservation; CALL SignalCalculator; READ Recipe","direct-processor-runtime-gates.spec.ts; recipe processor specs"
"apps/server/src/behavior-engine/processors/recommendation.signal-processor.ts#RecommendationSignalProcessor.process","recommendation attribution + SignalObservation producer","optional_internal","First-line personalization runtime self-gate; dual-purpose per-user epoch remains outbox/caller responsibility","OPTIONAL_PERSONALIZATION_PROCESSING_ENABLED direct; normal outbox also requires analytics","Returns before dedupe/attribution/observation/signal IO","Runtime OFF blocks direct call; GAP: runtime ON direct caller can bypass per-user epoch","WRITE RecommendationAttributionEvent/SignalObservation/UserBehaviorSignal","direct-processor-runtime-gates.spec.ts; recommendation processor specs"
"apps/server/src/behavior-engine/processors/meal-plan.signal-processor.ts#MealPlanSignalProcessor.process","SignalObservation/UserBehaviorSignal producer","optional_internal","First-line personalization runtime self-gate; per-user epoch remains outbox/caller responsibility","OPTIONAL_PERSONALIZATION_PROCESSING_ENABLED direct","Returns before dedupe/observation/signal IO","Runtime OFF blocks direct call; GAP: runtime ON direct caller can bypass per-user epoch","WRITE SignalObservation; CALL SignalCalculator","direct-processor-runtime-gates.spec.ts; meal-plan processor specs"
"apps/server/src/behavior-engine/processors/shopping.signal-processor.ts#ShoppingSignalProcessor.process","SignalObservation/UserBehaviorSignal producer","optional_internal","First-line personalization runtime self-gate; per-user epoch remains outbox/caller responsibility","OPTIONAL_PERSONALIZATION_PROCESSING_ENABLED direct","Returns before dedupe/observation/signal IO","Runtime OFF blocks direct call; GAP: runtime ON direct caller can bypass per-user epoch","WRITE SignalObservation; CALL SignalCalculator","direct-processor-runtime-gates.spec.ts; shopping processor specs"
"apps/server/src/behavior-engine/processors/personalization.signal-processor.ts#PersonalizationSignalProcessor.process","SignalObservation/UserBehaviorSignal producer","optional_internal","First-line personalization runtime self-gate; per-user epoch remains outbox/caller responsibility","OPTIONAL_PERSONALIZATION_PROCESSING_ENABLED direct","Returns before dedupe/ingredient/observation/signal IO","Runtime OFF blocks direct call; GAP: runtime ON direct caller can bypass per-user epoch","WRITE SignalObservation; CALL SignalCalculator.applyIngredientPreference","direct-processor-runtime-gates.spec.ts; personalization processor specs"
"apps/server/src/behavior-engine/signals/signal-calculator.service.ts#updateSignal","UserBehaviorSignal producer","optional_internal","First-line personalization runtime self-gate; per-user current consent remains caller responsibility","OPTIONAL_PERSONALIZATION_PROCESSING_ENABLED direct","Returns null before UserBehaviorSignal read/upsert","Runtime OFF blocks direct call; GAP: runtime ON direct call has no per-user epoch and signal rows carry no grant epoch","READ/UPSERT UserBehaviorSignal","signal-calculator.service.spec.ts direct OFF zero IO"
"apps/server/src/behavior-engine/signals/signal-calculator.service.ts#applyPositiveFeedback/applyNegativeFeedback","UserBehaviorSignal taste producer","optional_internal","First-line personalization runtime self-gate; normal processor caller is dual-purpose epoch-gated by outbox","OPTIONAL_PERSONALIZATION_PROCESSING_ENABLED direct","Returns before Recipe/corpus/UserBehaviorSignal IO","Runtime OFF blocks direct call; GAP: runtime ON direct call has no per-user epoch/final recheck; old signals persist","READ Recipe/UserBehaviorSignal; UPDATE/UPSERT UserBehaviorSignal","signal-calculator.service.spec.ts direct OFF zero IO"
"apps/server/src/behavior-engine/signals/signal-calculator.service.ts#applyIngredientPreference","UserBehaviorSignal ingredient-preference producer","optional_internal","First-line personalization runtime self-gate; normal processor path is outbox epoch-gated","OPTIONAL_PERSONALIZATION_PROCESSING_ENABLED direct","Returns before signal/corpus IO","Runtime OFF blocks direct call; GAP: runtime ON direct call has no per-user epoch/final recheck","READ/UPSERT UserBehaviorSignal; READ recipe corpus salience","signal-calculator.service.spec.ts direct OFF zero IO"
"apps/server/src/behavior-engine/signals/signal-detector.service.ts#detectBatchSignals","personalization signal cron producer","optional","Per-user current personalization checked before UserEvent/signal IO","ConsentService default-OFF; no outer flag, so core User id discovery still occurs","Skips optional event/signal/snapshot/vector IO for every denied user","Future processing skips withdrawn user; GAP: no effectiveFrom cutoff and no final pre-write recheck across long chain","READ User/UserEvent; WRITE UserBehaviorSignal via calculator; WRITE snapshots/vector","signal-detector.service.spec.ts"
"apps/server/src/behavior-engine/signals/taste-correction.service.ts#listTastePreferences","UserBehaviorSignal consumer","optional","Current personalization required","OPTIONAL_PERSONALIZATION_PROCESSING_ENABLED via ConsentService","Returns [] before signal read","Future reads stop; GAP: re-consent returns pre-withdrawal correction/signals without epoch policy","READ UserBehaviorSignal","taste-correction.service.spec.ts"
"apps/server/src/behavior-engine/signals/taste-correction.service.ts#correctTastePreference","UserBehaviorSignal correction writer/deleter","optional","Delete/neutral cleanup allowed without grant; non-neutral update requires current personalization","Personalization switch via ConsentService","Denied non-neutral update throws/does not upsert; neutral delete remains available for cleanup","Future non-neutral writes stop; GAP: check-to-upsert race and no consent epoch/version on row","DELETE/UPSERT UserBehaviorSignal","taste-correction.service.spec.ts"
"apps/server/src/behavior-engine/behavior-engine.service.ts#processEventsForUser","UserBehaviorProfile producer","optional","Current personalization checked at entry; UserEvent rows require personalization provenance","Personalization switch via ConsentService","Returns null before event/shopping/profile IO","Future calls skip; GAP: no effectiveFrom cutoff and no recheck before UserBehaviorProfile upsert, so old data/revocation race remain","READ UserEvent/ShoppingItem/User health goals; UPSERT UserBehaviorProfile","behavior-engine.consent-boundary.spec.ts"
"apps/server/src/behavior-engine/behavior-engine.service.ts#getProfile","UserBehaviorProfile consumer","optional","Current analytics+personalization max grant epoch required before profile read","Both optional switches via ConsentService.currentGrantEpoch","Returns null; zero UserBehaviorProfile IO","Future reads stop; GAP: profile row itself has no evidence epoch, so re-grant can expose a pre-withdrawal profile after gate","READ UserBehaviorProfile","behavior-engine.consent-boundary.spec.ts"
"apps/server/src/behavior-engine/snapshots/snapshot-builder.service.ts#buildAll","engagement/health/identity/retention snapshot producer","optional","Current personalization at entry and again before each snapshot write; source UserEvent has personalization provenance","Personalization switch via ConsentService","Returns null and performs zero event/snapshot writes","Withdrawal before write suppresses; GAP: source queries omit effectiveFrom so re-consent can rebuild from older rows","READ UserEvent/User core profile; UPSERT four user snapshots","snapshot-builder.service.spec.ts; behavior boundary tests"
"apps/server/src/behavior-engine/feature-store/feature-store.service.ts#buildFeatureVector/rebuildFeatureVector","UserFeatureVector/UserFeature producer and optional-state consumer","optional","Current personalization at entry/rebuild and immediately before persistence","Personalization switch via ConsentService","Returns {}; zero vector/signal/outcome/profile IO","Final recheck suppresses write; GAP: cached vector and all sources lack consent epoch, so re-consent serves/rebuilds from pre-withdrawal state","READ UserBehaviorSignal/UserOutcome/snapshots/preferences/profile/UserEvent; UPSERT UserFeatureVector/UserFeature","feature-store.service.spec.ts"
"apps/server/src/behavior-engine/feature-store/feature-store.service.ts#getFeatureVector/getDataMaturity","feature/signal/event consumer","optional","Current personalization required","Personalization switch via ConsentService","Returns {} / cold maturity before optional reads","Future reads stop; GAP: re-consent exposes cached vector and pre-withdrawal signals/events without effectiveFrom","READ UserFeatureVector/UserEvent/UserBehaviorSignal","feature-store.service.spec.ts"
"apps/server/src/behavior-engine/feature-store/feature-store.service.ts#findUsersByFeature","population feature consumer","optional","Both runtimes plus latest current-policy dual-purpose consent population; UserFeature.updatedAt must be at/after each user's max grant epoch","Both optional switches checked before ledger/feature IO","Returns []; zero UserConsent/UserFeature IO when runtime OFF; ledger error fails closed","Withdrawn/stale-policy users excluded; re-grant excludes older feature rows; GAP: narrow population-read race remains","READ UserConsent then UserFeature","feature-store.service.spec.ts current population/epoch cases"
"apps/server/src/behavior-engine/identity/identity-dimension.builder.ts#IdentityDimensionBuilder.buildAll","identity dimension producer","optional","First-line personalization runtime self-gate; exported direct method still relies on caller for per-user consent","OPTIONAL_PERSONALIZATION_PROCESSING_ENABLED direct","Returns []; zero snapshot/signal/upsert IO","Runtime OFF blocks direct call; GAP: runtime ON lacks per-user epoch/final recheck","READ UserBehaviorSignal/snapshots; UPSERT UserIdentityDimension","identity-dimension.builder.spec.ts direct OFF zero IO"
"apps/server/src/lifestyle/lifestyle-graph.builder.ts#LifestyleGraphBuilder.build/getPrimaryLabel","lifestyle profile consumer","optional","First-line personalization runtime self-gate; exported direct methods rely on caller for per-user consent","OPTIONAL_PERSONALIZATION_PROCESSING_ENABLED direct","Returns {} / Balanced User before nested build or profile IO","Runtime OFF blocks direct call; GAP: runtime ON lacks per-user epoch and old derived state can be reused","READ UserIdentityDimension/UserBehaviorSignal","lifestyle-graph.builder.spec.ts direct OFF zero IO"
"apps/server/src/behavior-engine/profile/read/profile-read.service.ts#getDeclaredAnswers","core declared profile + optional facts/budget consumer","mixed","Core diet/skill/allergy always allowed; optional UserFact/budget only when caller passes includeOptional after effective personalization","Personalization switch through caller ConsentService","Returns core answers only; allergy read failure throws fail-closed","Optional reads stop after withdrawal; GAP: re-consent reuses old optional UserFact/budget because no effectiveFrom filter","READ UserFact/UserPreference/UserAllergy","profile-read.service.spec.ts; food-dna-projection.spec.ts"
"apps/server/src/behavior-engine/profile/read/profile-read.service.ts#getLivingUserProfile/getFoodDnaProjection/getNextQuestion","declared + observed profile consumer","mixed","Core declared safety always; observed graph/optional answers only with current personalization","Personalization switch via getConsentState","Composes declared-only/cold graph; allergy failure remains fail-closed","Observed reads stop; GAP: re-consent loads pre-withdrawal SignalObservation/UserFact/profile state without epoch cutoff","READ core preferences/allergies; optional SignalObservation/UserFact","profile-read.service.spec.ts; food-dna-projection.spec.ts"
"apps/server/src/behavior-engine/profile/read/profile-read.service.ts#submitAnswer","declared optional profile producer","mixed","Dimension purpose must be in effective getConsentState; allergies routed to dedicated core flow","Purpose switch through ConsentService","Returns consent_required before write","Future optional writes stop; GAP: check-to-write race and no consent epoch marker on UserPreference/UserFact","UPSERT UserPreference or UserFact","profile-read.service.spec.ts"
"apps/server/src/recommendation/runtime-shadow/recommendation-shadow-a8-adapters.ts#createPrismaShadowProfileFeedPort.loadObservations","SignalObservation/UserBehaviorProfile shadow consumer","optional_internal","Caller is expected to establish personalization consent; query only joins source event personalization provenance","Caller personalization switch; no self runtime check","Normal ProfileRead/A8 caller skips when denied; GAP: direct port call reads optional rows","GAP: observedAt has no effectiveFrom predicate; re-consent loads old observations/profile timestamp","READ SignalObservation/UserBehaviorProfile","recommendation-shadow-a8-consent-adapter.spec.ts; snapshot-builder provenance tests; GAP: epoch test absent"
"apps/server/src/ai/context/behavioral-context-snapshot.service.ts#BehavioralContextSnapshotService.build","AI context snapshot consumer","mixed","Core diet/skill always; budget and UserBehaviorSignal only with current personalization","Personalization switch via ConsentService","Builds redacted core-only snapshot with no signal/budget read","Future optional reads stop; GAP: re-consent reads pre-withdrawal signals/budget without epoch","READ UserPreference and optional UserBehaviorSignal","behavioral-context-snapshot.service.spec.ts"
"apps/server/src/ai/chat/grounded-reply.service.ts#buildGrounding/getDeclaredAllergens/getDietConstraint","AI core safety consumer","required_safety","Core declared allergy/diet reads are required independent of optional personalization","No optional switch for safety path","Safety profile failure surfaces nothing; generic recipe grounding may continue only with established safe set","Withdrawal does not remove core allergy protection","READ core declared profile/recipe catalog","grounded-reply.service.spec.ts"
"apps/server/src/ai/chat/grounded-reply.service.ts#loadUserModel","AI personalized memory consumer","optional","Current personalization required before UserBehaviorProfile/UserFact reads","Personalization switch via ConsentService","Returns empty dislikes/favorites/skill/goals/facts; core allergy gate remains","Future optional reads stop; GAP: re-consent reloads old profile/facts without effectiveFrom","READ UserBehaviorProfile/UserFact","grounded-reply.service.spec.ts"
"apps/server/src/ai/tools/get-user-food-context.tool.ts#GetUserFoodContextTool.handler","AI snapshot consumer","mixed","Consumes already-built consent-gated snapshot and defensively removes sensitive keys","Inherited from BehavioralContextSnapshotService","Returns core non-sensitive preference context with no signals","Withdrawn snapshot rebuild has no signals; caller must not reuse stale in-memory snapshot","READ in-memory snapshot only","get-user-food-context.tool.spec.ts; behavioral-context-snapshot.service.spec.ts"
"apps/server/src/recommendation/recommendation.controller.ts#getRecommendations + RecommendationPipelineService.getRecommendations","recommendation serving/served-slate producer","mixed","Core generic+safety recommendation always; personalized sources/rank require current personalization; served counter requires analytics+personalization","Both optional switches through downstream services; shadow has separate default-OFF config","Returns generic public slate with hard allergy safety; no served-slate row","Future personalized reads/writes stop; GAP: re-consent can reuse old vectors/signals because downstream lacks epoch","CALL FeatureStore/CandidateGenerator/Ranking/RecommendationCounters; may WRITE RecommendationServedItem","recommendation controller/pipeline specs; recommendation focused lane"
"apps/server/src/recommendation/pipeline/candidate-generator.ts#CandidateGeneratorService.generate","recommendation candidate consumer","mixed","Current personalization selects private sources; denied selects public trending/seasonal/fallback; final hard-safety always","Personalization via ConsentService; analytics switch gates trending","Zero private source calls; generic public + safety only","Future private reads stop; GAP: re-consent private sources use pre-withdrawal vectors/events; public trending lacks current population","READ UserEvent/vector/profile/health/inventory/collaborative data when allowed; READ public recipes","candidate-generator.spec.ts"
"apps/server/src/recommendation/pipeline/candidate-generator.ts#getTrendingRecipes","public aggregate analytics consumer","optional_aggregate","GAP: provenance only (analytics|personalization), no current-consent population","OPTIONAL_ANALYTICS_INGEST_ENABLED explicit","Returns [] without UserEvent IO","GAP: withdrawn users and pre-regrant events remain in aggregate","GROUP UserEvent by recipeId","candidate-generator.spec.ts covers runtime/provenance; GAP: current-population epoch absent"
"apps/server/src/recommendation/pipeline/candidate-generator.ts#filterSafe/coldStartCandidates","recommendation core safety consumer","required_safety","Core declared allergies/diet; profile read failure yields no unsafe slate","No optional switch for hard safety","Safety filter remains active on generic path","Withdrawal never disables core safety","READ core profile/allergy + public recipes","candidate-generator.spec.ts; safety filter suites"
"apps/server/src/recommendation/pipeline/ranking.service.ts#RankingService.rank/rankWithFeatureVector","recommendation rank consumer","mixed","Current personalization for feature vector; analytics for experiments/weights/prior/popularity/exposure/logging","Both optional switches via ConsentService","Cold generic ranking; no vector/experiment/exposure/contribution IO","Future personalized paths stop; GAP: re-consent can reuse old vector/exposure/derived state","READ UserFeatureVector/experiments/RecipePrior/UserEvent/Exposure; optional WRITE FeatureContributionLog","ranking.service.spec.ts"
"apps/server/src/recommendation/pipeline/ranking.service.ts#calculatePopularityScore","public popularity analytics consumer","optional_aggregate","Current caller analytics check; query only provenance analytics|personalization","Analytics switch through rank caller","Not called when analytics denied","GAP: withdrawn/current-population and effectiveFrom not filtered","COUNT UserEvent","ranking.service.spec.ts; GAP: no withdrawal-population test"
"apps/server/src/recommendation/pipeline/ranking.service.ts#logFeatureContributions","personalized explanation telemetry producer","optional","Current analytics+personalization checked immediately before createMany","Both switches via ConsentService","Zero FeatureContributionLog writes","Future writes stop; GAP: check-to-write race and rows carry no consent epoch","WRITE FeatureContributionLog","ranking.service.spec.ts"
"apps/server/src/recommendation/pipeline/recommendation-counters.service.ts#RecommendationCountersService.logSlate","served-slate telemetry producer","optional","Current analytics+personalization before createMany","Both switches via ConsentService","Returns 0; zero RecommendationServedItem writes","Future slates stop; GAP: narrow check-to-write race; no consent epoch field","WRITE RecommendationServedItem","recommendation-counters.service.spec.ts"
"apps/server/src/recommendation/exposure/exposure-tracking.service.ts#trackExposure/trackExposures","recommendation exposure producer","optional","Current analytics+personalization max grant epoch required before insert and rechecked after persistence","Both switches via hasPurpose/currentGrantEpoch","Returns false/0 before insert","If consent/epoch changes during write, deletes only UUIDs inserted by that call and returns false/0; GAP: final-recheck race and compensating-delete failure remain; row has no epoch column","RAW INSERT/targeted DELETE RecommendationExposure","exposure-tracking.service.spec.ts compensation and analytics-withdrawal cases"
