path,classification,owner,finding,change_reason,git_state,validation_status,scope_basis,validation_evidence
apps/server/src/recommendation/pipeline/recommendation-counters.service.ts,BOUNDARY_REQUIRED,Transaction Boundary Engineer,ADV-P0A-001,Served-slate optional writer,tracked_modified,implemented,05_diff_scope_matrix.csv,counter focused tests
apps/server/src/recommendation/pipeline/recommendation-counters.service.spec.ts,TEST_REQUIRED,Transaction Boundary Engineer,ADV-P0A-001,Served-slate transaction contract,tracked_modified,tested,05_diff_scope_matrix.csv,focused Jest
apps/server/src/experimentation/experiment-engine.service.ts,BOUNDARY_REQUIRED,Transaction Boundary Engineer,ADV-P0A-001,Experiment assignment optional writer,tracked_modified,implemented,05_diff_scope_matrix.csv,experiment epoch tests
apps/server/src/experimentation/experiment-engine.service.spec.ts,TEST_REQUIRED,Transaction Boundary Engineer,ADV-P0A-001,Experiment transaction contract,untracked,tested,05_diff_scope_matrix.csv,focused Jest
apps/server/src/behavior-engine/signals/signal-calculator.service.ts,BOUNDARY_REQUIRED,Transaction Boundary Engineer,ADV-P0A-001,Direct signal writer,tracked_modified,implemented,05_diff_scope_matrix.csv,signal calculator tests
apps/server/src/behavior-engine/signals/signal-calculator.service.spec.ts,TEST_REQUIRED,Transaction Boundary Engineer,ADV-P0A-001,Direct writer transaction contract,untracked,tested,05_diff_scope_matrix.csv,focused Jest
apps/server/src/behavior-engine/signals/signal-detector.service.ts,BOUNDARY_REQUIRED,Coordinator,ADV-P0A-003,Runtime OFF must precede user discovery and derived writer allocation,tracked_modified,implemented,05_diff_scope_matrix.csv,SignalDetector zero-call tests
apps/server/src/behavior-engine/signals/signal-detector.service.spec.ts,TEST_REQUIRED,Coordinator,ADV-P0A-003,Assert zero discovery consent and optional calls,untracked,tested,05_diff_scope_matrix.csv,focused Jest
apps/server/src/behavior-engine/behavior-engine.service.ts,BOUNDARY_REQUIRED,Coordinator,ADV-P0A-001,Active profile writer integration,tracked_modified,implemented,05_diff_scope_matrix.csv,behavior consent tests
apps/server/src/behavior-engine/feature-store/feature-store.service.ts,BOUNDARY_REQUIRED,Coordinator,ADV-P0A-001,Feature/vector optional writer integration,tracked_modified,implemented,05_diff_scope_matrix.csv,feature store tests
apps/server/src/behavior-engine/snapshots/snapshot-builder.service.ts,BOUNDARY_REQUIRED,Coordinator,ADV-P0A-001,Snapshot optional writer integration,tracked_modified,implemented,05_diff_scope_matrix.csv,snapshot tests
apps/server/src/behavior-engine/identity/identity-dimension.builder.ts,BOUNDARY_REQUIRED,Coordinator,ADV-P0A-001,Identity optional writer integration,tracked_modified,implemented,05_diff_scope_matrix.csv,identity tests
apps/server/src/behavior-engine/signals/taste-correction.service.ts,BOUNDARY_REQUIRED,Coordinator,ADV-P0A-001,Taste optional writer integration,tracked_modified,implemented,05_diff_scope_matrix.csv,taste tests
apps/server/src/behavior-engine/profile/read/profile-read.service.ts,BOUNDARY_REQUIRED,Coordinator,ADV-P0A-001,Optional answer writer integration,tracked_modified,implemented,05_diff_scope_matrix.csv,profile read tests
apps/server/src/recommendation/pipeline/ranking.service.ts,BOUNDARY_REQUIRED,Coordinator,ADV-P0A-001,Feature contribution optional writer integration,tracked_modified,implemented,05_diff_scope_matrix.csv,ranking tests
apps/server/src/recommendation/evaluation/recommendation-evaluator.service.ts,BOUNDARY_REQUIRED,Coordinator,ADV-P0A-001,Recommendation outcome/contribution writer integration,tracked_modified,implemented,05_diff_scope_matrix.csv,evaluator tests
apps/server/src/recommendation/evaluation/recommendation-reward.service.ts,BOUNDARY_REQUIRED,Coordinator,ADV-P0A-001,Reward outcome writer integration,tracked_modified,implemented,05_diff_scope_matrix.csv,reward tests
apps/server/src/outcomes/health-outcome.service.ts,BOUNDARY_REQUIRED,Coordinator,ADV-P0A-001,Health optional outcome writer,tracked_modified,implemented,05_diff_scope_matrix.csv,outcome gate tests
apps/server/src/outcomes/behavior-outcome.service.ts,BOUNDARY_REQUIRED,Coordinator,ADV-P0A-001,Behavior optional outcome writer,tracked_modified,implemented,05_diff_scope_matrix.csv,outcome gate tests
apps/server/src/outcomes/adherence-outcome.service.ts,BOUNDARY_REQUIRED,Coordinator,ADV-P0A-001,Adherence optional outcome writer,tracked_modified,implemented,05_diff_scope_matrix.csv,outcome gate tests
apps/server/src/gamification/gamification.service.ts,BOUNDARY_REQUIRED,Coordinator,ADV-P0A-001,Optional derived gamification writer,tracked_modified,implemented,05_diff_scope_matrix.csv,gamification tests
apps/server/src/notifications/notifications.service.ts,BOUNDARY_REQUIRED,Coordinator,ADV-P0A-001,Smart optional notification writer,tracked_modified,implemented,05_diff_scope_matrix.csv,notification consent tests
apps/server/src/test-support/p0-a-epoch-fixture.ts,TEST_REQUIRED,Branch Regression Engineer,ADV-P0A-002,Canonical shared epoch-aware fixture,untracked,tested,05_diff_scope_matrix.csv,five formerly-red recommendation suites
apps/server/src/recommendation/recommendation-requestid-capstone.spec.ts,TEST_REQUIRED,Branch Regression Engineer,ADV-P0A-002,Outbox epoch fixture drift,tracked_modified,tested,05_diff_scope_matrix.csv,focused suite
apps/server/src/recommendation/pipeline/fi-phase-2-3-ingredient-soft-taste.spec.ts,TEST_REQUIRED,Branch Regression Engineer,ADV-P0A-002,Ranker epoch fixture drift,tracked_modified,tested,05_diff_scope_matrix.csv,focused suite
apps/server/src/recommendation/pipeline/fi-phase-2-2-effort-skill-graft.spec.ts,TEST_REQUIRED,Branch Regression Engineer,ADV-P0A-002,Ranker epoch fixture drift,tracked_modified,tested,05_diff_scope_matrix.csv,focused suite
apps/server/src/recommendation/pipeline/l0-loop.integration.spec.ts,TEST_REQUIRED,Branch Regression Engineer,ADV-P0A-002,Ranker epoch fixture drift,tracked_modified,tested,05_diff_scope_matrix.csv,focused suite
apps/server/src/recommendation/pipeline/fi-step-1-ranker-effect.spec.ts,TEST_REQUIRED,Branch Regression Engineer,ADV-P0A-002,Ranker epoch fixture drift,tracked_modified,tested,05_diff_scope_matrix.csv,focused suite
apps/server/src/analytics/event-producer-inventory.spec.ts,TEST_REQUIRED,Branch Regression Engineer,ADV-P0A-002,Stateful provenance promotion mock,tracked_modified,tested,05_diff_scope_matrix.csv,focused analytics producer suite
apps/server/src/auth/auth.service.spec.ts,TEST_REQUIRED,Branch Regression Engineer,ADV-P0A-002,Persisted OTP user serializer contract fixture,tracked_modified,tested,05_diff_scope_matrix.csv,focused auth suite
apps/server/src/admin/observability.service.spec.ts,TEST_REQUIRED,Branch Regression Engineer,ADV-P0A-002,Assert stronger current-epoch relation predicate,tracked_modified,tested,05_diff_scope_matrix.csv,focused observability suite
apps/server/src/recommendation/pipeline/ranking.recipe-prior.spec.ts,TEST_REQUIRED,Recipe-Prior Contract Reviewer,ADV-P0A-002,Fail-neutral behavior without provenance,tracked_modified,tested,05_diff_scope_matrix.csv,recipe-prior suite
apps/server/src/recommendation/pipeline/ranking.recipe-prior-step5.spec.ts,TEST_REQUIRED,Recipe-Prior Contract Reviewer,ADV-P0A-002,Future activation contract without fabricated provenance,tracked_modified,tested,05_diff_scope_matrix.csv,recipe-prior suite
docs/architecture/p0-a/recipe_prior_provenance_decision_v1.md,REPORT_REQUIRED,Recipe-Prior Contract Reviewer,ADV-P0A-002,Mandatory Option A versus Option B decision,untracked,reported,05_diff_scope_matrix.csv,reviewed against tests
docs/architecture/p0-a/optional_processing_transaction_boundary_v2.md,REPORT_REQUIRED,Transaction Boundary Engineer,ADV-P0A-001,Mandatory lock and transaction architecture,untracked,reported,05_diff_scope_matrix.csv,reviewed against DB tests
docs/qa/release/p0-a/11_transaction_boundary_report.md,REPORT_REQUIRED,Transaction Boundary Engineer,ADV-P0A-001,Transaction evidence handoff,untracked,reported,05_diff_scope_matrix.csv,report completeness
docs/qa/release/p0-a/13_branch_regression_closure_report.md,REPORT_REQUIRED,Branch Regression Engineer,ADV-P0A-002,Failure closure handoff,untracked,reported,05_diff_scope_matrix.csv,report completeness
apps/web/src/App.jsx,BOUNDARY_REQUIRED,Coordinator,GAR-LAUNCH-009,E2E-only masked QueryClient instrumentation if required,tracked_modified,implemented,05_diff_scope_matrix.csv,web cache/session tests
apps/web/src/context/AuthContext.jsx,BOUNDARY_REQUIRED,Coordinator,GAR-LAUNCH-009,Account switch and query cleanup evidence hook only if required,tracked_modified,implemented,05_diff_scope_matrix.csv,AuthContext tests
docs/qa/release/p0-a/P0A_PROGRESS.md,REPORT_REQUIRED,Coordinator,P0-A-V2,Continuous gate ledger,untracked,reported,05_diff_scope_matrix.csv,manual and file validation
docs/qa/release/p0-a/12_signal_detector_boundary_report.md,REPORT_REQUIRED,Coordinator,ADV-P0A-003,Signal detector evidence,untracked,reported,05_diff_scope_matrix.csv,report completeness
docs/qa/release/p0-a/14_gap_classification.csv,REPORT_REQUIRED,Coordinator,P0-A-V2,Classify 81 GAP rows,untracked,reported,05_diff_scope_matrix.csv,CSV validation
docs/qa/release/p0-a/14_gap_classification_report.md,REPORT_REQUIRED,Coordinator,P0-A-V2,Gap classification summary,untracked,reported,05_diff_scope_matrix.csv,zero ACTIVE_UNGATED_P0 assertion
docs/qa/release/p0-a/15_v2_full_suite_differential_report.md,REPORT_REQUIRED,Coordinator,P0-A-V2,Final differential evidence,untracked,reported,05_diff_scope_matrix.csv,full suite reconciliation
docs/qa/release/p0-a/16_browser_race_querycache_db_evidence.md,REPORT_REQUIRED,Coordinator,GAR-LAUNCH-009,Browser and DB evidence,untracked,blocked_browser,05_diff_scope_matrix.csv,production preview plus disposable DB
docs/qa/release/p0-a/17_adversarial_rereview.md,REPORT_REQUIRED,Independent Adversarial Reviewer,P0-A-V2,Independent final verdict,untracked,reported,05_diff_scope_matrix.csv,attack matrix
docs/qa/release/p0-a/p0_a_atomic_consent_branch_closure_v2_report.md,REPORT_REQUIRED,Coordinator,P0-A-V2,Main continuation report,untracked,reported,05_diff_scope_matrix.csv,all mandatory fields
docs/qa/release/p0-a/test_results_v2.json,REPORT_REQUIRED,Coordinator,P0-A-V2,Machine-readable tests,untracked,reported,05_diff_scope_matrix.csv,JSON parse
docs/qa/release/p0-a/changed_files_v2.csv,REPORT_REQUIRED,Coordinator,P0-A-V2,Machine-readable v2 changes,untracked,reported,05_diff_scope_matrix.csv,git reconciliation
docs/qa/release/p0-a/open_risks_v2.json,REPORT_REQUIRED,Coordinator,P0-A-V2,Machine-readable risk ledger,untracked,reported,05_diff_scope_matrix.csv,JSON parse
apps/server/src/behavior-engine/behavior-engine.consent-boundary.spec.ts,TEST_REQUIRED,Coordinator,ADV-P0A-001,Prove BehaviorEngine writes use the transaction-scoped client,untracked,tested,05_diff_scope_matrix.csv,focused BehaviorEngine consent boundary
apps/server/src/behavior-engine/snapshots/snapshot-builder.service.spec.ts,TEST_REQUIRED,Coordinator,ADV-P0A-001,Prove all snapshot writes use the transaction-scoped client,untracked,tested,05_diff_scope_matrix.csv,focused SnapshotBuilder boundary
apps/server/src/behavior-engine/feature-store/feature-store.service.spec.ts,TEST_REQUIRED,Coordinator,ADV-P0A-001,Prove feature-vector and feature-row writes use the transaction-scoped client,tracked_modified,tested,05_diff_scope_matrix.csv,focused FeatureStore boundary
apps/server/src/behavior-engine/identity/identity-dimension.builder.spec.ts,TEST_REQUIRED,Coordinator,ADV-P0A-001,Prove identity-dimension writes use the transaction-scoped client,untracked,tested,05_diff_scope_matrix.csv,focused identity boundary
apps/server/src/behavior-engine/signals/taste-correction.service.spec.ts,TEST_REQUIRED,Coordinator,ADV-P0A-001,Prove taste-correction writes use the transaction-scoped client,tracked_modified,tested,05_diff_scope_matrix.csv,focused taste-correction boundary
apps/server/src/behavior-engine/profile/read/profile-read.service.spec.ts,TEST_REQUIRED,Coordinator,ADV-P0A-001,Prove declared-profile writes use the transaction-scoped client,tracked_modified,tested,05_diff_scope_matrix.csv,focused profile-read boundary
apps/server/src/recommendation/pipeline/ranking.service.spec.ts,TEST_REQUIRED,Coordinator,ADV-P0A-001,Prove feature-contribution writes use the transaction-scoped client,tracked_modified,tested,05_diff_scope_matrix.csv,focused ranking boundary
apps/server/src/recommendation/evaluation/recommendation-evaluator.service.spec.ts,TEST_REQUIRED,Coordinator,ADV-P0A-001,Prove recommendation quality outcomes use the transaction-scoped client,tracked_modified,tested,05_diff_scope_matrix.csv,focused evaluator boundary
apps/server/src/recommendation/evaluation/recommendation-reward.service.spec.ts,TEST_REQUIRED,Coordinator,ADV-P0A-001,Prove recommendation reward outcomes use the transaction-scoped client,tracked_modified,tested,05_diff_scope_matrix.csv,focused reward boundary
apps/server/src/outcomes/outcomes.consent-gate.spec.ts,TEST_REQUIRED,Coordinator,ADV-P0A-001,Prove outcome writers use the transaction-scoped client,untracked,tested,05_diff_scope_matrix.csv,focused outcomes boundary
apps/server/src/gamification/gamification.service.spec.ts,TEST_REQUIRED,Coordinator,ADV-P0A-001,Prove gamification writes use the transaction-scoped client,tracked_modified,tested,05_diff_scope_matrix.csv,focused gamification boundary
apps/server/src/notifications/notifications.smart-suggestion-consent.spec.ts,TEST_REQUIRED,Coordinator,ADV-P0A-001,Prove smart-suggestion writes use the transaction-scoped client,untracked,tested,05_diff_scope_matrix.csv,focused notification boundary
apps/server/src/notifications/notification-scheduler.service.ts,BOUNDARY_REQUIRED,Coordinator,ADV-P0A-001,Carry the pre-computation grant epoch into optional notification dispatch,tracked_modified,implemented,05_diff_scope_matrix.csv,focused notification scheduler boundary
apps/server/src/notifications/notification-scheduler.service.spec.ts,TEST_REQUIRED,Coordinator,ADV-P0A-001,Prove scheduler runtime OFF and epoch-aware dispatch behavior,untracked,tested,05_diff_scope_matrix.csv,focused notification scheduler boundary
apps/server/src/behavior-engine/routing/event-router.service.ts,BOUNDARY_REQUIRED,Coordinator,ADV-P0A-001,Authorize and execute processor writes in one locked transaction,tracked_modified,implemented,05_diff_scope_matrix.csv,focused router and processor boundary
apps/server/src/behavior-engine/routing/processor.registry.ts,BOUNDARY_REQUIRED,Coordinator,ADV-P0A-001,Require transaction-scoped processor execution,tracked_modified,implemented,discovered_v2_coupling_recorded_in_ownership,focused router and processor boundary
apps/server/src/behavior-engine/processors/meal-plan.signal-processor.ts,BOUNDARY_REQUIRED,Coordinator,ADV-P0A-001,Use locked transaction client for observation and signal writes,tracked_modified,implemented,05_diff_scope_matrix.csv,processor focused tests
apps/server/src/behavior-engine/processors/personalization.signal-processor.ts,BOUNDARY_REQUIRED,Coordinator,ADV-P0A-001,Use locked transaction client for observation and signal writes,tracked_modified,implemented,05_diff_scope_matrix.csv,processor focused tests
apps/server/src/behavior-engine/processors/recipe.signal-processor.ts,BOUNDARY_REQUIRED,Coordinator,ADV-P0A-001,Use locked transaction client for observation and signal writes,tracked_modified,implemented,05_diff_scope_matrix.csv,processor focused tests
apps/server/src/behavior-engine/processors/recommendation.signal-processor.ts,BOUNDARY_REQUIRED,Coordinator,ADV-P0A-001,Use locked transaction client for attribution observation and signal writes,tracked_modified,implemented,05_diff_scope_matrix.csv,processor focused tests
apps/server/src/behavior-engine/processors/shopping.signal-processor.ts,BOUNDARY_REQUIRED,Coordinator,ADV-P0A-001,Use locked transaction client for observation and signal writes,tracked_modified,implemented,05_diff_scope_matrix.csv,processor focused tests
apps/server/src/behavior-engine/routing/event-router.service.spec.ts,TEST_REQUIRED,Coordinator,ADV-P0A-001,Prove route-time epoch validation and transaction reuse,untracked,tested,05_diff_scope_matrix.csv,focused router boundary
apps/server/src/behavior-engine/processors/direct-processor-runtime-gates.spec.ts,TEST_REQUIRED,Coordinator,ADV-P0A-001,Retain zero-call runtime OFF contract with transaction signature,untracked,tested,05_diff_scope_matrix.csv,processor focused tests
apps/server/src/behavior-engine/processors/fi-step-1-learn-from-rejection.spec.ts,TEST_REQUIRED,Coordinator,ADV-P0A-001,Exercise rejection processors through locked transaction client,tracked_modified,tested,05_diff_scope_matrix.csv,processor focused tests
apps/server/src/behavior-engine/processors/personalization.signal-processor.spec.ts,TEST_REQUIRED,Coordinator,ADV-P0A-001,Exercise personalization processor through locked transaction client,tracked_modified,tested,05_diff_scope_matrix.csv,processor focused tests
apps/server/src/behavior-engine/processors/recipe.signal-processor.spec.ts,TEST_REQUIRED,Coordinator,ADV-P0A-001,Exercise recipe processor through locked transaction client,tracked_modified,tested,05_diff_scope_matrix.csv,processor focused tests
apps/server/src/behavior-engine/processors/recipe.signal-processor.cook-loop.spec.ts,TEST_REQUIRED,Coordinator,ADV-P0A-001,Exercise cook loop through locked transaction client,tracked_modified,tested,05_diff_scope_matrix.csv,processor focused tests
apps/server/src/behavior-engine/processors/recipe.signal-processor.cuisine.spec.ts,TEST_REQUIRED,Coordinator,ADV-P0A-001,Exercise cuisine observations through locked transaction client,tracked_modified,tested,05_diff_scope_matrix.csv,processor focused tests
apps/server/src/behavior-engine/processors/shopping.signal-processor.spec.ts,TEST_REQUIRED,Coordinator,ADV-P0A-001,Exercise shopping processor through locked transaction client,tracked_modified,tested,05_diff_scope_matrix.csv,processor focused tests
apps/server/src/recommendation/pipeline/recommendation-pipeline.service.ts,BOUNDARY_REQUIRED,Coordinator,ADV-P0A-001,Thread the observed joint epoch into served-slate persistence,tracked_modified,implemented,05_diff_scope_matrix.csv,recommendation pipeline plus counters focused tests
apps/server/src/recommendation/pipeline/recommendation-pipeline.service.spec.ts,TEST_REQUIRED,Coordinator,ADV-P0A-001,Assert served-slate expectedEpoch threading and fail-closed omission,tracked_modified,tested,05_diff_scope_matrix.csv,recommendation pipeline focused test
apps/server/src/analytics/event-quality.service.spec.ts,TEST_REQUIRED,Coordinator,ADV-P0A-001,Upgrade Gamification E2E fixture to canonical epoch and transaction contract,tracked_modified,tested,05_diff_scope_matrix.csv,event-quality focused test
apps/web/src/lib/private-session-cache.js,BOUNDARY_REQUIRED,Coordinator,GAR-LAUNCH-009,Expose only an explicitly enabled masked QueryClient summary for browser evidence,untracked,implemented,05_diff_scope_matrix.csv,private-session-cache focused tests
apps/web/src/lib/private-session-cache.test.js,TEST_REQUIRED,Coordinator,GAR-LAUNCH-009,Prove inspection is absent by default and never emits raw account or query values,untracked,tested,05_diff_scope_matrix.csv,focused Vitest
