path,status,owning_agent,finding_ids,acceptance_criteria,reason_required,classification,keep_or_revert,test_coverage,risk
"apps/server/src/behavior-engine/profile/read/food-dna-projection.spec.ts","M","Backend Consent Boundary Agent","GAR-LAUNCH-008","Food-DNA active path uses explicit runtime+current grant; inactive path remains non-personalized","Spec now controls personalization runtime and policy-version fixtures deterministically","TEST_REQUIRED","KEEP","Self: food-dna projection suite","Medium: full-suite isolation previously exposed env-dependent failures"
"apps/server/src/behavior-engine/profile/read/profile-read.service.spec.ts","M","Backend Consent Boundary Agent","GAR-LAUNCH-007;GAR-LAUNCH-008","Profile read/answer routing distinguishes effective current purposes and omits optional stores when inactive","Tests add real runtime/current-policy fixtures and zero optional-read cases","TEST_REQUIRED","KEEP","Self: ProfileReadService L0 and submitAnswer suites","Medium: environment isolation is required"
"apps/server/src/behavior-engine/profile/read/profile-read.service.ts","M","Backend Consent Boundary Agent","GAR-LAUNCH-007;GAR-LAUNCH-008","Core diet/skill/allergy reads remain; UserFact/budget/optional profile reads require effective personalization","getConsentState delegates to ConsentService and getDeclaredAnswers has includeOptional=false default","BOUNDARY_REQUIRED","KEEP","profile-read.service.spec.ts; food-dna-projection.spec.ts","High: central profile API could leak optional data after withdrawal"
"apps/server/src/behavior-engine/profile/reconciliation/profile-reconciliation.spec.ts","M","Allergy & Onboarding Agent","GAR-LAUNCH-005","Reconciled allergy explanation must avoid absolute enforcement claims","Expected safety explanation updated to informational/no-guarantee wording","TEST_REQUIRED","KEEP","Self: reconciliation allergy precedence suite","Low: copy assertion"
"apps/server/src/behavior-engine/profile/reconciliation/profile-reconciliation.ts","M","Allergy & Onboarding Agent","GAR-LAUNCH-005","Reconciliation may preserve declared-allergy precedence but cannot promise guaranteed safety","Only safeExplanation copy changes from absolute to informational with ingredient-check warning","CORE_REQUIRED","KEEP","profile-reconciliation.spec.ts","High: reverting restores false safety claim"
"apps/server/src/behavior-engine/routing/event-outbox.service.spec.ts","M","Backend Consent Boundary Agent","GAR-LAUNCH-008","Queued personalization events are terminally suppressed after deny/withdrawal and not retried","Expanded outbox tests cover consentPurpose provenance, denial, race and ledger interruption","TEST_REQUIRED","KEEP","Self: durable routing suite","Low: test-only"
"apps/server/src/behavior-engine/routing/event-outbox.service.ts","M","Backend Consent Boundary Agent","GAR-LAUNCH-008","Outbox cannot replay queued personalization work after consent loss","Diff checks canonical consent/provenance before routing and marks denied items suppressed rather than retryable","BOUNDARY_REQUIRED","KEEP","event-outbox.service.spec.ts","High: delayed queue replay is an explicit adversarial case"
"apps/server/src/behavior-engine/signals/signal-detector.service.ts","M","Recommendation Consent Gate Agent","GAR-LAUNCH-008","Scheduled signal derivation checks consent before per-user event IO and uses personalization provenance","Diff gates each account, filters UserEvent count and fails closed on consent errors","BOUNDARY_REQUIRED","KEEP","signal-detector.service.spec.ts","High: cron-derived taste signals could survive withdrawal"
"apps/server/src/behavior-engine/signals/taste-correction.service.spec.ts","M","Backend Consent Boundary Agent","GAR-LAUNCH-008","Direct taste correction performs zero optional work on deny/error and active tests use explicit runtime","Spec adds canonical consent fixture and withdrawal coverage","TEST_REQUIRED","KEEP","Self: TasteCorrectionService FI-4.1","Medium: runtime env must be restored"
"apps/server/src/behavior-engine/signals/taste-correction.service.ts","M","Backend Consent Boundary Agent","GAR-LAUNCH-008","Taste preference reads/writes require current personalization; deletion remains available for withdrawal cleanup","Diff gates list/update paths through ConsentService and preserves deleteMany cleanup","BOUNDARY_REQUIRED","KEEP","taste-correction.service.spec.ts","High: taste store is direct optional profile data"
"apps/server/src/behavior-engine/snapshots/snapshot-builder.service.ts","M","Recommendation Consent Gate Agent","GAR-LAUNCH-008","Snapshot build and persistence require personalization and read only personalization-provenance events","Diff gates build/buildAll, filters provenance and rechecks before write","BOUNDARY_REQUIRED","KEEP","snapshot-builder.service.spec.ts","High: snapshots are derived optional profiles"
"apps/server/src/briefing/briefing.module.ts","M","Backend Consent Boundary Agent","GAR-LAUNCH-008","Briefing service must receive canonical ConsentService","Diff imports ConsentModule into BriefingModule","BOUNDARY_REQUIRED","KEEP","briefing.service.spec.ts; server build","Medium: constructor/DI coupling"
"apps/server/src/briefing/briefing.service.spec.ts","M","Backend Consent Boundary Agent","GAR-LAUNCH-007;GAR-LAUNCH-008","Denied briefing returns non-personalized output with no optional reads; analytics suppression stays honest","Test harness adds consent and analytics outcomes plus denied-path assertions","TEST_REQUIRED","KEEP","Self: BriefingService suite","Low: test-only"
"apps/server/src/briefing/briefing.service.ts","M","Backend Consent Boundary Agent","GAR-LAUNCH-007;GAR-LAUNCH-008","Briefing must not read profile/history or claim personalization after deny","Diff checks personalization before tailored IO and returns personalizationEnabled=false fallback","BOUNDARY_REQUIRED","KEEP","briefing.service.spec.ts","High: user-facing briefing aggregates multiple optional stores"
"apps/server/src/common/serializers/user.serializer.spec.ts","M","Allergy & Onboarding Agent","GAR-LAUNCH-004","Partial serializer fixtures must not invent onboardingComplete; full user response derives it safely","One expectation covers conditional onboarding completion serialization","TEST_REQUIRED","KEEP","Self: user.serializer E2","Low: test-only"
"apps/server/src/common/serializers/user.serializer.ts","M","Allergy & Onboarding Agent","GAR-LAUNCH-004","Client completion state must reflect persisted onboardingCompletedAt without altering partial objects","Diff synthesizes onboardingComplete only when onboardingCompletedAt is present","CORE_REQUIRED","KEEP","user.serializer.spec.ts; users-onboarding.spec.ts","Medium: incorrect derivation can unlock onboarding prematurely"
"apps/server/src/consent/consent.service.spec.ts","M","Consent & Analytics Agent","GAR-LAUNCH-007;GAR-LAUNCH-008","Latest-decision/current-policy semantics and default-off runtime are proven for each purpose","Large spec rewrite covers stale versions, decline, withdrawal, exact ACK and runtime flags","TEST_REQUIRED","KEEP","Self; consent focused suite","Low: central policy evidence"
"apps/server/src/consent/consent.service.ts","M","Consent & Analytics Agent","GAR-LAUNCH-007;GAR-LAUNCH-008","One canonical service resolves recorded grants separately from effective runtime-enabled processing","Diff defines purposes, current-policy latest decision, exact write ACK and optional runtime fail-closed behavior","CORE_REQUIRED","KEEP","consent.service.spec.ts; users-consent.spec.ts","Critical: all optional-processing boundaries depend on this truth source"
"apps/server/src/gamification/gamification.module.ts","M","Backend Consent Boundary Agent","GAR-LAUNCH-008","Gamification must receive canonical personalization consent","Diff imports ConsentModule","BOUNDARY_REQUIRED","KEEP","gamification.service.spec.ts; server build","Medium: DI coupling"
"apps/server/src/gamification/gamification.service.spec.ts","M","Backend Consent Boundary Agent","GAR-LAUNCH-008","Denied gamification performs no optional profile/event reads and returns honest baseline","Spec adds injected consent states and zero-IO assertions","TEST_REQUIRED","KEEP","Self: GamificationService suite","Low: test-only"
"apps/server/src/gamification/gamification.service.ts","M","Backend Consent Boundary Agent","GAR-LAUNCH-008","Gamification streak/tailoring cannot use behavior history without personalization","Diff gates personalized calculations with ConsentService and returns neutral output when denied","BOUNDARY_REQUIRED","KEEP","gamification.service.spec.ts","High: derived engagement profile is optional processing"
"apps/server/src/meal-plans/meal-plans.module.ts","M","Personalization Data-Minimization Agent","GAR-LAUNCH-008","Smart plan service must receive canonical consent","Diff imports ConsentModule into MealPlansModule","BOUNDARY_REQUIRED","KEEP","meal-plans.smart-plan-consent.spec.ts; server build","Medium: DI coupling"
"apps/server/src/meal-plans/meal-plans.service.ts","M","Personalization Data-Minimization Agent","GAR-LAUNCH-008","Smart plan always uses core diet/skill and hard safety; optional budget requires personalization","Diff resolves consent before preference select and excludes budget/cost filter when inactive","BOUNDARY_REQUIRED","KEEP","meal-plans.smart-plan-consent.spec.ts; meal-plans.service.spec.ts","High: budget is optional user profiling"
"apps/server/src/meal-plans/planner/fi-step-1-3-planner.spec.ts","M","Backend Consent Boundary Agent","GAR-LAUNCH-008","Existing planner fixture must explicitly grant personalization for historical-event behavior","Constructor fixture adds consent mock without changing planning assertions","TEST_REQUIRED","KEEP","Self: FI step 1-3 planner suite","Low: compatibility test update"
"apps/server/src/meal-plans/planner/meal-plan-course-gate.spec.ts","M","Backend Consent Boundary Agent","GAR-LAUNCH-008","Course-gate planner fixture remains active only under explicit consent","Constructor fixture updated for ConsentService dependency","TEST_REQUIRED","KEEP","Self: meal-plan course gate","Low: compatibility test update"
"apps/server/src/meal-plans/planner/meal-plan-planner.service.spec.ts","M","Backend Consent Boundary Agent","GAR-LAUNCH-008","Denied planner skips UserEvent tailoring while retaining core plan behavior","Spec adds consent mock and denied-path expectations","TEST_REQUIRED","KEEP","Self: MealPlanPlannerService suite","Low: test-only"
"apps/server/src/meal-plans/planner/meal-plan-planner.service.ts","M","Backend Consent Boundary Agent","GAR-LAUNCH-008","Planner historical UserEvent reads require personalization and provenance","Diff injects ConsentService, gates event reads and filters consentPurpose=personalization","BOUNDARY_REQUIRED","KEEP","meal-plan-planner.service.spec.ts","High: meal history can tailor plans after withdrawal"
"apps/server/src/meal-plans/planner/planner-shopping-qa-gate.spec.ts","M","Backend Consent Boundary Agent","GAR-LAUNCH-008","Shopping QA planner fixture explicitly supplies active consent","Constructor-only test update preserves original assertions","TEST_REQUIRED","KEEP","Self: planner shopping QA gate","Low: compatibility test update"
"apps/server/src/notifications/notifications.module.ts","M","Personalization Data-Minimization Agent","GAR-LAUNCH-008","Smart suggestion service must receive canonical consent","Diff imports ConsentModule and wires dependency","BOUNDARY_REQUIRED","KEEP","notifications.smart-suggestion-consent.spec.ts; server build","Medium: DI coupling"
"apps/server/src/notifications/notifications.service.ts","M","Personalization Data-Minimization Agent","GAR-LAUNCH-008","Smart suggestions must return null before profile/meal/favorite/notification IO when inactive","Diff places personalization check before all optional reads/writes","BOUNDARY_REQUIRED","KEEP","notifications.smart-suggestion-consent.spec.ts","High: scheduled/direct suggestion path could bypass UI"
"apps/server/src/outcomes/adherence-outcome.service.ts","M","Outcomes Consent Gate Agent","GAR-LAUNCH-008","Weekly adherence derivation checks personalization before meal-plan/outcome IO","Diff injects ConsentService and skips denied/error users","BOUNDARY_REQUIRED","KEEP","outcomes.consent-gate.spec.ts","High: weekly job derives sensitive user outcomes"
"apps/server/src/outcomes/behavior-outcome.service.ts","M","Outcomes Consent Gate Agent","GAR-LAUNCH-008","Weekly behavior derivation checks personalization before shopping/outcome IO","Diff injects ConsentService and skips denied/error users","BOUNDARY_REQUIRED","KEEP","outcomes.consent-gate.spec.ts","High: shopping behavior is optional derived data"
"apps/server/src/outcomes/health-outcome.service.ts","M","Outcomes Consent Gate Agent","GAR-LAUNCH-008","Weekly health derivation checks personalization before meal-plan/outcome IO","Diff injects ConsentService and skips denied/error users","BOUNDARY_REQUIRED","KEEP","outcomes.consent-gate.spec.ts","High: health-labeled outcome derivation is sensitive"
"apps/server/src/outcomes/outcomes.module.ts","M","Outcomes Consent Gate Agent","GAR-LAUNCH-008","All outcome jobs receive the same canonical ConsentService","Diff imports ConsentModule into OutcomesModule","BOUNDARY_REQUIRED","KEEP","outcomes.consent-gate.spec.ts; server build","Medium: DI coupling"
"apps/server/src/recipes/recipes.service.spec.ts","M","Consent & Analytics Agent","GAR-LAUNCH-007;GAR-LAUNCH-008","Public recipe rail performs zero engagement IO while analytics runtime is OFF and uses only provenanced events when ON","Diff tests default-off determinism, analytics/personalization provenance and absence of MealSlot reads; no recipe fixture/content changes","TEST_REQUIRED","KEEP","Self: RecipesService findAll suite","Medium: only approved recipe-domain test exception"
"apps/server/src/recipes/recipes.service.ts","M","Consent & Analytics Agent","GAR-LAUNCH-007;GAR-LAUNCH-008","Public ordering must not process optional engagement while runtime is OFF or unprovenanced MealSlot/legacy events when ON","getRecipeEngagement now returns before DB IO when OFF, filters UserEvent provenance and removes MealSlot aggregate; no recipe/ingredient record, schema or content changes","BOUNDARY_REQUIRED","KEEP","recipes.service.spec.ts","High: reverting reopens optional aggregate DB IO; approved recipe-domain exception"
"apps/server/src/recommendation/evaluation/recommendation-evaluator.service.spec.ts","M","Recommendation Consent Gate Agent","GAR-LAUNCH-007;GAR-LAUNCH-008","Evaluation performs no per-user reads/writes without both purposes and excludes non-personalization event evidence","Added direct-service deny/error/provenance tests","TEST_REQUIRED","KEEP","Self; recommendation focused lane 116/116","Low: test-only"
"apps/server/src/recommendation/evaluation/recommendation-evaluator.service.ts","M","Recommendation Consent Gate Agent","GAR-LAUNCH-007;GAR-LAUNCH-008","Recommendation evaluation is optional analytics over personalized data and requires both current purposes","Diff gates evaluator before exposure/event/outcome IO and filters event provenance","BOUNDARY_REQUIRED","KEEP","recommendation-evaluator.service.spec.ts","High: offline evaluation could profile withdrawn users"
"apps/server/src/recommendation/evaluation/recommendation-metrics.service.spec.ts","M","Recommendation Consent Gate Agent","GAR-LAUNCH-007;GAR-LAUNCH-008","Metrics cron runtime OFF performs zero optional delegate/DB work","Added explicit default-off and active-runtime coverage","TEST_REQUIRED","KEEP","Self: RecommendationMetricsService suite","Low: test-only"
"apps/server/src/recommendation/evaluation/recommendation-metrics.service.ts","M","Recommendation Consent Gate Agent","GAR-LAUNCH-007;GAR-LAUNCH-008","Scheduled recommendation metrics must stop before optional analytics/personalization IO","Diff adds both runtime-switch checks ahead of cron delegate work","BOUNDARY_REQUIRED","KEEP","recommendation-metrics.service.spec.ts","High: cron bypasses request guards"
"apps/server/src/recommendation/evaluation/recommendation-reward.service.spec.ts","M","Recommendation Consent Gate Agent","GAR-LAUNCH-007;GAR-LAUNCH-008","Reward derivation requires both purposes and personalization-provenance events","Added deny/read-error/legacy-row assertions with positive control","TEST_REQUIRED","KEEP","Self; recommendation focused lane","Low: test-only"
"apps/server/src/recommendation/evaluation/recommendation-reward.service.ts","M","Recommendation Consent Gate Agent","GAR-LAUNCH-007;GAR-LAUNCH-008","Per-user reward/outcome derivation must not run after analytics or personalization withdrawal","Diff gates direct method and filters UserEvent consentPurpose=personalization","BOUNDARY_REQUIRED","KEEP","recommendation-reward.service.spec.ts","High: derived reward could reactivate legacy data"
"apps/server/src/recommendation/exposure/exposure-tracking.service.spec.ts","M","Recommendation Consent Gate Agent","GAR-LAUNCH-007;GAR-LAUNCH-008","Exposure writes/history/fatigue require both purposes with constant consent-query count per slate","Added direct denied/error/N+1/provenance tests","TEST_REQUIRED","KEEP","Self; recommendation focused lane","Low: test-only"
"apps/server/src/recommendation/exposure/exposure-tracking.service.ts","M","Recommendation Consent Gate Agent","GAR-LAUNCH-007;GAR-LAUNCH-008","RecommendationExposure telemetry and penalties are allowed only with analytics+personalization","Diff adds purpose gates to writes/reads and resolves consent once per slate","BOUNDARY_REQUIRED","KEEP","exposure-tracking.service.spec.ts","High: direct telemetry writer otherwise bypasses analytics ingest gate"
"apps/server/src/recommendation/pipeline/candidate-generator.spec.ts","M","Recommendation Consent Gate Agent","GAR-LAUNCH-007;GAR-LAUNCH-008","Denied personalization uses generic public+safety candidates with zero private source reads; public aggregate obeys analytics runtime","Large matrix proves no embeddings/collaboration/profile/event IO and provenanced active aggregate","TEST_REQUIRED","KEEP","Self; recommendation focused lane","Low: test-only"
"apps/server/src/recommendation/pipeline/candidate-generator.ts","M","Recommendation Consent Gate Agent","GAR-LAUNCH-007;GAR-LAUNCH-008","Without personalization, recommendations use only generic public discovery plus declared hard-safety filter","Diff branches sources on canonical consent, gates trending analytics runtime and filters event provenance","BOUNDARY_REQUIRED","KEEP","candidate-generator.spec.ts","Critical: recommendation is the primary optional-processing surface"
"apps/server/src/recommendation/pipeline/fi-phase-2-2-effort-skill-graft.spec.ts","M","Recommendation Consent Gate Agent","GAR-LAUNCH-008","Existing effort/skill rank test explicitly provides exposure and consent dependencies","Only constructor harness changed; original ranking assertions remain","TEST_REQUIRED","KEEP","Self: FI phase 2.2","Low: compatibility fixture"
"apps/server/src/recommendation/pipeline/fi-phase-2-3-ingredient-soft-taste.spec.ts","M","Recommendation Consent Gate Agent","GAR-LAUNCH-008","Existing soft-taste rank test explicitly provides exposure and consent dependencies","Only constructor harness changed; original assertions remain","TEST_REQUIRED","KEEP","Self: FI phase 2.3","Low: compatibility fixture"
"apps/server/src/recommendation/pipeline/fi-step-1-ranker-effect.spec.ts","M","Recommendation Consent Gate Agent","GAR-LAUNCH-008","Existing ranker-effect fixture explicitly grants personalization","Constructor harness adds exposure/consent mocks","TEST_REQUIRED","KEEP","Self: FI step 1 ranker effect","Low: compatibility fixture"
"apps/server/src/recommendation/pipeline/l0-loop.integration.spec.ts","M","Recommendation Consent Gate Agent","GAR-LAUNCH-008","L0 integration keeps active path under explicit consent","Constructor harness adds exposure and consent dependencies without assertion weakening","TEST_REQUIRED","KEEP","Self: L0 loop integration","Low: compatibility fixture"
"apps/server/src/recommendation/pipeline/ranking.recipe-prior-step5.spec.ts","M","Recommendation Consent Gate Agent","GAR-LAUNCH-007;GAR-LAUNCH-008","Recipe-prior Step 5 fixture remains explicit about analytics/personalization dependencies","Minimal constructor/expectation adaptation preserves prior behavior","TEST_REQUIRED","KEEP","Self: ranking recipe-prior step5","Low: compatibility fixture"
"apps/server/src/recommendation/pipeline/ranking.recipe-prior.spec.ts","M","Recommendation Consent Gate Agent","GAR-LAUNCH-007;GAR-LAUNCH-008","Recipe-prior active test supplies exposure tracking and current consent","Fixture update is required by RankingService boundary injection","TEST_REQUIRED","KEEP","Self: ranking recipe-prior suite","Low: compatibility fixture"
"apps/server/src/recommendation/pipeline/ranking.service.spec.ts","M","Recommendation Consent Gate Agent","GAR-LAUNCH-007;GAR-LAUNCH-008","Withdrawal cold-ranks with no vector/experiment/exposure IO; analytics-off avoids popularity and learned-source IO","Expanded tests assert provenance, neutral fallbacks and direct-service gates","TEST_REQUIRED","KEEP","Self; recommendation focused lane","Low: test-only"
"apps/server/src/recommendation/pipeline/ranking.service.ts","M","Recommendation Consent Gate Agent","GAR-LAUNCH-007;GAR-LAUNCH-008","Ranking separates personalization features from analytics learning and falls back to generic cold rank","Diff gates feature vector, experiments, learned weights/priors, exposure history and contribution logs by purpose","BOUNDARY_REQUIRED","KEEP","ranking.service.spec.ts","Critical: a personalized rank can leak optional history without any UI signal"
