"source","gap_text","classification","active_path","runtime_switch","transaction_boundary","evidence","owner","final_status"
"apps/server/src/behavior-engine/signals/signal-calculator.service.ts#applyIngredientPreference","Runtime OFF blocks direct call; GAP: runtime ON direct call has no per-user epoch/final recheck","ACTIVE_GATED","active ingredient-preference writer","OPTIONAL_PERSONALIZATION_PROCESSING_ENABLED direct","shared boundary encloses ingredient-signal upsert","apps/server/src/behavior-engine/signals/signal-calculator.service.spec.ts; apps/server/src/behavior-engine/signals/signal-calculator.service.ts","Transaction Boundary Engineer","closed_transactional_writer"
"apps/server/src/behavior-engine/signals/signal-detector.service.ts#detectBatchSignals","Future processing skips withdrawn user; GAP: no effectiveFrom cutoff and no final pre-write recheck across long chain","ACTIVE_GATED","scheduler checks both switches before logging or user discovery; per-user sources are epoch-filtered","Both canonical optional switches checked before logging, user discovery, consent reads, or optional I/O","stale-signal delete and health update share one expected-epoch boundary; explorer update uses a second expected-epoch boundary and locked calculator API","apps/server/src/behavior-engine/signals/signal-detector.service.ts; apps/server/src/behavior-engine/signals/signal-detector.service.spec.ts","Coordinator — Signal Detector","closed_off_before_discovery_and_transactional_writes"
"apps/server/src/behavior-engine/signals/taste-correction.service.ts#listTastePreferences","Future reads stop; GAP: re-consent returns pre-withdrawal correction/signals without epoch policy","READ_ONLY_FILTERED","owner read requires current personalization epoch and filters signal updatedAt at or after that epoch","OPTIONAL_PERSONALIZATION_PROCESSING_ENABLED via ConsentService","not applicable; read-only epoch filter plus final epoch recheck","apps/server/src/behavior-engine/signals/taste-correction.service.spec.ts; apps/server/src/behavior-engine/signals/taste-correction.service.ts","Coordinator ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Â Behavior Engine","closed_epoch_filtered_read"
"apps/server/src/behavior-engine/signals/taste-correction.service.ts#correctTastePreference","Future non-neutral writes stop; GAP: check-to-upsert race and no consent epoch/version on row","ACTIVE_GATED","non-neutral correction requires current personalization epoch; neutral delete remains a user-initiated privacy-control operation after opt-out","Personalization switch enforced by currentGrantEpoch before optional reads or non-neutral write","non-neutral correction upsert executes inside the shared boundary with expected epoch; neutral deletion is not an authorization-dependent optional write","apps/server/src/behavior-engine/signals/taste-correction.service.ts; apps/server/src/behavior-engine/signals/taste-correction.service.spec.ts","Coordinator — Behavior Engine","closed_transactional_writer"
"apps/server/src/behavior-engine/behavior-engine.service.ts#processEventsForUser","Future calls skip; GAP: no effectiveFrom cutoff and no recheck before UserBehaviorProfile upsert, so old data/revocation race remain","ACTIVE_GATED","active profile derivation filters inputs to joint grant epoch and locks the final profile upsert","Personalization switch via ConsentService","shared boundary with expected joint epoch","apps/server/src/behavior-engine/behavior-engine.consent-boundary.spec.ts; apps/server/src/behavior-engine/behavior-engine.service.ts","Coordinator ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Â Behavior Engine","closed_transactional_writer"
"apps/server/src/behavior-engine/behavior-engine.service.ts#getProfile","Future reads stop; GAP: profile row itself has no evidence epoch, so re-grant can expose a pre-withdrawal profile after gate","READ_ONLY_FILTERED","profile read requires current joint epoch and filters updatedAt at or after epoch","Both optional switches via ConsentService.currentGrantEpoch","not applicable; read-only epoch predicate plus final epoch recheck","apps/server/src/behavior-engine/behavior-engine.consent-boundary.spec.ts; apps/server/src/behavior-engine/behavior-engine.service.ts","Coordinator ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Â Behavior Engine","closed_epoch_filtered_read"
"apps/server/src/behavior-engine/snapshots/snapshot-builder.service.ts#buildAll","Withdrawal before write suppresses; GAP: source queries omit effectiveFrom so re-consent can rebuild from older rows","ACTIVE_GATED","active snapshot writers filter sources to epoch and lock each final upsert","Personalization switch via ConsentService","shared boundary with expected epoch for four snapshot mutations","apps/server/src/behavior-engine/snapshots/snapshot-builder.service.spec.ts; apps/server/src/behavior-engine/snapshots/snapshot-builder.service.ts","Coordinator ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Â Behavior Engine","closed_transactional_writer"
"apps/server/src/behavior-engine/feature-store/feature-store.service.ts#buildFeatureVector/rebuildFeatureVector","Final recheck suppresses write; GAP: cached vector and all sources lack consent epoch, so re-consent serves/rebuilds from pre-withdrawal state","ACTIVE_GATED","active rebuild requires current joint epoch and filters mutable optional sources to that epoch","Both canonical switches enforced by currentGrantEpoch; population reads also have direct OFF gates","vector upsert and feature delete/create replacement execute together inside one shared boundary with expected joint epoch","apps/server/src/behavior-engine/feature-store/feature-store.service.ts; apps/server/src/behavior-engine/feature-store/feature-store.service.spec.ts","Coordinator — Feature Store","closed_atomic_feature_replacement"
"apps/server/src/behavior-engine/feature-store/feature-store.service.ts#getFeatureVector/getDataMaturity","Future reads stop; GAP: re-consent exposes cached vector and pre-withdrawal signals/events without effectiveFrom","READ_ONLY_FILTERED","vector and maturity reads require current epoch and exclude stale vector/signal/event state","Personalization switch via ConsentService","not applicable; read-only epoch predicates","apps/server/src/behavior-engine/feature-store/feature-store.service.spec.ts; apps/server/src/behavior-engine/feature-store/feature-store.service.ts","Coordinator ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Â Feature Store","closed_epoch_filtered_read"
"apps/server/src/behavior-engine/feature-store/feature-store.service.ts#findUsersByFeature","Withdrawn/stale-policy users excluded; re-grant excludes older feature rows; GAP: narrow population-read race remains","READ_ONLY_FILTERED","population query derives latest current-policy joint grants and filters feature rows by each grant epoch","Both optional switches checked before ledger/feature IO","not applicable; read-only current-population epoch filter","apps/server/src/behavior-engine/feature-store/feature-store.service.spec.ts; apps/server/src/behavior-engine/feature-store/feature-store.service.ts","Coordinator ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Â Feature Store","closed_current_population_read"
"apps/server/src/behavior-engine/identity/identity-dimension.builder.ts#IdentityDimensionBuilder.buildAll","Runtime OFF blocks direct call; GAP: runtime ON lacks per-user epoch/final recheck","LEGACY_DISABLED","no production caller exists; only module registration/export and focused tests reference the builder","A direct invocation requires a current joint analytics/personalization epoch","the dormant writer has an expected-epoch shared boundary, but activation still requires source-epoch review","apps/server/src/behavior-engine/identity/identity-dimension.builder.ts; apps/server/src/behavior-engine/behavior-engine.module.ts; apps/server/src/behavior-engine/identity/identity-dimension.builder.spec.ts","Behavior Engine Owner","disabled_no_production_caller_boundary_present"
"apps/server/src/lifestyle/lifestyle-graph.builder.ts#LifestyleGraphBuilder.build/getPrimaryLabel","Runtime OFF blocks direct call; GAP: runtime ON lacks per-user epoch and old derived state can be reused","LEGACY_DISABLED","registered builder has no production caller; only module registration and focused tests remain","OPTIONAL_PERSONALIZATION_PROCESSING_ENABLED direct","not applicable while no production invocation exists","apps/server/src/lifestyle/lifestyle-graph.builder.ts; apps/server/src/lifestyle/lifestyle-graph.builder.spec.ts","Behavior Engine Owner","closed_no_production_caller"
"apps/server/src/behavior-engine/profile/read/profile-read.service.ts#getDeclaredAnswers","Optional reads stop after withdrawal; GAP: re-consent reuses old optional UserFact/budget because no effectiveFrom filter","DEFERRED_WITH_KILL_SWITCH","core diet/skill/allergy owner read remains available; optional facts/budget reuse lacks grant-epoch provenance","Personalization switch through caller ConsentService","canonical personalization runtime must remain OFF for optional enrichment until epoch filtering exists","apps/server/src/behavior-engine/profile/read/profile-read.service.ts; apps/server/src/behavior-engine/profile/read/profile-read.service.spec.ts","Profile Privacy Owner","deferred_optional_enrichment"
"apps/server/src/behavior-engine/profile/read/profile-read.service.ts#getLivingUserProfile/getFoodDnaProjection/getNextQuestion","Observed reads stop; GAP: re-consent loads pre-withdrawal SignalObservation/UserFact/profile state without epoch cutoff","DEFERRED_WITH_KILL_SWITCH","observed living-profile and Food DNA hydration can reuse pre-regrant rows; no redesign is authorized in P0-A","Personalization switch via getConsentState","canonical personalization runtime remains the kill switch; core declared safety profile remains available","apps/server/src/behavior-engine/profile/read/profile-read.service.ts; docs/qa/release/p0-a/09a_prerequisite_quality_blocker.md","Profile Privacy Owner","deferred_out_of_p0a_activation"
"apps/server/src/behavior-engine/profile/read/profile-read.service.ts#submitAnswer","Future optional writes stop; GAP: check-to-write race and no consent epoch marker on UserPreference/UserFact","ACTIVE_GATED","core declarations remain on the core path; optional preference/fact persistence requires the declared purpose's current epoch","Optional purpose runtime is enforced by currentGrantEpoch; core declarations do not depend on optional switches","optional UserPreference and UserFact upserts execute inside the shared boundary with expected purpose epoch","apps/server/src/behavior-engine/profile/read/profile-read.service.ts; apps/server/src/behavior-engine/profile/read/profile-read.service.spec.ts","Coordinator — Profile Privacy","closed_optional_declared_writer"
"apps/server/src/recommendation/runtime-shadow/recommendation-shadow-a8-adapters.ts#createPrismaShadowProfileFeedPort.loadObservations","Normal ProfileRead/A8 caller skips when denied; GAP: direct port call reads optional rows || GAP: observedAt has no effectiveFrom predicate; re-consent loads old observations/profile timestamp || recommendation-shadow-a8-consent-adapter.spec.ts; snapshot-builder provenance tests; GAP: epoch test absent","DEFERRED_WITH_KILL_SWITCH","direct profile-feed port has no self-contained consent/epoch filter and is also used by deferred profile hydration","Caller personalization switch; no self runtime check","canonical personalization runtime remains OFF until caller passes and filters a current epoch","apps/server/src/recommendation/runtime-shadow/recommendation-shadow-a8-adapters.ts; apps/server/src/recommendation/runtime-shadow/recommendation-shadow-a8-consent-adapter.spec.ts","Profile Privacy Owner","deferred_epoch_contract"
"apps/server/src/ai/context/behavioral-context-snapshot.service.ts#BehavioralContextSnapshotService.build","Future optional reads stop; GAP: re-consent reads pre-withdrawal signals/budget without epoch","DEFERRED_WITH_KILL_SWITCH","AI snapshot optional signals/budget are consent-gated but not grant-epoch filtered","Personalization switch via ConsentService","canonical personalization runtime and live-AI activation controls remain OFF for behavioral hydration","apps/server/src/ai/context/behavioral-context-snapshot.service.ts; apps/server/src/ai/context/behavioral-context-snapshot.service.spec.ts","AI Privacy Owner","deferred_epoch_contract"
"apps/server/src/ai/chat/grounded-reply.service.ts#loadUserModel","Future optional reads stop; GAP: re-consent reloads old profile/facts without effectiveFrom","DEFERRED_WITH_KILL_SWITCH","grounded reply optional profile/fact hydration lacks current grant-epoch predicates","Personalization switch via ConsentService","canonical personalization runtime and live chat flags remain OFF for optional model hydration","apps/server/src/ai/chat/grounded-reply.service.ts; apps/server/src/ai/chat/grounded-reply.service.spec.ts","AI Privacy Owner","deferred_epoch_contract"
"apps/server/src/recommendation/recommendation.controller.ts#getRecommendations + RecommendationPipelineService.getRecommendations","Future personalized reads/writes stop; GAP: re-consent can reuse old vectors/signals because downstream lacks epoch","ACTIVE_GATED","recommendation entry point falls back to generic results without a current joint epoch; downstream write rows are classified separately","Both optional switches through downstream services; shadow has separate default-OFF config","transactional writers are delegated; personalized reads recheck joint epoch","apps/server/src/recommendation/recommendation.controller.spec.ts; apps/server/src/recommendation/pipeline/recommendation-pipeline.service.spec.ts","Recommendation Owner","closed_entry_gate"
"apps/server/src/recommendation/pipeline/candidate-generator.ts#CandidateGeneratorService.generate","Future private reads stop; GAP: re-consent private sources use pre-withdrawal vectors/events; public trending lacks current population","DEFERRED_WITH_KILL_SWITCH","generic fallback is safe, but some personalized candidate sources still consume non-epoch user-owned state","Personalization via ConsentService; analytics switch gates trending","canonical personalization runtime remains OFF for personalized source activation; public fallback remains available","apps/server/src/recommendation/pipeline/candidate-generator.spec.ts; apps/server/src/recommendation/pipeline/candidate-generator.ts","Recommendation Activation Owner","deferred_private_source_provenance"
"apps/server/src/recommendation/pipeline/candidate-generator.ts#getTrendingRecipes","GAP: provenance only (analytics|personalization), no current-consent population || GAP: withdrawn users and pre-regrant events remain in aggregate || candidate-generator.spec.ts covers runtime/provenance; GAP: current-population epoch absent","DEFERRED_WITH_KILL_SWITCH","trending aggregate has purpose/timestamp provenance but not a per-subject current-consent population","OPTIONAL_ANALYTICS_INGEST_ENABLED explicit","analytics runtime remains OFF until current-population aggregation is used","apps/server/src/recommendation/pipeline/candidate-generator.ts; apps/server/src/recommendation/pipeline/candidate-generator.spec.ts","Analytics Privacy Owner","deferred_population_filter"
"apps/server/src/recommendation/pipeline/ranking.service.ts#RankingService.rank/rankWithFeatureVector","Future personalized paths stop; GAP: re-consent can reuse old vector/exposure/derived state","ACTIVE_GATED","ranker uses generic defaults without a current joint epoch and validates epoch before/after personalized reads","Both optional switches via ConsentService","write subpath is separately classified at logFeatureContributions","apps/server/src/recommendation/pipeline/ranking.service.spec.ts; apps/server/src/recommendation/pipeline/ranking.service.ts","Recommendation Owner","closed_rank_read_gate"
"apps/server/src/recommendation/pipeline/ranking.service.ts#calculatePopularityScore","GAP: withdrawn/current-population and effectiveFrom not filtered || ranking.service.spec.ts; GAP: no withdrawal-population test","DEFERRED_WITH_KILL_SWITCH","popularity uses purpose/time provenance but not a current-consent subject population","Analytics switch through rank caller","analytics runtime remains OFF for analytics-derived popularity until population filtering exists","apps/server/src/recommendation/pipeline/ranking.service.ts; apps/server/src/recommendation/pipeline/ranking.service.spec.ts","Analytics Privacy Owner","deferred_population_filter"
"apps/server/src/recommendation/pipeline/ranking.service.ts#logFeatureContributions","Future writes stop; GAP: check-to-write race and rows carry no consent epoch","ACTIVE_GATED","contribution logging is reachable only with a current joint epoch and non-empty contribution rows","Both canonical switches enforced by currentPersonalizedAnalyticsEpoch","FeatureContributionLog.createMany executes inside the shared boundary with the rank request's expected joint epoch","apps/server/src/recommendation/pipeline/ranking.service.ts; apps/server/src/recommendation/pipeline/ranking.service.spec.ts","Coordinator — Recommendation","closed_transactional_writer"
"apps/server/src/recommendation/pipeline/recommendation-counters.service.ts#RecommendationCountersService.logSlate","Future slates stop; GAP: narrow check-to-write race; no consent epoch field","ACTIVE_GATED","active served-slate writer","Both switches via ConsentService","shared boundary encloses joint consent and RecommendationServedItem createMany","apps/server/src/recommendation/pipeline/recommendation-counters.service.spec.ts; apps/server/src/recommendation/pipeline/recommendation-counters.service.ts","Transaction Boundary Engineer","closed_transactional_writer"
"apps/server/src/recommendation/exposure/exposure-tracking.service.ts#trackExposure/trackExposures","If consent/epoch changes during write, deletes only UUIDs inserted by that call and returns false/0; GAP: final-recheck race and compensating-delete failure remain; row has no epoch column","ACTIVE_GATED","active exposure writers","Both switches via hasPurpose/currentGrantEpoch","shared boundary encloses joint consent and exposure inserts; compensating delete is no longer the invariant","apps/server/src/recommendation/exposure/exposure-tracking.service.spec.ts; apps/server/src/recommendation/exposure/exposure-tracking.service.ts","Transaction Boundary Engineer","closed_transactional_writer"
"apps/server/src/recommendation/exposure/exposure-tracking.service.ts#getPenalty/getPenalties/getExposureMemory","Withdrawal stops reads; re-grant excludes pre-epoch exposures and UserEvent; countEvent requires personalization provenance; GAP: narrow read race remains","READ_ONLY_FILTERED","exposure memory and penalties require current joint epoch and filter exposure/event timestamps from that epoch","Both switches via hasPurpose/currentGrantEpoch","not applicable; read-only epoch predicates","apps/server/src/recommendation/exposure/exposure-tracking.service.spec.ts; apps/server/src/recommendation/exposure/exposure-tracking.service.ts","Recommendation Privacy Owner","closed_epoch_filtered_read"
"apps/server/src/recommendation/recommendation.controller.ts#trackImpression","Exposure post-write compensation closes detected in-flight change; GAP: final check/use race remains","ACTIVE_GATED","impression endpoint delegates all optional mutations to transactional analytics/exposure/slate writers","Both optional switches through downstream writers","transaction boundaries live in the three writer services","apps/server/src/recommendation/recommendation.controller.spec.ts; apps/server/src/recommendation/exposure/exposure-tracking.service.spec.ts","Recommendation Owner","closed_delegated_writers"
"apps/server/src/recommendation/evaluation/recommendation-evaluator.service.ts#evaluateDailyRecommendationQuality","Future derivation stops; GAP: re-consent uses old attribution/exposure/contribution rows without effectiveFrom","ACTIVE_GATED","daily scheduler checks both canonical switches before user discovery; withdrawn users are skipped before derived reads","Both canonical optional switches checked before user.findMany","per-user quality and reward writers own expected-epoch shared boundaries","apps/server/src/recommendation/evaluation/recommendation-evaluator.service.ts; apps/server/src/recommendation/evaluation/recommendation-evaluator.service.spec.ts","Coordinator — Recommendation Evaluation","closed_off_before_discovery_and_delegated_writers"
"apps/server/src/recommendation/evaluation/recommendation-evaluator.service.ts#buildRecommendationQuality/getLatestRecommendationQuality/getRecommendationAttribution","Future reads/writes stop; GAP: RecommendationAttributionEvent/Exposure/FeatureContribution/UserOutcome lack epoch filters and final pre-write recheck","ACTIVE_GATED","quality sources and readbacks are bounded to the current joint epoch","Both canonical switches enforced by currentPersonalizedAnalyticsEpoch","UserOutcome quality creation executes inside the shared boundary with expected joint epoch","apps/server/src/recommendation/evaluation/recommendation-evaluator.service.ts; apps/server/src/recommendation/evaluation/recommendation-evaluator.service.spec.ts","Coordinator — Recommendation Evaluation","closed_transactional_writer_and_epoch_reads"
