scenario_id,scenario_name,status,evidence_present,evidence_id,evidence_type,file_path,sha256,captured_at,contains_sensitive_data,notes
"SCENARIO_05","Account A to logout to Account B without restart","PASS","true","V33-RUNTIME-CHECKS-S05","REDACTED_RUNTIME_LEDGER","docs/qa/release/p0-a/evidence/browser-v3/runtime_checks_v33.json","294823e9d1f3d243016316095ebfc05a4f5795f8b132089ce09334135476854c","2026-07-13T19:24:46.8443502+03:30","false","REUSED_V33_ONLY_FOR_SCENARIO_05; Same-profile Account B private surfaces; no Account A private state"
"SCENARIO_06","Back and forward after account switch","PASS","true","V33-RUNTIME-CHECKS-S06","REDACTED_RUNTIME_LEDGER","docs/qa/release/p0-a/evidence/browser-v3/runtime_checks_v33.json","294823e9d1f3d243016316095ebfc05a4f5795f8b132089ce09334135476854c","2026-07-13T19:24:46.8443502+03:30","false","REUSED_V33_ONLY_FOR_SCENARIO_06; Ten back and ten forward checks; zero Account A private restore"
"SCENARIO_07","Offline or network failure","PASS","true","V33-RUNTIME-CHECKS-S07","REDACTED_RUNTIME_LEDGER","docs/qa/release/p0-a/evidence/browser-v3/runtime_checks_v33.json","294823e9d1f3d243016316095ebfc05a4f5795f8b132089ce09334135476854c","2026-07-13T19:24:46.8443502+03:30","false","REUSED_V33_ONLY_FOR_SCENARIO_07; Offline failure contained no private DOM; online recovery passed"
"SCENARIOS_08_13","Scenarios 8-13 runtime machine ledger","PASS","true","V34-MACHINE-RESULT","REDACTED_MACHINE_LEDGER","docs/qa/release/p0-a/evidence/browser-v3/v34/machine_result.json","5ae13fd0efc5dd53a196ef7232b8379e51a550c2d2ad14ef9ea355438eaab267","2026-07-13T23:59:12.241+03:30","false","Primary Playwright 1.61.1 system-Chrome PASS ledger; masked and count-only evidence"
"SCENARIO_08","Legacy service-worker migration","PASS","true","S08-V34-SYSTEM-CHROME","REDACTED_SCREENSHOT","docs/qa/release/p0-a/evidence/browser-v3/v34/scenario-08-system-chrome-persistent.png","a14d9a3e305809037b548fe8401b7d58e5d6d43d212489743fa32ecf67f7204a","2026-07-13T23:57:40.361+03:30","false","Post-activation public-only cache state"
"SCENARIO_09","Consent grant","PASS","true","S09-V34-CONSENT-GRANT","REDACTED_SCREENSHOT","docs/qa/release/p0-a/evidence/browser-v3/v34/scenario-09-consent-grant.png","75d611c3e70b425660938302882b20ce9d962eb11858a266b684a1178d3c40df","2026-07-13T23:57:45.994+03:30","false","Independent current-policy grant checkpoint"
"SCENARIO_10","In-flight withdrawal plus event plus refresh","PASS","true","S10-V34-AFTER-REFRESH","REDACTED_SCREENSHOT","docs/qa/release/p0-a/evidence/browser-v3/v34/scenario-10-after-refresh.png","44c24d7c837f3ae5ce762b730049b0420377555b359e5cfd38692e65217a36f6","2026-07-13T23:57:50.127+03:30","false","Canonical withdrawn state after controlled overlap and refresh"
"SCENARIO_11","Re-consent without replay","PASS","true","S11-V34-RECONSENT","REDACTED_SCREENSHOT","docs/qa/release/p0-a/evidence/browser-v3/v34/scenario-11-reconsent.png","75d611c3e70b425660938302882b20ce9d962eb11858a266b684a1178d3c40df","2026-07-13T23:57:53.041+03:30","false","Re-consent checkpoint with zero replay"
"SCENARIO_12","Delayed response during account switch","PASS","true","S12-V34-ACCOUNT-B","REDACTED_SCREENSHOT","docs/qa/release/p0-a/evidence/browser-v3/v34/scenario-12-account-b-after-delayed-release.png","6b073e87a9492337ea7cbb78354b57532d98eeddcb522eebfced433f84eac3af","2026-07-13T23:58:31.885+03:30","false","Account B remains isolated after delayed Account A release"
"VIEWPORT_MATRIX","Exact 24-row viewport matrix","PASS","true","V34-VIEWPORT-MATRIX-SOURCE","REDACTED_MACHINE_CSV","docs/qa/release/p0-a/evidence/browser-v3/v34/viewport_matrix.csv","cc53a179167a259b0f3122804fe10e010e1a30e169bc8f8acbdc3d91f3fc5e46","2026-07-13T23:58:54.827+03:30","false","Playwright source measurements for 6 routes x 4 widths"
"VIEWPORT_MATRIX","Exact 24-row viewport matrix","PASS","true","VIEWPORT_LOGIN_360","REDACTED_SCREENSHOT","docs/qa/release/p0-a/evidence/browser-v3/v34/viewport-360-login.png","f7cf983c577960b30055d059c88abe8e45049834820bd99c179ee23f39865149","2026-07-13T23:58:33.754+03:30","false","Login at programmed CSS width 360; PASS"
"VIEWPORT_MATRIX","Exact 24-row viewport matrix","PASS","true","VIEWPORT_LOGIN_390","REDACTED_SCREENSHOT","docs/qa/release/p0-a/evidence/browser-v3/v34/viewport-390-login.png","edff085e71a730e820c82ce80b96add8b6c902916655bea76eb13ef44cad18dc","2026-07-13T23:58:34.821+03:30","false","Login at programmed CSS width 390; PASS"
"VIEWPORT_MATRIX","Exact 24-row viewport matrix","PASS","true","VIEWPORT_LOGIN_430","REDACTED_SCREENSHOT","docs/qa/release/p0-a/evidence/browser-v3/v34/viewport-430-login.png","b4de9598bc42c3b6c588a4e04d08dcc56b49b4f7e3ab3dd41af717e3197fabb5","2026-07-13T23:58:35.854+03:30","false","Login at programmed CSS width 430; PASS"
"VIEWPORT_MATRIX","Exact 24-row viewport matrix","PASS","true","VIEWPORT_LOGIN_480","REDACTED_SCREENSHOT","docs/qa/release/p0-a/evidence/browser-v3/v34/viewport-480-login.png","d4bad892de98db440658fc7ede008087ebca7d001dc932c16dfdf6108fbd08e6","2026-07-13T23:58:36.887+03:30","false","Login at programmed CSS width 480; PASS"
"VIEWPORT_MATRIX","Exact 24-row viewport matrix","PASS","true","VIEWPORT_PROFILE_360","REDACTED_SCREENSHOT","docs/qa/release/p0-a/evidence/browser-v3/v34/viewport-360-profile.png","dacb73dbe8806ce824d47c4b499cc2592f0bbd4d520ec84b095c1783e4c6f8fc","2026-07-13T23:58:39.575+03:30","false","Profile at programmed CSS width 360; PASS"
"VIEWPORT_MATRIX","Exact 24-row viewport matrix","PASS","true","VIEWPORT_PROFILE_390","REDACTED_SCREENSHOT","docs/qa/release/p0-a/evidence/browser-v3/v34/viewport-390-profile.png","2baf74d414f1167e1354bf04766b3e84e5755d84a37e907e2f079ba5b373c01b","2026-07-13T23:58:43.465+03:30","false","Profile at programmed CSS width 390; PASS"
"VIEWPORT_MATRIX","Exact 24-row viewport matrix","PASS","true","VIEWPORT_PROFILE_430","REDACTED_SCREENSHOT","docs/qa/release/p0-a/evidence/browser-v3/v34/viewport-430-profile.png","b194963a41a8bc6bb4130e9a1e98876b48ae8e5ca2c8412c250738d21f80117d","2026-07-13T23:58:47.649+03:30","false","Profile at programmed CSS width 430; PASS"
"VIEWPORT_MATRIX","Exact 24-row viewport matrix","PASS","true","VIEWPORT_PROFILE_480","REDACTED_SCREENSHOT","docs/qa/release/p0-a/evidence/browser-v3/v34/viewport-480-profile.png","ab941aa9d4d9f9b6dd7410e8183766c96ebb720967a7fc3371b6e2b57b74c308","2026-07-13T23:58:51.867+03:30","false","Profile at programmed CSS width 480; PASS"
"VIEWPORT_MATRIX","Exact 24-row viewport matrix","PASS","true","VIEWPORT_SETTINGS_360","REDACTED_SCREENSHOT","docs/qa/release/p0-a/evidence/browser-v3/v34/viewport-360-settings.png","8838f2fe211bdabe1f65ec4c5472355e497aa35351cb5d69ae0c7f9feaac8bb3","2026-07-13T23:58:40.388+03:30","false","Settings at programmed CSS width 360; PASS"
"VIEWPORT_MATRIX","Exact 24-row viewport matrix","PASS","true","VIEWPORT_SETTINGS_390","REDACTED_SCREENSHOT","docs/qa/release/p0-a/evidence/browser-v3/v34/viewport-390-settings.png","4c3f4553080ad10259d9478c809557941dbda9a62b9fea33b915823073b87b09","2026-07-13T23:58:44.224+03:30","false","Settings at programmed CSS width 390; PASS"
"VIEWPORT_MATRIX","Exact 24-row viewport matrix","PASS","true","VIEWPORT_SETTINGS_430","REDACTED_SCREENSHOT","docs/qa/release/p0-a/evidence/browser-v3/v34/viewport-430-settings.png","e801e61b310704aea8d1f902eb93075156ca20ced5728e779bf2651312260798","2026-07-13T23:58:48.694+03:30","false","Settings at programmed CSS width 430; PASS"
"VIEWPORT_MATRIX","Exact 24-row viewport matrix","PASS","true","VIEWPORT_SETTINGS_480","REDACTED_SCREENSHOT","docs/qa/release/p0-a/evidence/browser-v3/v34/viewport-480-settings.png","d633664ab17076031bd95105e36012988711d1924c78036fc5e3077a6c49c0db","2026-07-13T23:58:52.613+03:30","false","Settings at programmed CSS width 480; PASS"
"VIEWPORT_MATRIX","Exact 24-row viewport matrix","PASS","true","VIEWPORT_FAVORITES_360","REDACTED_SCREENSHOT","docs/qa/release/p0-a/evidence/browser-v3/v34/viewport-360-favorites.png","92a4209eead5853531682c7df28eb5fc6502ac0ebc6d8a1b85498d614b016e5b","2026-07-13T23:58:41.109+03:30","false","Favorites at programmed CSS width 360; PASS"
"VIEWPORT_MATRIX","Exact 24-row viewport matrix","PASS","true","VIEWPORT_FAVORITES_390","REDACTED_SCREENSHOT","docs/qa/release/p0-a/evidence/browser-v3/v34/viewport-390-favorites.png","25b3ba23b474ca045fd4d228a1bf6bf81bcf2b94eb02cac622409a8c054e4ad1","2026-07-13T23:58:45.154+03:30","false","Favorites at programmed CSS width 390; PASS"
"VIEWPORT_MATRIX","Exact 24-row viewport matrix","PASS","true","VIEWPORT_FAVORITES_430","REDACTED_SCREENSHOT","docs/qa/release/p0-a/evidence/browser-v3/v34/viewport-430-favorites.png","4f820c2addfdd1d5d5c23e4dde484c466fbb0b1fa94dd83b2bdf896b188c68a9","2026-07-13T23:58:49.552+03:30","false","Favorites at programmed CSS width 430; PASS"
"VIEWPORT_MATRIX","Exact 24-row viewport matrix","PASS","true","VIEWPORT_FAVORITES_480","REDACTED_SCREENSHOT","docs/qa/release/p0-a/evidence/browser-v3/v34/viewport-480-favorites.png","ca4a37ae4ad57546d09a698b8fc8795a013ea70972ef5ad73452b493f2868c15","2026-07-13T23:58:53.275+03:30","false","Favorites at programmed CSS width 480; PASS"
"VIEWPORT_MATRIX","Exact 24-row viewport matrix","PASS","true","VIEWPORT_SHOPPING_360","REDACTED_SCREENSHOT","docs/qa/release/p0-a/evidence/browser-v3/v34/viewport-360-shopping-list.png","53e2fa6a9ff10db758dad6217f7969e518e6778f90c1cc4d5b00be43a0110f25","2026-07-13T23:58:41.783+03:30","false","Shopping list at programmed CSS width 360; PASS"
"VIEWPORT_MATRIX","Exact 24-row viewport matrix","PASS","true","VIEWPORT_SHOPPING_390","REDACTED_SCREENSHOT","docs/qa/release/p0-a/evidence/browser-v3/v34/viewport-390-shopping-list.png","68a9cf49a42d01d9229980f861b123c79b29a0309f8bd76086719e1eed594df7","2026-07-13T23:58:46.048+03:30","false","Shopping list at programmed CSS width 390; PASS"
"VIEWPORT_MATRIX","Exact 24-row viewport matrix","PASS","true","VIEWPORT_SHOPPING_430","REDACTED_SCREENSHOT","docs/qa/release/p0-a/evidence/browser-v3/v34/viewport-430-shopping-list.png","6782afba1484e3a8fc2b76e5880db101a5d8178225cf57140ccd16eb3fb0731a","2026-07-13T23:58:50.292+03:30","false","Shopping list at programmed CSS width 430; PASS"
"VIEWPORT_MATRIX","Exact 24-row viewport matrix","PASS","true","VIEWPORT_SHOPPING_480","REDACTED_SCREENSHOT","docs/qa/release/p0-a/evidence/browser-v3/v34/viewport-480-shopping-list.png","c5633dc976965c5f90baebc6e2a656a025666453f68418e3549198cc560cd0d0","2026-07-13T23:58:54.040+03:30","false","Shopping list at programmed CSS width 480; PASS"
"VIEWPORT_MATRIX","Exact 24-row viewport matrix","PASS","true","VIEWPORT_CONSENT_360","REDACTED_SCREENSHOT","docs/qa/release/p0-a/evidence/browser-v3/v34/viewport-360-consent-withdrawal-state.png","bdb301389cde88bd1673b9529e69d1b75bb3c6086af14fc7c2021f1829b0703b","2026-07-13T23:58:42.652+03:30","false","Consent withdrawal at programmed CSS width 360; PASS"
"VIEWPORT_MATRIX","Exact 24-row viewport matrix","PASS","true","VIEWPORT_CONSENT_390","REDACTED_SCREENSHOT","docs/qa/release/p0-a/evidence/browser-v3/v34/viewport-390-consent-withdrawal-state.png","b142cb65add9b132095780c91a49fc64af90a236411ff4063c9a232ec85694c0","2026-07-13T23:58:46.756+03:30","false","Consent withdrawal at programmed CSS width 390; PASS"
"VIEWPORT_MATRIX","Exact 24-row viewport matrix","PASS","true","VIEWPORT_CONSENT_430","REDACTED_SCREENSHOT","docs/qa/release/p0-a/evidence/browser-v3/v34/viewport-430-consent-withdrawal-state.png","fe2b78b852f23ba55d874d4c319133bae7e239a32ec64b6824584703ce22044a","2026-07-13T23:58:51.056+03:30","false","Consent withdrawal at programmed CSS width 430; PASS"
"VIEWPORT_MATRIX","Exact 24-row viewport matrix","PASS","true","VIEWPORT_CONSENT_480","REDACTED_SCREENSHOT","docs/qa/release/p0-a/evidence/browser-v3/v34/viewport-480-consent-withdrawal-state.png","b5f0964c9e02c494425de6043dfdc90c47a88c764e7763afb364d97d67a78cd5","2026-07-13T23:58:54.826+03:30","false","Consent withdrawal at programmed CSS width 480; PASS"
"DB_AUDIT","Non-vacuous 15-table database audit","PASS","true","V34-DB-AUDIT-INPUT","REDACTED_DB_AUDIT_INPUT","docs/qa/release/p0-a/evidence/browser-v3/v34/db_audit_input.json","ab20d89b62ce0d1711e0e23e62acf514b9f7b0bd72892c18786a7cb19a92ad38","2026-07-13T23:59:11.639+03:30","false","Count-only 15-table audit and consent-race assertions"
"DB_AUDIT","Count-only pre-drop residue inventory","PASS","true","V34-RESIDUE-BEFORE-DROP","REDACTED_DB_RESIDUE_LEDGER","docs/qa/release/p0-a/evidence/browser-v3/v34/residue_before_drop.json","775ce3f97a068e10af961ebd60c89200f0d8f24523e5e6f5ff5b31379d182a76","2026-07-14T00:01:04.659+03:30","false","Count-only inventory; no row values or identifiers; exact DB later dropped"
