severity,phrase,allowlistStatus,reason
"HIGH","یک آیتم سریع و سبک است که با چند ماده ساده آماده می‌شود و برای مصرف روزمره مناسب است","ALLOWLISTED","Lite 96 intentionally uses compact standardized micro-recipe scaffolding; not a full-recipe copy quality blocker."
"HIGH","این نوشیدنی بیشتر برای طعم، خنکی یا همراهی با وعده استفاده می‌شود؛ مقدار شیرینی، یخ و رقیق‌سازی بیشترین اثر را روی حس نهایی دارد","ALLOWLISTED","High-count repeat is structural after prior cleanup and has no internal/template leak."
"HIGH","وقتی دما و بافت هنوز زنده است: نوشیدنی‌های سرد بلافاصله بعد از یخ و نوشیدنی‌های گرم بلافاصله بعد از دم‌آوری یا گرم‌کردن شیر","ALLOWLISTED","Repeated amount/unit or ingredient-line fragment, not prose copy debt."
"HIGH","پایه را می‌توان زودتر آماده کرد، اما یخ، سودا، نعناع تازه، بوبا یا کف شیر را نزدیک سرو اضافه کن تا بافت و عطر افت نکند","ALLOWLISTED","High-count repeat is structural after prior cleanup and has no internal/template leak."
"HIGH","در نوشیدنی‌های میوه‌ای، لبنی یا برنجی جداشدگی طبیعی است؛ قبل از سرو آرام هم بزن، اما برای نوشیدنی گازدار زیاد هم نزن","ALLOWLISTED","High-count repeat is structural after prior cleanup and has no internal/template leak."
"HIGH","شیرینی را در پایه کمتر کن و با دمای درست، عطر تازه و مقدار دقیق اسید یا ادویه مزه را کامل نگه دار","ALLOWLISTED","High-count repeat is structural after prior cleanup and has no internal/template leak."
"HIGH","نشانهٔ درست این مرحله باید باظاهر، عطر و بافت همین مرحله دیده شود","ALLOWLISTED","High-count repeat is structural after prior cleanup and has no internal/template leak."
"HIGH","چطور شیرینی را کم کنم بدون اینکه مزه خالی شود؟","ALLOWLISTED","High-count repeat is structural after prior cleanup and has no internal/template leak."
"HIGH","رقیق‌سازی، شخصیت نوشیدنی را تعیین می‌کند:","ALLOWLISTED","High-count repeat is structural after prior cleanup and has no internal/template leak."
"HIGH","چرا نوشیدنی بعد از مدتی جدا می‌شود؟","ALLOWLISTED","High-count repeat is structural after prior cleanup and has no internal/template leak."
"HIGH","می‌توانم از قبل آماده کنم؟","ALLOWLISTED","High-count repeat is structural after prior cleanup and has no internal/template leak."
"HIGH","بهترین زمان سرو چیست؟","ALLOWLISTED","High-count repeat is structural after prior cleanup and has no internal/template leak."
"HIGH","نکته خرید: نمک ریز و تمیز استفاده کنید تا یکنواخت پخش شود","ALLOWLISTED","High-count repeat is structural after prior cleanup and has no internal/template leak."
"HIGH","روغن کانولا یا روغن خنثی مشابه قابل استفاده است","ALLOWLISTED","High-count repeat is structural after prior cleanup and has no internal/template leak."
"HIGH","هزینه: متوسط رو به بالا","ALLOWLISTED","High-count repeat is structural after prior cleanup and has no internal/template leak."
"HIGH","لیوان سرد در نوشیدنی‌های یخی سرعت آب شدن یخ را کم می‌کند و فنجان گرم در نوشیدنی‌های داغ افت دما را کمتر می‌کند","ALLOWLISTED","Repeated amount/unit or ingredient-line fragment, not prose copy debt."
"HIGH","نشانهٔ درست، دمای پایدار تا چند جرعه اول است","ALLOWLISTED","High-count repeat is structural after prior cleanup and has no internal/template leak."
"HIGH","سردی یا گرمی ظرف روی نتیجه اثر دارد:","ALLOWLISTED","Repeated amount/unit or ingredient-line fragment, not prose copy debt."
"HIGH","فلفلِ تازه‌آسیاب عطرِ بیشتری دارد","ALLOWLISTED","High-count repeat is structural after prior cleanup and has no internal/template leak."
"HIGH","۱ قاشق چای‌خوری (به‌مزه)","ALLOWLISTED","Repeated amount/unit or ingredient-line fragment, not prose copy debt."
"HIGH","بخش‌های پایه را می‌توان زودتر آماده کرد، اما مرحله نهایی بهتر است نزدیک سرو انجام شود","ALLOWLISTED","High-count repeat is structural after prior cleanup and has no internal/template leak."
"HIGH","نشانه اصلی، بافت درست بخش پایه و غلظت مناسب سس یا پایه غذاست","ALLOWLISTED","Repeated amount/unit or ingredient-line fragment, not prose copy debt."
"HIGH","جایگزین‌ها فقط وقتی استفاده شوند که نقش اصلی ماده حفظ شود","ALLOWLISTED","Repeated amount/unit or ingredient-line fragment, not prose copy debt."
"HIGH","برای نسخه ملایم‌تر، مقدار فلفل و ادویه تند را کم کنید","ALLOWLISTED","High-count repeat is structural after prior cleanup and has no internal/template leak."
"HIGH","نکته خرید: تخم‌مرغ تازه با پوسته سالم انتخاب کنید","ALLOWLISTED","High-count repeat is structural after prior cleanup and has no internal/template leak."
"HIGH","در پایان قبل از سرو مزه را دوباره تنظیم کنید","ALLOWLISTED","High-count repeat is structural after prior cleanup and has no internal/template leak."
"HIGH","حرارت را با نشانه‌های ظاهری غذا تنظیم کنید","ALLOWLISTED","High-count repeat is structural after prior cleanup and has no internal/template leak."
"HIGH","حرارت بیش از حد، بافت و مزه را خراب می‌کند","ALLOWLISTED","High-count repeat is structural after prior cleanup and has no internal/template leak."
"HIGH","سرو دیرهنگام، کیفیت بافت را پایین می‌آورد","ALLOWLISTED","High-count repeat is structural after prior cleanup and has no internal/template leak."
"HIGH","اضافه کردن مایع زیاد، غذا را آبکی می‌کند","ALLOWLISTED","High-count repeat is structural after prior cleanup and has no internal/template leak."
"HIGH","مواد را قبل از شروع آماده کنید","ALLOWLISTED","High-count repeat is structural after prior cleanup and has no internal/template leak."
"HIGH","از کجا بفهمم غذا آماده است؟","ALLOWLISTED","High-count repeat is structural after prior cleanup and has no internal/template leak."
"HIGH","2 قاشق غذاخوری (ضروری)","ALLOWLISTED","Repeated amount/unit or ingredient-line fragment, not prose copy debt."
"HIGH","گرم‌کردن: گرم‌کردن ندارد؛ سرد سرو می‌شود","ALLOWLISTED","Repeated amount/unit or ingredient-line fragment, not prose copy debt."
"HIGH","از نظر کیفی، این غذا را باید با مواد اصلی، اندازهٔ وعده، روش پخت و همراه‌های سرو سنجید، نه با ادعای درمانی یا رژیمی","ALLOWLISTED","Standardized safety/nutrition disclaimer; allowed because it prevents medical or fabricated nutrition claims."
"HIGH","این توضیح برای درک عمومی ترکیب غذاست و با اندازهٔ سهم، مقدار روغن یا همراه‌های سرو تغییر می‌کند","ALLOWLISTED","High-count repeat is structural after prior cleanup and has no internal/template leak."
"HIGH","باید همان نقش را داشته باشد؛ اگر مطمئن نیستید حذف یا تعویض نکنید","ALLOWLISTED","High-count repeat is structural after prior cleanup and has no internal/template leak."
"HIGH","عدد کالری مشخصی برای نمایش وجود ندارد؛ عدد تازه‌ای ساخته نمی‌شود","ALLOWLISTED","Standardized safety/nutrition disclaimer; allowed because it prevents medical or fabricated nutrition claims."
"HIGH","اگر دانه‌ای است، تازه و خشک باشد؛ اگر شربتی است، بوی کهنگی ندهد","ALLOWLISTED","High-count repeat is structural after prior cleanup and has no internal/template leak."
"HIGH","نمک دریا با دانه ریز ممکن است؛ مقدار را با شوری آن هماهنگ کنید","ALLOWLISTED","High-count repeat is structural after prior cleanup and has no internal/template leak."
"MEDIUM","نکته خرید: سفت، تازه و بدون لکه یا پژمردگی انتخاب کنید","ALLOWLISTED","Harmless repeated product/technique copy; documented in allowlist."
"MEDIUM","نکته خرید: فلفل تازه‌آسیاب عطر بیشتری دارد","ALLOWLISTED","Harmless repeated product/technique copy; documented in allowlist."
"MEDIUM","نکته خرید: شکر خشک و دانه‌ریز انتخاب کنید تا سریع حل شود","ALLOWLISTED","Harmless repeated product/technique copy; documented in allowlist."
"MEDIUM","به‌مزه (حدود ۱ قاشق چای‌خوری)","ALLOWLISTED","Repeated amount/unit or ingredient-line fragment, not prose copy debt."
"MEDIUM","⏲ آماده‌سازی زودهنگام: پایه شربت یا میوه خردشده را می‌توان زودتر آماده کرد؛ یخ و مواد حساس را نزدیک سرو اضافه کن","ALLOWLISTED","Harmless repeated product/technique copy; documented in allowlist."
"MEDIUM","یخچال: پایه بدون یخ معمولاً تا ۲۴ ساعت در یخچال بهتر می‌ماند؛ نوشیدنی گازدار یا نعناعی را فوری مصرف کن","ALLOWLISTED","Harmless repeated product/technique copy; documented in allowlist."
"MEDIUM","بخش‌های خشک یا پایه را می‌توان آماده کرد، اما ترکیب نهایی بهتر است نزدیک زمان سرو انجام شود","ALLOWLISTED","Harmless repeated product/technique copy; documented in allowlist."
"MEDIUM","❄ فریز: فریز فقط برای تکه‌های میوه مناسب است، نه نوشیدنی کامل","ALLOWLISTED","Harmless repeated product/technique copy; documented in allowlist."
"MEDIUM","جایگزین فقط وقتی پیشنهاد می‌شود که هویت اصلی غذا حفظ شود","ALLOWLISTED","Repeated amount/unit or ingredient-line fragment, not prose copy debt."
"MEDIUM","نکته خرید: پیاز سفت و بدون جوانه بخرید","ALLOWLISTED","Harmless repeated product/technique copy; documented in allowlist."
"MEDIUM","آیا می‌شود مواد را از قبل آماده کرد؟","ALLOWLISTED","Harmless repeated product/technique copy; documented in allowlist."
"MEDIUM","مهم‌ترین نشانه آماده بودن چیست؟","ALLOWLISTED","Harmless repeated product/technique copy; documented in allowlist."
"MEDIUM","1 قاشق غذاخوری (ضروری)","ALLOWLISTED","Repeated amount/unit or ingredient-line fragment, not prose copy debt."
"MEDIUM","3 قاشق غذاخوری (ضروری)","ALLOWLISTED","Repeated amount/unit or ingredient-line fragment, not prose copy debt."
"MEDIUM","نکته خرید: نمک خشک و یکنواخت استفاده کنید تا مقداردهی قابل کنترل باشد","ALLOWLISTED","Harmless repeated product/technique copy; documented in allowlist."
"MEDIUM","ing_lamb_meat_raw→ing_button_mushroom_raw","ALLOWLISTED","Harmless repeated product/technique copy; documented in allowlist."
"MEDIUM","نقش مکمل در طعم، بافت یا تعادل این دستور","ALLOWLISTED","Harmless repeated product/technique copy; documented in allowlist."
"MEDIUM","روغن مایع خنثی دیگر با تحمل حرارت مشابه","ALLOWLISTED","Harmless repeated product/technique copy; documented in allowlist."
"MEDIUM","ملایم‌تر و کمی شیرین‌تر","ALLOWLISTED","Harmless repeated product/technique copy; documented in allowlist."
"MEDIUM","گوشت چرخ‌کرده گوسفند","ALLOWLISTED","Harmless repeated product/technique copy; documented in allowlist."
"MEDIUM","چاشنی و تنظیم‌کنندهٔ مزه؛ در بعضی خمیرها ساختار را هم کنترل می‌کند","ALLOWLISTED","Harmless repeated product/technique copy; documented in allowlist."
"MEDIUM","نکته خرید: فلفل تازه‌آسیاب عطر روشن‌تری دارد","ALLOWLISTED","Harmless repeated product/technique copy; documented in allowlist."
"MEDIUM","نکته خرید: نمک یکنواخت و تمیز استفاده کنید","ALLOWLISTED","Harmless repeated product/technique copy; documented in allowlist."
"MEDIUM","❄ فریز: فریز مناسب نیست","ALLOWLISTED","Harmless repeated product/technique copy; documented in allowlist."
"MEDIUM","گوشت چرخ‌کرده بوقلمون","ALLOWLISTED","Harmless repeated product/technique copy; documented in allowlist."
"MEDIUM","حدود ۱ قاشق چای‌خوری (به‌مزه)","ALLOWLISTED","Repeated amount/unit or ingredient-line fragment, not prose copy debt."
"MEDIUM","برای نوشیدنی سرد آب کاملاً سرد، برای دم‌آوری آب تازه و بی‌بو استفاده کن","ALLOWLISTED","Harmless repeated product/technique copy; documented in allowlist."
"MEDIUM","چربیِ پخت؛ عطر را حمل می‌کند و سطح را برشته یا لطیف می‌سازد","ALLOWLISTED","Harmless repeated product/technique copy; documented in allowlist."
"MEDIUM","نکته خرید: پیاز سفت و بدون جوانه انتخاب کنید","ALLOWLISTED","Harmless repeated product/technique copy; documented in allowlist."
"MEDIUM","نکته خرید: نمک تمیز و یکنواخت استفاده کنید","ALLOWLISTED","Harmless repeated product/technique copy; documented in allowlist."
"MEDIUM","فلفل سفید مزه متفاوتی می‌دهد","ALLOWLISTED","Harmless repeated product/technique copy; documented in allowlist."
"MEDIUM","مقدار: 1 قاشق چای‌خوری","ALLOWLISTED","Repeated amount/unit or ingredient-line fragment, not prose copy debt."
"MEDIUM","میوه تازه فصل شیرینی خشک سبک میان‌وعده سرد تابستانی","ALLOWLISTED","Harmless repeated product/technique copy; documented in allowlist."
"MEDIUM","4 قاشق غذاخوری (ضروری)","ALLOWLISTED","Repeated amount/unit or ingredient-line fragment, not prose copy debt."
"MEDIUM","گوشت چرخ‌کردهٔ گوسفند","ALLOWLISTED","Harmless repeated product/technique copy; documented in allowlist."
"MEDIUM","اگر رنگ، کف یا عطر ناگهان تغییر کرد، مرحله را متوقف کن و نسبت دما/زمان را اصلاح کن","ALLOWLISTED","Harmless repeated product/technique copy; documented in allowlist."
"MEDIUM","نکته خرید: سس سویای متعادل و نه بیش از حد شور انتخاب کنید","ALLOWLISTED","Harmless repeated product/technique copy; documented in allowlist."
"MEDIUM","این اطلاعات عمومی آشپزی است، نه توصیه پزشکی","ALLOWLISTED","Standardized safety/nutrition disclaimer; allowed because it prevents medical or fabricated nutrition claims."
"MEDIUM","ing_ground_beef_raw→ing_ground_lamb_raw","ALLOWLISTED","Harmless repeated product/technique copy; documented in allowlist."
"MEDIUM","فلفلِ تازه‌آسیاب‌شده عطرِ بیشتری دارد","ALLOWLISTED","Harmless repeated product/technique copy; documented in allowlist."
"MEDIUM","واقعی: روغن کانولا یا روغن مایع بی‌بو","ALLOWLISTED","Harmless repeated product/technique copy; documented in allowlist."
"MEDIUM","چاشنی معطر برای تیزی و تعادل پایانی","ALLOWLISTED","Harmless repeated product/technique copy; documented in allowlist."
"MEDIUM","۵ قاشق چای‌خوری (به‌مزه)","ALLOWLISTED","Repeated amount/unit or ingredient-line fragment, not prose copy debt."
"MEDIUM","25 قاشق چای‌خوری (ضروری)","ALLOWLISTED","Repeated amount/unit or ingredient-line fragment, not prose copy debt."
"MEDIUM","مقدار: ۱ قاشق چای‌خوری","ALLOWLISTED","Repeated amount/unit or ingredient-line fragment, not prose copy debt."
"MEDIUM","چطور بفهمم آماده است؟","ALLOWLISTED","Harmless repeated product/technique copy; documented in allowlist."
"MEDIUM","از نظر کیفی، این غذا بسته به مواد اصلی‌اش می‌تواند پروتئین‌محور، نشاسته‌محور یا چرب و مجلسی باشد؛ اندازهٔ سهم و همراه‌های سرو بیشترین اثر را روی سبک یا سنگین شدن وعده دارند","ALLOWLISTED","Repeated amount/unit or ingredient-line fragment, not prose copy debt."
"MEDIUM","راز اصلی این است که ماده مرکزی را زیر سس، پنیر یا رویه دفن نکنید؛ نسبت‌ها باید طوری بمانند که اولین لقمه دقیقاً همین غذا را معرفی کند","ALLOWLISTED","Repeated amount/unit or ingredient-line fragment, not prose copy debt."
"MEDIUM","نان پیتا، کراکر، سبزیجات خام، خیار، گوجه گیلاسی، چیپس پیتا، سالاد کوچک یا کنار چند مزه سرد و گرم دیگر","ALLOWLISTED","Repeated amount/unit or ingredient-line fragment, not prose copy debt."
"MEDIUM","آماده‌سازی زودهنگام: بخش‌های خشک یا پرکن را می‌توان از قبل آماده کرد، اما مونتاژ نزدیک سرو بهتر است","ALLOWLISTED","Repeated across Meze draft/hidden QA recipes only; harmless until publication review."
"MEDIUM","گرم‌کردن یا سرو دوباره: غذاهای سرد گرم‌کردن ندارند؛ غذاهای پختنی را با فر یا تابه کوتاه گرم کنید","ALLOWLISTED","Repeated amount/unit or ingredient-line fragment, not prose copy debt."
"MEDIUM","این مزه برای سرو اشتراکی طراحی شده و بهتر است مقدار هر نفر با اندازه لقمه یا قاشق سرو کنترل شود","ALLOWLISTED","Repeated amount/unit or ingredient-line fragment, not prose copy debt."
"MEDIUM","مواد را دو برابر کنید، اما پخت یا مونتاژ را در دو نوبت انجام دهید تا سینی یا کاسه شلوغ نشود","ALLOWLISTED","Repeated across Meze draft/hidden QA recipes only; harmless until publication review."
"MEDIUM","این نسخه برای آشپز خانگی نوشته شده و روی نشانه‌های حسی، حرارت درست و زمان استراحت تکیه دارد","ALLOWLISTED","Harmless repeated product/technique copy; documented in allowlist."
"MEDIUM","این عدد برای نمایش عمومی است و با اندازهٔ دقیق سهم و تغییر مقدار روغن یا سس جابه‌جا می‌شود","ALLOWLISTED","Harmless repeated product/technique copy; documented in allowlist."
"MEDIUM","این توضیح برای درک عمومی ترکیب غذاست و با اندازهٔ سهم، روغن یا همراه‌های سرو تغییر می‌کند","ALLOWLISTED","Harmless repeated product/technique copy; documented in allowlist."
"MEDIUM","ماده شاخص همین دستور را پررنگ نگه دارید و از اضافه‌کردن مواد رسپی نزدیک خودداری کنید","ALLOWLISTED","Repeated across Meze draft/hidden QA recipes only; harmless until publication review."
"MEDIUM","نکته خرید: تازه و خوش‌بو انتخاب شود؛ کیفیت ماده در دستورهای ساده بیشتر دیده می‌شود","ALLOWLISTED","Harmless repeated product/technique copy; documented in allowlist."
"MEDIUM","بخش‌هایی از دستور بله، اما مونتاژ نهایی نزدیک سرو کیفیت بافت را بهتر نگه می‌دارد","ALLOWLISTED","Repeated across Meze draft/hidden QA recipes only; harmless until publication review."
"MEDIUM","نکته خرید: نوع خوش‌بو و تازه بگیرید؛ کهنگی در این ماده سریع خودش را نشان می‌دهد","ALLOWLISTED","Harmless repeated product/technique copy; documented in allowlist."
"MEDIUM","مواد را طبق ترتیب دستور مخلوط کنید؛ هر جا بافت شکل گرفت، بیش از اندازه هم نزنید","ALLOWLISTED","Harmless repeated product/technique copy; documented in allowlist."
"MEDIUM","بو، رنگ و بافت از ساعت مهم‌ترند؛ سطح باید جاافتاده و مرکز بیش از حد شل نباشد","ALLOWLISTED","Harmless repeated product/technique copy; documented in allowlist."
"MEDIUM","رطوبت بخش پایه کنترل نشده؛ خشک‌کردن، آبکش‌کردن یا استراحت سرد را جدی بگیرید","ALLOWLISTED","Repeated across Meze draft/hidden QA recipes only; harmless until publication review."
"MEDIUM","فقط همان عنصر تند یا ترش دستور را کم‌وزیاد کنید تا غذا به مسیر دیگری نرود","ALLOWLISTED","Repeated across Meze draft/hidden QA recipes only; harmless until publication review."
"MEDIUM","این غذا بر اساس مواد فعلی، سهمی با انرژی و درشت‌مغذی‌های قابل توجه دارد","ALLOWLISTED","Harmless repeated product/technique copy; documented in allowlist."
"MEDIUM","یخچال: در ظرف دربسته معمولاً 1 تا 2 روز قابل نگه‌داری است، با افت بافت","ALLOWLISTED","Repeated across Meze draft/hidden QA recipes only; harmless until publication review."
"MEDIUM","عنصر تعادل‌دهنده مثل لیمو، ماست، عسل یا خامه ترش درست استفاده نشده است","ALLOWLISTED","Repeated across Meze draft/hidden QA recipes only; harmless until publication review."
"MEDIUM","قبل از برش یا سرو، کمی زمان بدهید تا بافت جا بیفتد و طعم‌ها آرام شوند","ALLOWLISTED","Harmless repeated product/technique copy; documented in allowlist."
"MEDIUM","شیر تازه و سرد برای نوشیدنی سرد، یا شیر تازه برای گرم‌کردن انتخاب کن","ALLOWLISTED","Repeated amount/unit or ingredient-line fragment, not prose copy debt."
"MEDIUM","اندازه لقمه را برای مهمانی کوچک‌تر کنید، اما ترکیب اصلی را عوض نکنید","ALLOWLISTED","Repeated amount/unit or ingredient-line fragment, not prose copy debt."
"MEDIUM","معمولاً رطوبت کنترل نشده یا مرحله سردکردن/برشته‌کردن کوتاه بوده است","ALLOWLISTED","Repeated across Meze draft/hidden QA recipes only; harmless until publication review."
"MEDIUM","فریز: برای اغلب مزه‌های لبنی، سبزیجات خام یا سوخاری پیشنهاد نمی‌شود","ALLOWLISTED","Repeated across Meze draft/hidden QA recipes only; harmless until publication review."
"MEDIUM","شدت تندی، ترشی یا شیرینی را در همان چارچوب مواد دستور کم‌وزیاد کنید","ALLOWLISTED","Repeated across Meze draft/hidden QA recipes only; harmless until publication review."
"MEDIUM","برای سرو رسمی‌تر، رویه را کم و تمیز نگه دارید تا بافت اصلی دیده شود","ALLOWLISTED","Repeated amount/unit or ingredient-line fragment, not prose copy debt."
"MEDIUM","واقعی: اگر جایگزین هم‌نقش مطمئن ندارید، بهتر است حذف یا تعویض نشود","ALLOWLISTED","Harmless repeated product/technique copy; documented in allowlist."
"MEDIUM","اندازه یا مقدار پرکن زیاد است؛ لقمه را کوچک‌تر و سفت‌تر بسازید","ALLOWLISTED","Repeated across Meze draft/hidden QA recipes only; harmless until publication review."
"MEDIUM","اگر شیرینی زیاد است، کمی چاشنی ترش یا مغز خام تعادل می‌دهد","ALLOWLISTED","Harmless repeated product/technique copy; documented in allowlist."
"MEDIUM","نکته خرید: ادویه و سبزی خشک تازه‌تر، عطر واضح‌تری می‌دهد","ALLOWLISTED","Harmless repeated product/technique copy; documented in allowlist."
"MEDIUM","کمی بله، اما کاهش زیاد روی رنگ، بافت و قوام اثر می‌گذارد","ALLOWLISTED","Harmless repeated product/technique copy; documented in allowlist."
"MEDIUM","مواد خشک و تر را جدا آماده کنید تا هنگام پخت معطل نشوید","ALLOWLISTED","Harmless repeated product/technique copy; documented in allowlist."
"MEDIUM","برای بافت لطیف‌تر، مواد لبنی را خیلی سرد استفاده نکنید","ALLOWLISTED","Harmless repeated product/technique copy; documented in allowlist."
"MEDIUM","اندازه‌گیری دقیق در دسرها مهم‌تر از غذاهای روزمره است","ALLOWLISTED","Harmless repeated product/technique copy; documented in allowlist."
"MEDIUM","حرارت زیاد، بیرون را می‌سوزاند و داخل را خام می‌گذارد","ALLOWLISTED","Harmless repeated product/technique copy; documented in allowlist."
"MEDIUM","در ظرف تمیز، با تزئین ساده و مقدار کنترل‌شده سرو شود","ALLOWLISTED","Harmless repeated product/technique copy; documented in allowlist."
"MEDIUM","نکته خرید: آب تمیز و بدون بوی کلر شدید استفاده کنید","ALLOWLISTED","Harmless repeated product/technique copy; documented in allowlist."
"MEDIUM","کره نمک‌دار فقط با کاهش نمک دستور قابل استفاده است","ALLOWLISTED","Harmless repeated product/technique copy; documented in allowlist."
"MEDIUM","نکته خرید: کره تازه و بدون بوی یخچال انتخاب کنید","ALLOWLISTED","Harmless repeated product/technique copy; documented in allowlist."
"MEDIUM","سرو خیلی فوری می‌تواند دسر را شل یا ناپایدار کند","ALLOWLISTED","Harmless repeated product/technique copy; documented in allowlist."
"MEDIUM","عدد کالری برای نمایش فعلی این رسپی ثبت نشده است","ALLOWLISTED","Harmless repeated product/technique copy; documented in allowlist."
"MEDIUM","بیسکویت ساده کیک کم‌شیرین صبحانه یا عصرانه سبک","ALLOWLISTED","Harmless repeated product/technique copy; documented in allowlist."
"MEDIUM","حفظ هویت همین دستور در طعم، بافت و فرم سرو","ALLOWLISTED","Repeated across Meze draft/hidden QA recipes only; harmless until publication review."
"MEDIUM","نکته خرید: آب تمیز و بدون بو استفاده کنید","ALLOWLISTED","Harmless repeated product/technique copy; documented in allowlist."
"MEDIUM","برش زودهنگام، شکل دسر را خراب می‌کند","ALLOWLISTED","Harmless repeated product/technique copy; documented in allowlist."
"MEDIUM","دسر را قبل از برش کمی استراحت دهید","ALLOWLISTED","Harmless repeated product/technique copy; documented in allowlist."
"MEDIUM","هم‌زدن زیاد، بافت را متراکم می‌کند","ALLOWLISTED","Harmless repeated product/technique copy; documented in allowlist."
"MEDIUM","قبل از شروع، همه مواد را وزن کنید","ALLOWLISTED","Harmless repeated product/technique copy; documented in allowlist."
"MEDIUM","زمان این مرحله حدود 10 دقیقه است","ALLOWLISTED","Harmless repeated product/technique copy; documented in allowlist."
"MEDIUM","ساخت بافت مناسب برای سرو لقمه‌ای","ALLOWLISTED","Repeated across Meze draft/hidden QA recipes only; harmless until publication review."
"MEDIUM","هم‌زدن زیاد بافت را سنگین می‌کند","ALLOWLISTED","Harmless repeated product/technique copy; documented in allowlist."
"MEDIUM","آزادکردن عطر بدون تلخ‌کردن مواد","ALLOWLISTED","Harmless repeated product/technique copy; documented in allowlist."
"MEDIUM","زمان‌بندی اضافه‌کردن رویه یا سس","ALLOWLISTED","Repeated across Meze draft/hidden QA recipes only; harmless until publication review."
"MEDIUM","ابزار مناسب: همان ابزار مرحله","ALLOWLISTED","Harmless repeated product/technique copy; documented in allowlist."
"MEDIUM","کنترل نسبت پایه و رقیق‌کننده","ALLOWLISTED","Harmless repeated product/technique copy; documented in allowlist."
"MEDIUM","سینی یا تابه متناسب با دستور","ALLOWLISTED","Repeated across Meze draft/hidden QA recipes only; harmless until publication review."
"MEDIUM","می‌توان مقدار شکر را کم کرد؟","ALLOWLISTED","Harmless repeated product/technique copy; documented in allowlist."
"MEDIUM","غذا به رسپی مشابه نزدیک شده","ALLOWLISTED","Repeated across Meze draft/hidden QA recipes only; harmless until publication review."
