"recipeId","slug","title","ingredients","steps","grisComplete","unresolved","duplicatePublic","copyResidue","status"
"meze50_18_dutch-cheese-souffle-bites","dutch-cheese-souffle-bites","کاسوفله پنیر هلندی","4","5","true","0","false","false","READY_TO_PUBLISH"
"meze50_19_chili-cheese-potato-wedges","chili-cheese-potato-wedges","قاچ سیب زمینی چیلی چیز","4","5","true","0","false","false","READY_TO_PUBLISH"
"meze50_20_buffalo-cauliflower-bites","buffalo-cauliflower-bites","گل کلم با سس بوفالو","5","5","true","0","false","false","READY_TO_PUBLISH"
"meze50_21_zaatar-crispy-chickpeas","zaatar-crispy-chickpeas","نخود برشته زعتر","4","5","true","0","false","false","READY_TO_PUBLISH"
"meze50_22_smoky-spiced-roasted-nuts","smoky-spiced-roasted-nuts","آجیل بوداده تند و دودی","5","5","true","0","false","false","READY_TO_PUBLISH"
"meze50_23_quick-cucumber-pickles","quick-cucumber-pickles","خیارشور سریع خانگی","5","5","true","0","false","false","READY_TO_PUBLISH"
"meze50_24_jalapeno-popper-bites","jalapeno-popper-bites","لقمه هالوپینو پاپر","4","5","true","0","false","false","READY_TO_PUBLISH"
"meze50_25_queso-fundido-with-mushrooms-and-peppers","queso-fundido-with-mushrooms-and-peppers","کِسو فوندیدو قارچ و فلفل","5","5","true","0","false","false","READY_TO_PUBLISH"
"meze50_26_seven-layer-bean-dip-cups","seven-layer-bean-dip-cups","دیپ لوبیای هفت لایه کوچک","5","5","true","0","false","false","READY_TO_PUBLISH"
"meze50_27_kimchi-cheese-pancake-bites","kimchi-cheese-pancake-bites","پنکیک کیمچی و پنیر لقمه ای","5","5","true","0","false","false","READY_TO_PUBLISH"
"meze50_28_gochujang-cucumber-cups","gochujang-cucumber-cups","خیار کره ای گوچوجانگ","5","5","true","0","false","false","READY_TO_PUBLISH"
"meze50_29_garlic-chili-edamame","garlic-chili-edamame","ادامامه سیر و چیلی","5","5","true","0","false","false","READY_TO_PUBLISH"
"meze50_30_thai-peanut-cucumber-cups","thai-peanut-cucumber-cups","کاپ خیار با سس بادام زمینی تایلندی","5","5","true","0","false","false","READY_TO_PUBLISH"
"meze50_31_zaatar-sumac-deviled-eggs","zaatar-sumac-deviled-eggs","تخم مرغ شیطانی زعتر و سماق","5","5","true","0","false","false","READY_TO_PUBLISH"
"meze50_32_herbed-cheese-ball-bites","herbed-cheese-ball-bites","توپک پنیر و سبزی","4","5","true","0","false","false","READY_TO_PUBLISH"
"meze50_33_chickpea-sesame-crackers","chickpea-sesame-crackers","کراکر نخود و کنجد","4","6","true","0","false","false","READY_TO_PUBLISH"
"meze50_34_crispy-onion-rings-with-yogurt-dip","crispy-onion-rings-with-yogurt-dip","پیاز حلقه ای سوخاری با سس ماست","5","6","true","0","false","false","READY_TO_PUBLISH"
"meze50_35_eggplant-nachos-with-garlic-yogurt","eggplant-nachos-with-garlic-yogurt","ناچوی بادمجان با ماست سیر","5","5","true","0","false","false","READY_TO_PUBLISH"
"meze50_36_parmesan-zucchini-chips","parmesan-zucchini-chips","چیپس کدو سبز پارمزانی","4","6","true","0","false","false","READY_TO_PUBLISH"
"meze50_37_mini-kofta-skewers-with-mint-yogurt","mini-kofta-skewers-with-mint-yogurt","کباب کوفته کوچک با ماست نعناع","5","6","true","0","false","false","READY_TO_PUBLISH"
"meze50_38_grilled-cheese-and-cherry-tomato-skewers","grilled-cheese-and-cherry-tomato-skewers","پنیر کبابی با گوجه گیلاسی","4","6","true","0","false","false","READY_TO_PUBLISH"
"meze50_39_harissa-cauliflower-florets-with-lemon-yogurt","harissa-cauliflower-florets-with-lemon-yogurt","گل کلم هریسایی با ماست لیمویی","5","6","true","0","false","false","READY_TO_PUBLISH"
"meze50_40_sweet-potato-wedges-with-lemon-tahini","sweet-potato-wedges-with-lemon-tahini","سیب زمینی شیرین با تاهینی و لیمو","5","5","true","0","false","false","READY_TO_PUBLISH"
"meze50_41_turkish-feta-herb-borek-cigars","turkish-feta-herb-borek-cigars","بورک سیگاری پنیر و سبزی","4","5","true","0","false","true","NEEDS_COPY_POLISH"
"meze50_42_corn-scallion-fritter-bites","corn-scallion-fritter-bites","فریتر ذرت و پیازچه","5","5","true","0","false","false","READY_TO_PUBLISH"
"meze50_43_lentil-kofta-lettuce-cups","lentil-kofta-lettuce-cups","لقمه کوفته عدس با کاهو","5","5","true","0","false","false","READY_TO_PUBLISH"
"meze50_44_charred-broccoli-with-lemon-tahini","charred-broccoli-with-lemon-tahini","بروکلی کبابی با سس تاهینی","6","5","true","0","false","false","READY_TO_PUBLISH"
"meze50_45_sesame-tofu-cucumber-skewers","sesame-tofu-cucumber-skewers","سیخ توفو کنجدی و خیار","5","5","true","0","false","false","READY_TO_PUBLISH"
"meze50_46_herbed-cheese-stuffed-mushrooms","herbed-cheese-stuffed-mushrooms","قارچ شکم پر پنیر و سبزی","4","5","true","0","false","false","READY_TO_PUBLISH"
"meze50_47_sumac-pita-chips-with-garlic-yogurt","sumac-pita-chips-with-garlic-yogurt","چیپس پیتا سماق و ماست سیر","5","5","true","0","false","false","READY_TO_PUBLISH"
"meze50_48_smoky-pinto-bean-salad","smoky-pinto-bean-salad","سالاد لوبیا چیتی و فلفل دودی","5","5","true","0","false","false","READY_TO_PUBLISH"
"meze50_49_mini-cheesy-chicken-taquitos","mini-cheesy-chicken-taquitos","تاکیتوی مرغ پنیری کوچک","4","5","true","0","false","false","READY_TO_PUBLISH"
"meze50_50_caramelized-onion-yogurt-dip","caramelized-onion-yogurt-dip","دیپ پیاز کاراملی و ماست یونانی","4","5","true","0","false","false","READY_TO_PUBLISH"
