scope_id,data_examples,data_subject,system_of_record,household_default_visibility,OWNER,ADULT,MEMBER,GUEST_SHOPPER,MANAGED_PROFILE_DIRECT,VIEW_SHARE_DEFAULT,REVIEW_SHARE_DEFAULT,external_share_option,grant_or_revoke_authority,default_processing,proposed_retention_not_legal_advice,required_controls
HOUSEHOLD_PANTRY,"ingredient; quantity/unit; provenance","household","HouseholdPantryItem","active non-guest members","ALLOW","ALLOW","ALLOW","NONE","NONE","OFF","OFF","FORBIDDEN","members with pantry capability","core shared inventory only after member chooses household pantry","until item deletion or household deletion","semantic uniqueness; no receipt auto-apply; explainable provenance"
MEAL_NAMES,"planned recipe/title; date; meal type","household plan","MealPlanVersion and HouseholdMealSlot","active non-guest members","ALLOW","ALLOW","ALLOW","NONE","NONE","ON_MINIMUM_SCOPE","ON_MINIMUM_SCOPE","AVAILABLE","share creator selects immutable versions; owner can revoke","required for meal-board operation","immutable version retained while board/history retained; deletion policy required","selected-version projection; no private recipe draft exposure; noindex/no-store share"
MEAL_INGREDIENTS,"ingredient names used by planned meals","household plan and recipe source","Recipe plus shared projection","active non-guest members","ALLOW","ALLOW","ALLOW","NONE","NONE","OFF","OFF","AVAILABLE_DEFAULT_OFF","share creator with explicit selection; sensitive constraint data never inferred into output","used for plan/shopping calculation","derived with selected plan version; avoid duplicate long-term snapshot where possible","source attribution; recipe visibility; scope projection; no allergy explanation"
MEAL_QUANTITIES,"ingredient amounts and units","household plan","MealPlanVersion projection","active non-guest members","ALLOW","ALLOW","ALLOW","NONE","NONE","OFF","OFF","AVAILABLE_DEFAULT_OFF","share creator with explicit selection","used for serving/shopping calculation","same as selected immutable version","unit policy; null not zero; deterministic scaling; no unsafe medical meaning"
MEAL_SERVINGS,"planned servings; one slot-level aggregate guest count","household participants","MealPlanVersion and HouseholdMealSlot","active non-guest members","ALLOW","ALLOW","ALLOW","NONE","NONE","OFF","OFF","AVAILABLE_DEFAULT_OFF","share creator for external scope; member with PLAN_GUEST_COUNT_WRITE changes bounded slot value","required for serving calculation","plan-version life; detailed attendance can have shorter retention","single integer guestCount 0..20 on versioned slot; no per-attendee copy/double count; share aggregate where possible"
MEAL_ATTENDANCE_DETAIL,"member eating or absent; managed profile attendance","individual member or managed profile","MealAttendance","active plan members","ALLOW","ALLOW","ALLOW","NONE","NONE","OFF","OFF","FORBIDDEN_IN_V1","linked member for self; managed-profile manager only for managed profile; no guest-count authority","default unknown until member/manager acts","proposed detailed history 90 days or board archive; validate need","self/manager write only; attendance row has no guestCount; no location inference; notification does not name absence"
MEAL_REACTION,"want; acceptable; not this week","individual profile","MealReaction","active plan members","ALLOW","ALLOW","ALLOW","NONE","NONE","OFF","OFF","FORBIDDEN_IN_V1","linked member for self; managed-profile manager for managed profile","optional explicit action","proposal/board life then delete or aggregate","one reaction per profile; not social score; no automatic confirmation"
PLAN_NOTE_AND_PROPOSAL_REASON,"meal note; proposal explanation; change reason","household author","MealProposal or slot note","active plan members","ALLOW","ALLOW","ALLOW","NONE","NONE","OFF","OFF","AVAILABLE_DEFAULT_OFF_FOR_REVIEW_CONTEXT","share creator selects note scope; author/capable member controls household note","optional user-entered content","board/share life; comments may be deleted/pseudonymized under approved policy","length limit; output escape; PII/sensitive warning; never notification lock-screen copy"
ADVISOR_COMMENT_PROPOSAL,"reviewer label; contextual comment; typed plan patch; explanation","external reviewer and household","PlanComment and AdvisorProposal","members with plan/share access","ALLOW","ALLOW","READ_IF_PLAN_MEMBER","NONE","NONE","OFF","REVIEW_MODE_ONLY","INHERENT_TO_REVIEW_SHARE_ONLY","reviewer may withdraw own open entry; share creator/owner revokes share; member accepts/rejects","explicit review-share action only","share expiry plus proposed 90 days for review history; legal/product validation","no canonical write; selected version only; rate/length/XSS controls; reviewer is not represented as clinician"
RAW_ALLERGY,"declared allergen names; severity if ever collected","individual user or managed profile","existing UserAllergy/private managed store","not shared by membership","SELF_ONLY","SELF_ONLY","SELF_ONLY","NONE","NONE","OFF","OFF","AVAILABLE_ONLY_AS_SEPARATE_EXPLICIT_ALLERGY_DISPLAY_SCOPE","linked data subject; managed-profile manager","default off for household display and external sharing","user-private policy; revoke household grant immediately; do not duplicate into plan history","field-level projection; owner no bypass; no logs/events/push; medical claims forbidden"
ALLERGY_SAFETY_USE,"server receives constraint and returns safe/blocked outcome without raw label","individual user or managed profile","HouseholdDataGrant plus user-private source","outcome only when grant active","OUTCOME_ONLY","OUTCOME_ONLY","OUTCOME_ONLY","NONE","NONE","OFF","OFF","FORBIDDEN_RAW; OUTCOME MAY AFFECT SHARED PLAN","linked data subject; managed-profile manager","default off until explicit grant","grant until revoked; derived outcome not retained beyond plan decision unless necessary","purpose separation; raw label not returned; fail closed for subject recommendations; no inference text"
HEALTH_ADJACENT_PREFERENCE,"health goal; diet constraint; weight or condition-related preference","individual user or managed profile","UserHealthGoal/private profile","not shared by membership","SELF_ONLY","SELF_ONLY","SELF_ONLY","NONE","NONE","OFF","OFF","FORBIDDEN_IN_V1","linked data subject; managed-profile manager","default off","user-private retention/erasure policy","no medical claims; no advisor disclosure; no analytics without explicit approved purpose"
PRIVATE_NOTE,"personal food or cooking note marked private","individual user","user-private store","self only","SELF_ONLY","SELF_ONLY","SELF_ONLY","NONE","NONE","OFF","OFF","FORBIDDEN","data subject only","default private","until subject deletes/account erasure","separate storage and endpoint; excluded from household search/events/export of others"
NUTRITION_SUMMARY,"per-serving calories/macros with source/completeness label","recipe/plan information; may become household context","Nutrition plus plan projection","active plan members when reliable","ALLOW","ALLOW","ALLOW","NONE","NONE","OFF","OFF","AVAILABLE_DEFAULT_OFF","share creator explicitly enables; owner may revoke","show only with reliable source/completeness; not medical","derived from selected version; do not persist duplicate if calculable","null not zero; estimated label; source; no medical advice; share scope separate"
PERSONAL_NUTRITION_HISTORY,"individual consumption or nutrition trend over time","individual user","user-private history if introduced","self only","SELF_ONLY","SELF_ONLY","SELF_ONLY","NONE","NONE","OFF","OFF","FORBIDDEN","data subject only","not collected in household v1 unless separately approved","none in v1; future retention requires explicit policy","not inferred from household attendance; no owner/advisor access"
PERSONAL_PROFILE_DETAIL,"locale; country; preferences; behavior profile; private avatar/contact","individual user","User and behavior profile","not shared beyond safe member display","SELF_ONLY","SELF_ONLY","SELF_ONLY","NONE","NONE","OFF","OFF","FORBIDDEN","data subject; existing consent controls for behavioral data","only existing core/consented purpose","existing policy; no household copy","data minimization; separate safe display projection; no behavioral profile in household event"
MANAGED_PROFILE_IDENTITY,"display name; manager relationship; optional avatar","managed profile and manager","HouseholdMemberProfile","active members see display only","DISPLAY_ONLY","DISPLAY_ONLY","DISPLAY_ONLY","NONE","NONE","OFF","OFF","FORBIDDEN_BY_DEFAULT","manager; owner only audited manager-transfer/household lifecycle","explicit manager creation; no login","until manager deletes or household deletion; pseudonymize references","no credentials/social/contact; no advisor/guest scope; guardian/legal gate before child marketing"
RECEIPT_IMAGE_AND_OCR,"receipt photo; merchant; line items; time; payment fragments","purchaser and potentially household","future private receipt store","not shared by default","SELF_ONLY","SELF_ONLY","SELF_ONLY","NONE","NONE","OFF","OFF","FORBIDDEN","uploader only; explicit confirmation for derived pantry changes","feature off until OCR/privacy architecture review","proposed delete raw image after reviewed extraction or within 30 days; validate legal/business need","redact payment/loyalty/contact; private storage; no automatic pantry update; vendor DPA/region review"
LOCATION,"continuous GPS; precise route; background location","individual device user","NOT COLLECTED","none","NONE","NONE","NONE","NONE","NONE","OFF","OFF","FORBIDDEN","not applicable","forbidden","zero retention","shopping session is explicit presence only; no geolocation permission"
INVITE_SECRET_AND_METADATA,"invite public ID; token HMAC digest; versioned target-address HMAC digest; expiry; status","invitee; household","HouseholdInvite","owner/inviter sees status not secret","STATUS_ONLY","OWN_INVITE_STATUS","NONE","NONE","NONE","OFF","OFF","FORBIDDEN","creator/owner revoke; bound invitee accept/decline","only when invite created; no-target invite forbidden","plaintext token never stored; terminal metadata proposed 30 days then minimize; security retention approval required","32-byte token secret; separate token and target HMAC peppers/key versions; target DB CHECK; constant-time current/previous-key match; raw address transient/encrypted only for delivery and absent from logs/activity/notifications"
SHARE_SECRET_AND_METADATA,"share public ID; HMAC digest; versions; scopes; expiry; access timestamps","household and external reviewer","PlanShare","creator/owner status; members only if product requires","ALLOW_STATUS","OWN_SHARE_STATUS","NONE","NONE","NONE","TOKEN_IS_BEARER_NOT_RESPONSE","TOKEN_IS_BEARER_NOT_RESPONSE","FORBIDDEN_AS_DATA_FIELD","creator/owner scope/revoke","only explicit share creation","plaintext never stored; digest/status proposed 30 days after terminal; access metadata shorter/minimized","fragment; HMAC pepper; no referrer/analytics/cache; rate limit; no raw IP unless approved security need"
SECURITY_AUDIT,"owner transfer; role/removal; invite/share revoke; denied security events","household members/operators","restricted HouseholdActivityEvent/security log","owner restricted; not ordinary member feed","ALLOW_REDACTED","NONE","NONE","NONE","NONE","OFF","OFF","FORBIDDEN","system records; security/privacy approval controls retention","required legitimate security operation subject to legal validation","proposed 180 days then aggregate/delete; policy approval required","no tokens/raw payload/IP by default; operator RBAC; tamper evidence; access audit"
IN_APP_NOTIFICATION,"canonical intent; visible title/body only when IN_APP available; deep link; action state; read/dismiss","recipient user","NotificationIntent; NotificationDelivery; visible legacy Notification","recipient only when in-app channel enabled","SELF_ONLY","SELF_ONLY","SELF_ONLY","SELF_ONLY","NONE","OFF","OFF","FORBIDDEN","recipient preference/read/delete; system creates intent from authorized event","core actionable events per server preference; muted/push-only intents create no legacy inbox row","intent and visible inbox proposed 90 days or user deletion; action expiry may be shorter","recipient relation derived server-side; channel-specific delivery; generic sensitive copy; old readers cannot display suppressed intent"
PUSH_LOCKSCREEN_PAYLOAD,"generic app/household action notice; opaque notification ID","recipient device user","NotificationDelivery and push provider transient payload","device lock screen per OS settings","SELF_ONLY","SELF_ONLY","SELF_ONLY","SELF_ONLY","NONE","OFF","OFF","FORBIDDEN","recipient explicit push/lock detail preference; revoke device subscription","default off until push readiness; generic text default","provider transient; delivery metadata proposed 30 days; payload bodies not logged","no item/meal/allergy/child/notes by default; quiet hours; device binding; provider review"
PUSH_SUBSCRIPTION,"endpoint; public keys; device label; last delivery result","recipient user/device","future PushSubscription","self only","SELF_ONLY","SELF_ONLY","SELF_ONLY","SELF_ONLY","NONE","OFF","OFF","FORBIDDEN","recipient/device logout or settings revoke","default off; created only after permission/opt-in","until revoked/invalid; delete promptly on 410 or account deletion","encrypt/restrict endpoint; never analytics/log/export secret material; account-switch rebind protection"
HOUSEHOLD_PRODUCT_ANALYTICS,"activation event names; counts; pseudonymous household/user IDs","users and household","existing consent-gated analytics plus approved aggregate","not visible as member data","NONE","NONE","NONE","NONE","NONE","OFF","OFF","FORBIDDEN","data subject consent controls optional analytics; operator aggregate only","default off where current consent policy requires; core operational metrics minimized","existing approved analytics retention only; no new duration without review","no item names/notes/allergies/tokens/photos; purpose and consent enforcement; k-anonymized reporting where needed"
IDEMPOTENCY_AND_SYNC_METADATA,"client mutation UUID; request hash; entity/version; household sequence; error code","acting user and household operation","IdempotencyRecord and HouseholdActivityEvent","not user content; safe status may appear","NONE","NONE","NONE","NONE","NONE","OFF","OFF","FORBIDDEN","system lifecycle; user cannot repurpose keys","required for integrity","offline queue maximum 7 days; full idempotent result at least 30 days; compact non-executable tombstone through day 90; event replay retention separately measured","no auth token/full request/private fields; principal-bound key; old queue auto-replay rejected; tombstone returns result-expired without execution"
