"recipeId","slug","titleFa","classification","exactBlocker","status","isPublic"
"garnish_recipe_fa_113_2a1debd0","anar-polo-shirazi","انارپلو شیرازی","KEEP_REVIEWONLY","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe.","reviewOnly","false"
"garnish_recipe_fa_862_dbf3d4d5","baghali-polo-ba-goosht","باقالی پلو با گوشت","KEEP_REVIEWONLY","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe.","reviewOnly","false"
"garnish_recipe_fa_96_730b7817","boz-ghormeh-kermani","بزقرمه کرمانی","KEEP_REVIEWONLY","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe.","reviewOnly","false"
"garnish_recipe_fa_1276_cdef73d2","tas-kabab","تاس‌کباب","KEEP_REVIEWONLY","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe.","reviewOnly","false"
"garnish_recipe_fa_216_1bfdfe55","saffron-joojeh-kabab","جوجه کباب زعفرانی","KEEP_REVIEWONLY","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe.","reviewOnly","false"
"garnish_recipe_fa_101_877a41d3","khoresh-aloo","خورش آلو","KEEP_REVIEWONLY","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe.","reviewOnly","false"
"garnish_recipe_intl_098_0fbf4374","irish-stew","خورش ایرلندی","KEEP_REVIEWONLY","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe.","reviewOnly","false"
"garnish_recipe_fa_190_49162ac2","khoresh-morgh-qeysi","خورش مرغ قیسی","KEEP_REVIEWONLY","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe.","reviewOnly","false"
"garnish_recipe_fa_1251_3f83f105","khoresh-bademjan","خورشت بادمجان","KEEP_REVIEWONLY","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe.","reviewOnly","false"
"garnish_recipe_fa_99_14f1018b","khoresh-rivas","خورشت ریواس","KEEP_REVIEWONLY","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe.","reviewOnly","false"
"garnish_recipe_fa_98_601bddc6","khoresh-havij-tabrizi","خورشت هویج تبریزی","KEEP_REVIEWONLY","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe.","reviewOnly","false"
"garnish_recipe_fa_1261_99e02971","dampokhtak-mash-polo","دمپختک (ماش‌پلو تهرانی)","KEEP_REVIEWONLY","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe.","reviewOnly","false"
"garnish_recipe_fa_1280_13a22528","reshteh-polo-shirazi","رشته‌پلو شیرازی","KEEP_REVIEWONLY","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe.","reviewOnly","false"
"garnish_recipe_fa_1272_b3180a59","zireh-polo-kermani","زیره‌پلو کرمانی","KEEP_REVIEWONLY","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe.","reviewOnly","false"
"garnish_recipe_fa_1767_4e6ed616","shami-kabab-lorestan","شامی کباب لرستانی","KEEP_REVIEWONLY","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe.","reviewOnly","false"
"garnish_recipe_fa_154_cdfcadf7","sholeh-mashhadi","شله مشهدی","KEEP_REVIEWONLY","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe.","reviewOnly","false"
"garnish_recipe_fa_1250_cb9a971c","shirin-polo","شیرین‌پلو (مرصع‌پلو)","KEEP_REVIEWONLY","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe.","reviewOnly","false"
"garnish_recipe_fa_864_37673192","adas-polo-ba-goosht","عدس‌پلو با گوشت","KEEP_REVIEWONLY","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe.","reviewOnly","false"
"garnish_recipe_fa_129_5d8a7866","ghanbar-polo-shirazi","قنبرپلو شیرازی","KEEP_REVIEWONLY","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe.","reviewOnly","false"
"garnish_recipe_fa_1239_1be04a64","gheymeh-nesar","قیمه نثار","KEEP_REVIEWONLY","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe.","reviewOnly","false"
"garnish_recipe_fa_866_9986ddf5","loobia-polo-ba-goosht","لوبیا پلو با گوشت چرخ‌کرده","KEEP_REVIEWONLY","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe.","reviewOnly","false"
"garnish_recipe_fa_1296_5d4fca2c","morgh-torsh-gilani","مرغ ترش گیلانی","KEEP_REVIEWONLY","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe.","reviewOnly","false"
"garnish_recipe_fa_86_ffcd0713","kabab-bonab","کباب بناب","KEEP_REVIEWONLY","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe.","reviewOnly","false"
"garnish_recipe_fa_1197_73204fa8","kabab-tabei-morgh","کباب تابه‌ای مرغ","KEEP_REVIEWONLY","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe.","reviewOnly","false"
"garnish_recipe_fa_1196_6cbbd3af","kabab-tabei-goosht","کباب تابه‌ای گوشت","KEEP_REVIEWONLY","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe.","reviewOnly","false"
"garnish_recipe_fa_112_9764d4aa","kadoo-polo-mazandarani","کدو پلو مازندرانی","KEEP_REVIEWONLY","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe.","reviewOnly","false"
"garnish_recipe_fa_139_012333bd","kufteh-berenji","کوفته برنجی","KEEP_REVIEWONLY","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe.","reviewOnly","false"
"garnish_recipe_intl_038_16764713","swedish-meatballs","کوفته سوئدی","KEEP_REVIEWONLY","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe.","reviewOnly","false"
"garnish_recipe_intl_077_40b61937","kofte","کوفتهٔ ترکی","KEEP_REVIEWONLY","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe.","reviewOnly","false"
"garnish_recipe_fa_94_78034c8a","abgoosht-kashk","آبگوشت کشک","KEEP_REVIEWONLY","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe.","reviewOnly","false"
"garnish_recipe_intl_095_c9024579","avgolemono","آوگولمونو","KEEP_REVIEWONLY","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe.","reviewOnly","false"
"garnish_recipe_intl_028_ecdcc65f","stamppot","استامپوت (پوره سیب‌زمینی و کلم ترش)","KEEP_REVIEWONLY","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe.","reviewOnly","false"
"garnish_recipe_intl_123_e8fa3267","spaghetti-al-limone","اسپاگتی آل لیمونه","KEEP_REVIEWONLY","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe.","reviewOnly","false"
"garnish_recipe_intl_062_ce31c267","spaghetti-aglio-e-olio","اسپاگتی سیر و روغن","KEEP_REVIEWONLY","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe.","reviewOnly","false"
"garnish_recipe_fa_1334_8963bd85","meat-strudel","اشترودل گوشت","KEEP_REVIEWONLY","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe.","reviewOnly","false"
"garnish_recipe_fa_1072_b55bdfe7","eshkeneh","اشکنه","KEEP_REVIEWONLY","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe.","reviewOnly","false"
"garnish_recipe_intl_012_46d4828e","imam-bayildi","امام بایلدی","KEEP_REVIEWONLY","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe.","reviewOnly","false"
"garnish_recipe_fa_121_b6f01192","omelet-rob","املت رب","KEEP_REVIEWONLY","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe.","reviewOnly","false"
"garnish_recipe_intl_066_d22397d4","borscht","بورش","KEEP_REVIEWONLY","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe.","reviewOnly","false"
"garnish_recipe_fa_115_ba80ef7c","tahandaz-morgh","ته‌انداز مرغ","KEEP_REVIEWONLY","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe.","reviewOnly","false"
"garnish_recipe_fa_164_8367ec24","tahchin-goosht-bademjan","ته‌چین گوشت و بادمجان","KEEP_REVIEWONLY","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe.","reviewOnly","false"
"garnish_recipe_fa_1290_f5fc285f","halim-bademjan","حلیم بادمجان","KEEP_REVIEWONLY","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe.","reviewOnly","false"
"garnish_recipe_fa_1238_296fbec3","halim-gandom","حلیم گندم","KEEP_REVIEWONLY","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe.","reviewOnly","false"
"garnish_recipe_fa_1343_5bf8151c","chicken-and-mushroom","خوراک مرغ و قارچ","KEEP_REVIEWONLY","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe.","reviewOnly","false"
"garnish_recipe_fa_1816_dec0afbb","cream-of-chicken-soup","سوپ شیر","KEEP_REVIEWONLY","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe.","reviewOnly","false"
"garnish_recipe_intl_046_0c90256b","red-lentil-soup","سوپ عدس قرمز ترکی","KEEP_REVIEWONLY","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe.","reviewOnly","false"
"garnish_recipe_intl_014_33ae62d8","miso-soup","سوپ میسو","KEEP_REVIEWONLY","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe.","reviewOnly","false"
"garnish_recipe_intl_032_a150e5b1","minestrone-soup","سوپ مینسترونه","KEEP_REVIEWONLY","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe.","reviewOnly","false"
"garnish_recipe_intl_128_22442750","fatteh","فته","KEEP_REVIEWONLY","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe.","reviewOnly","false"
"garnish_recipe_fa_2054_be491f02","gheymeh-sibzamini","قیمه سیب زمینی","KEEP_REVIEWONLY","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe.","reviewOnly","false"
"garnish_recipe_fa_1323_cf6bcb5c","lasagna","لازانیا","KEEP_REVIEWONLY","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe.","reviewOnly","false"
"garnish_recipe_intl_025_b9bdfd91","fish-and-chips","ماهی و چیپس","KEEP_REVIEWONLY","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe.","reviewOnly","false"
"garnish_recipe_fa_1195_4b547f19","persian-makaroni","ماکارونی","KEEP_REVIEWONLY","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe.","reviewOnly","false"
"garnish_recipe_fa_1333_db68905d","fried-chicken","مرغ سوخاری","KEEP_REVIEWONLY","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe.","reviewOnly","false"
"garnish_recipe_intl_101_b76754a7","piri-piri-chicken","مرغ پیری‌پیری","KEEP_REVIEWONLY","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe.","reviewOnly","false"
"garnish_recipe_intl_127_65e78281","maqluba","مقلوبه","KEEP_REVIEWONLY","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe.","reviewOnly","false"
"garnish_recipe_fa_1225_159208a2","mirza-ghasemi","میرزا قاسمی","KEEP_REVIEWONLY","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe.","reviewOnly","false"
"garnish_recipe_fa_103_066b318c","vavishka","واویشکا","KEEP_REVIEWONLY","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe.","reviewOnly","false"
"garnish_recipe_fa_2103_d26d79d5","alfredo-pasta","پاستا آلفردو","KEEP_REVIEWONLY","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe.","reviewOnly","false"
"garnish_recipe_intl_094_a48d62c1","pasta-e-fagioli","پاستا ای فاجولی","KEEP_REVIEWONLY","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe.","reviewOnly","false"
"garnish_recipe_fa_2064_b5a2a37a","pesto-pasta","پاستا پستو","KEEP_REVIEWONLY","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe.","reviewOnly","false"
"garnish_recipe_intl_061_0bfbb206","polenta-con-funghi","پلنتا با قارچ","KEEP_REVIEWONLY","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe.","reviewOnly","false"
"garnish_recipe_intl_136_76743d5b","pot-au-feu","پوت‌او‌فو","KEEP_REVIEWONLY","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe.","reviewOnly","false"
"garnish_recipe_intl_118_9ecd21c7","pollo-al-ajillo","پویو آل آخیو","KEEP_REVIEWONLY","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe.","reviewOnly","false"
"garnish_recipe_intl_040_7d7b90a1","pierogi","پیروگی لهستانی","KEEP_REVIEWONLY","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe.","reviewOnly","false"
"garnish_recipe_fa_197_dbaa9b9a","chelo-mahicheh","چلو ماهیچه","KEEP_REVIEWONLY","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe.","reviewOnly","false"
"garnish_recipe_fa_1263_0e8a8255","kaleh-joosh","کاله‌جوش (کله‌جوش)","KEEP_REVIEWONLY","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe.","reviewOnly","false"
"garnish_recipe_fa_1071_6e0696a6","kotlet-goosht","کتلت گوشت","KEEP_REVIEWONLY","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe.","reviewOnly","false"
"garnish_recipe_fa_111_4cb37a1a","kateh-shomali","کته شمالی","KEEP_REVIEWONLY","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe.","reviewOnly","false"
"garnish_recipe_fa_1743_005c3739","kashk-bademjan","کشک بادمجان","KEEP_REVIEWONLY","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe.","reviewOnly","false"
"garnish_recipe_fa_1528_32041352","kaleh-pacheh","کله پاچه","KEEP_REVIEWONLY","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe.","reviewOnly","false"
"garnish_recipe_intl_120_ae775732","koenigsberger-klopse","کونیگسبرگر کلوپسه","KEEP_REVIEWONLY","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe.","reviewOnly","false"
"garnish_recipe_fa_134_34e1816f","kuku-bademjan","کوکو بادمجان","KEEP_REVIEWONLY","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe.","reviewOnly","false"
"garnish_recipe_fa_2049_765e338a","kuku-sabzi","کوکو سبزی","KEEP_REVIEWONLY","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe.","reviewOnly","false"
"garnish_recipe_fa_1270_70cc3cff","yatimcheh","یتیمچه","KEEP_REVIEWONLY","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe.","reviewOnly","false"
