"recipeId","slug","titleFa","exactBlocker"
"garnish_recipe_fa_99_14f1018b","khoresh-rivas","خورشت ریواس","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe."
"garnish_recipe_fa_98_601bddc6","khoresh-havij-tabrizi","خورشت هویج تبریزی","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe."
"garnish_recipe_fa_1261_99e02971","dampokhtak-mash-polo","دمپختک (ماش‌پلو تهرانی)","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe."
"garnish_recipe_fa_1280_13a22528","reshteh-polo-shirazi","رشته‌پلو شیرازی","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe."
"garnish_recipe_fa_1272_b3180a59","zireh-polo-kermani","زیره‌پلو کرمانی","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe."
"garnish_recipe_fa_1767_4e6ed616","shami-kabab-lorestan","شامی کباب لرستانی","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe."
"garnish_recipe_fa_154_cdfcadf7","sholeh-mashhadi","شله مشهدی","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe."
"garnish_recipe_fa_1250_cb9a971c","shirin-polo","شیرین‌پلو (مرصع‌پلو)","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe."
"garnish_recipe_fa_864_37673192","adas-polo-ba-goosht","عدس‌پلو با گوشت","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe."
"garnish_recipe_fa_129_5d8a7866","ghanbar-polo-shirazi","قنبرپلو شیرازی","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe."
"garnish_recipe_fa_1239_1be04a64","gheymeh-nesar","قیمه نثار","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe."
"garnish_recipe_fa_866_9986ddf5","loobia-polo-ba-goosht","لوبیا پلو با گوشت چرخ‌کرده","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe."
"garnish_recipe_fa_1296_5d4fca2c","morgh-torsh-gilani","مرغ ترش گیلانی","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe."
"garnish_recipe_fa_86_ffcd0713","kabab-bonab","کباب بناب","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe."
"garnish_recipe_fa_1197_73204fa8","kabab-tabei-morgh","کباب تابه‌ای مرغ","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe."
"garnish_recipe_fa_1196_6cbbd3af","kabab-tabei-goosht","کباب تابه‌ای گوشت","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe."
"garnish_recipe_fa_112_9764d4aa","kadoo-polo-mazandarani","کدو پلو مازندرانی","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe."
"garnish_recipe_fa_139_012333bd","kufteh-berenji","کوفته برنجی","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe."
"garnish_recipe_intl_038_16764713","swedish-meatballs","کوفته سوئدی","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe."
"garnish_recipe_intl_077_40b61937","kofte","کوفتهٔ ترکی","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe."
"garnish_recipe_fa_94_78034c8a","abgoosht-kashk","آبگوشت کشک","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe."
"garnish_recipe_intl_095_c9024579","avgolemono","آوگولمونو","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe."
"garnish_recipe_intl_028_ecdcc65f","stamppot","استامپوت (پوره سیب‌زمینی و کلم ترش)","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe."
"garnish_recipe_intl_123_e8fa3267","spaghetti-al-limone","اسپاگتی آل لیمونه","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe."
"garnish_recipe_intl_062_ce31c267","spaghetti-aglio-e-olio","اسپاگتی سیر و روغن","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe."
"garnish_recipe_fa_1334_8963bd85","meat-strudel","اشترودل گوشت","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe."
"garnish_recipe_fa_1072_b55bdfe7","eshkeneh","اشکنه","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe."
"garnish_recipe_intl_012_46d4828e","imam-bayildi","امام بایلدی","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe."
"garnish_recipe_fa_121_b6f01192","omelet-rob","املت رب","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe."
"garnish_recipe_intl_066_d22397d4","borscht","بورش","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe."
"garnish_recipe_fa_115_ba80ef7c","tahandaz-morgh","ته‌انداز مرغ","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe."
"garnish_recipe_fa_164_8367ec24","tahchin-goosht-bademjan","ته‌چین گوشت و بادمجان","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe."
"garnish_recipe_fa_1290_f5fc285f","halim-bademjan","حلیم بادمجان","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe."
"garnish_recipe_fa_1238_296fbec3","halim-gandom","حلیم گندم","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe."
"garnish_recipe_fa_1343_5bf8151c","chicken-and-mushroom","خوراک مرغ و قارچ","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe."
"garnish_recipe_fa_1816_dec0afbb","cream-of-chicken-soup","سوپ شیر","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe."
"garnish_recipe_intl_046_0c90256b","red-lentil-soup","سوپ عدس قرمز ترکی","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe."
"garnish_recipe_intl_014_33ae62d8","miso-soup","سوپ میسو","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe."
"garnish_recipe_intl_032_a150e5b1","minestrone-soup","سوپ مینسترونه","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe."
"garnish_recipe_intl_128_22442750","fatteh","فته","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe."
"garnish_recipe_fa_2054_be491f02","gheymeh-sibzamini","قیمه سیب زمینی","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe."
"garnish_recipe_fa_1323_cf6bcb5c","lasagna","لازانیا","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe."
"garnish_recipe_intl_025_b9bdfd91","fish-and-chips","ماهی و چیپس","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe."
"garnish_recipe_fa_1195_4b547f19","persian-makaroni","ماکارونی","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe."
"garnish_recipe_fa_1333_db68905d","fried-chicken","مرغ سوخاری","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe."
"garnish_recipe_intl_101_b76754a7","piri-piri-chicken","مرغ پیری‌پیری","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe."
"garnish_recipe_intl_127_65e78281","maqluba","مقلوبه","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe."
"garnish_recipe_fa_1225_159208a2","mirza-ghasemi","میرزا قاسمی","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe."
"garnish_recipe_fa_103_066b318c","vavishka","واویشکا","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe."
"garnish_recipe_fa_2103_d26d79d5","alfredo-pasta","پاستا آلفردو","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe."
"garnish_recipe_intl_094_a48d62c1","pasta-e-fagioli","پاستا ای فاجولی","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe."
"garnish_recipe_fa_2064_b5a2a37a","pesto-pasta","پاستا پستو","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe."
"garnish_recipe_intl_061_0bfbb206","polenta-con-funghi","پلنتا با قارچ","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe."
"garnish_recipe_intl_136_76743d5b","pot-au-feu","پوت‌او‌فو","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe."
"garnish_recipe_intl_118_9ecd21c7","pollo-al-ajillo","پویو آل آخیو","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe."
"garnish_recipe_intl_040_7d7b90a1","pierogi","پیروگی لهستانی","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe."
"garnish_recipe_fa_197_dbaa9b9a","chelo-mahicheh","چلو ماهیچه","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe."
"garnish_recipe_fa_1263_0e8a8255","kaleh-joosh","کاله‌جوش (کله‌جوش)","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe."
"garnish_recipe_fa_1071_6e0696a6","kotlet-goosht","کتلت گوشت","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe."
"garnish_recipe_fa_111_4cb37a1a","kateh-shomali","کته شمالی","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe."
"garnish_recipe_fa_1743_005c3739","kashk-bademjan","کشک بادمجان","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe."
"garnish_recipe_fa_1528_32041352","kaleh-pacheh","کله پاچه","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe."
"garnish_recipe_intl_120_ae775732","koenigsberger-klopse","کونیگسبرگر کلوپسه","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe."
"garnish_recipe_fa_134_34e1816f","kuku-bademjan","کوکو بادمجان","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe."
"garnish_recipe_fa_2049_765e338a","kuku-sabzi","کوکو سبزی","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe."
"garnish_recipe_fa_1270_70cc3cff","yatimcheh","یتیمچه","No three-source reputable evidence packet is attached for this recipe. No documented product-decision pass proves the current public identity is safe."
