"feature_id","intake_group","original_idea","decision","proposed_phase","problem_with_original","improved_version","reason","evidence","reconsideration_criteria","user_problem_strength_1_5","frequency_1_5","household_collaboration_value_1_5","retention_potential_1_5","differentiation_1_5","dutch_market_relevance_1_5","monetization_potential_1_5","technical_complexity_1_5","privacy_risk_1_5","safety_risk_1_5","dependency_risk_1_5","time_to_usable_value_1_5","confidence_1_5","mvp_priority","alternative_if_not_now","human_decision_gate","owner_note"
"A11","Founder A: household collaboration","Out-of-stock flow","MODIFY","H2","A single unavailable flag does not resolve what the shopper should do","UNAVAILABLE state leading to skip approved substitute or decision request","This is the strongest differentiation observed in the benchmark gap","No complete structured flow verified in S01–S33; absence is a research gap not proof; founder brief defines need","Simplify if field study shows household rarely needs consultation","5","4","5","5","5","5","4","5","3","3","2","3","4","P0","Skip item or record unavailable without request","NO","Measure resolution before session end"
"A12","Founder A: household collaboration","Substitution decision","MODIFY","H2","Open-ended discussion is slow and unauditable","Bounded options with approve reject choose-one expiry and one canonical resolution","Turns coordination into an actionable decision rather than chat","Competitive matrix shows shared lists but no verified end-to-end substitution state machine","Change option set only after observing real in-store choices","5","4","5","5","5","5","4","5","3","3","2","3","4","P0","Pre-approved alternative or skip","NO","Idempotent first valid resolution"
"A13","Founder A: household collaboration","Photos of alternatives","MODIFY","H2","Photos create storage retention metadata and lock-screen privacy risks","Optional compressed decision attachment with expiry deletion controls and no default public URL","Visual evidence can resolve brand/size ambiguity quickly","S02 S04 S08 S11 document item photos; structured alternative-photo decision is not verified","Retain longer only if users revisit them and privacy review approves","4","3","5","3","4","5","2","4","4","2","3","3","4","P1","Text options and barcode/product name","YES: media retention/privacy","Strip metadata where practical"
"A14","Founder A: household collaboration","Actionable notifications","MODIFY","H3","Generic activity push creates noise and preference violations","Decision/item deep link with server-enforced preferences quiet hours dedupe and safe lock-screen copy","Notifications should shorten action time not broadcast every edit","S04 optional change push; S10 add/complete controls; S17 Cozi event alerts; brief notes existing enforcement gap","Add notification classes only when action rate and mute rate justify them","5","4","5","5","4","5","3","5","5","3","4","2","5","P0","In-app inbox/badge for non-urgent events","YES: consent/privacy and delivery review","No launch until backend enforces preferences"
"A15","Founder A: household collaboration","Household activity history","MODIFY","H1/H2","A comprehensive log becomes surveillance and costly retention","Minimal consequential audit: membership item resolution plan/share changes with actor and time","Supports trust undo and incident investigation without behavioral monitoring","S08 shared account and S18 full-access model show attribution weaknesses; brief requires explainability","Expand event set only for a concrete recovery or trust job; define retention","4","3","4","4","4","5","2","4","4","2","2","3","4","P1","Per-object recent changes","YES: privacy/retention","Not an engagement feed"
"A16","Founder A: household collaboration","Shared weekly meal planning","MODIFY","H4","A generic calendar broadens scope and competes with mature organizers","Food-only versioned Meal Board with slots proposals attendance and confirmation","Connects household intent to shopping without becoming a family calendar","S05 S16 S20 S22 document shared meal planning and plan-to-list expectations","Add monthly horizon only after weekly plan repeats and performs","5","4","5","5","3","5","4","5","3","2","2","2","5","P1","Single confirmed weekly board","NO","Do not build generic calendar"
"A17","Founder A: household collaboration","Meal suggestions by members","MODIFY","H4","Unstructured suggestions become chat and do not converge","MealProposal attached to a slot or backlog with proposer and rationale","Lets members contribute without negotiation sprawl","S20/S22 show collaborative plan edits; no need for generic chat","Add freeform discussion only if contextual comments cannot resolve observed cases","4","3","5","4","4","5","3","3","2","1","1","4","4","P1","Simple propose action","NO","Proposal is not canonical plan"
"A18","Founder A: household collaboration","Member attendance for meals","MODIFY","H4","Assuming every member attends causes wrong serving and shopping quantities","Per-slot yes/no/unknown attendance with explicit default and change cutoff","Attendance is the bridge between coordination servings and shopping","Founder core loop; competitor sources show shared planning but not household attendance semantics","Add guest counts after repeated use; no location inference","4","4","5","4","5","5","3","4","3","1","2","3","4","P1","Manual serving count if attendance unknown","YES: privacy review for visibility defaults","Unknown must not equal yes"
"A19","Founder A: household collaboration","Family voting/reactions","MODIFY","H4","Voting language implies algorithmic authority and social pressure","Lightweight yes/maybe/not-this-week reactions as input to a human confirmation","Low-cost signal supports convergence without opaque ranking","Founder brief explicitly rejects complex voting without evidence","Only test ranking if simple reactions repeatedly fail and fairness rules are explainable","3","3","5","3","3","5","2","3","2","1","1","4","5","P1","An authorized OWNER or ADULT confirms transparently","NO","No automatic winner"
"A20","Founder A: household collaboration","Automatic serving adjustment","IMPLEMENT_LATER","H6","Cross-surface inconsistency and unusable fractions can destroy trust","One serving transform covering ingredients nutrition step amounts shopping quantities and attendance under a unit policy","Valuable only after recipe and plan data are structurally reliable","S06 documents scaling; S27 shows serving-based amounts; brief requires consistency","Build when representative recipes pass unit/rounding invariants and Meal Board attendance is stable","4","4","4","4","3","5","4","5","2","3","3","2","4","P2","Manual serving value with warning; no partial auto-update","YES: nutrition/content correctness","Defer from MVP"
"A21","Founder A: household collaboration","Plan-to-shopping-list synchronization","MODIFY","H4","Blind regeneration can delete manual items duplicate ingredients or hide changes","Explainable reviewable diff with provenance semantic dedupe and idempotent apply","Plan-to-list is table stakes; integrity and explanation are the differentiation","S05 S16 S22 S32 document plan/recipe-to-list patterns","Auto-apply low-risk diffs only after correction and undo data support it","5","4","5","5","4","5","4","5","2","3","3","2","5","P1","User adds selected ingredients manually","NO","Never silently delete manual requests"
"A22","Founder A: household collaboration","Sharing weekly or monthly plans","MODIFY","H5","A live broad share can leak future routines and sensitive preferences","Versioned read-only plan snapshot with minimum scope; weekly first; monthly only after use evidence","External visibility can help coordination but is not foundational","S05 email/print; S22 share plan; S08 revocable scoped links","Add monthly view when weekly shares are repeatedly used and exposure is acceptable","3","2","3","3","3","4","3","4","5","2","2","3","4","P2","PDF/export or household-only view","YES: secure sharing/privacy","Default-off external share"
"A23","Founder A: household collaboration","External advisor review","VALIDATE_BEFORE_BUILD","H5","Advisor demand is unproven and can create medical expectations and data leakage","PLAN_REVIEWER scoped share principal can read comment and propose on a frozen plan snapshot but cannot write canonical state; PLAN_VIEWER is read-only","Potential differentiator but high trust cost and weak MVP evidence","No reviewed competitor source verifies professional review; brief prohibits medical claims","At least five pilot households use manual advisor review twice and pay/retain; legal/privacy review passes","2","1","3","2","5","3","4","5","5","5","3","1","3","P3","Export a read-only plan or issue a scoped PLAN_VIEWER principal","YES: legal/privacy/medical boundary","PLAN_VIEWER/PLAN_REVIEWER are scoped share principals not household roles; do not call clinical"
"A24","Founder A: household collaboration","Expiring/revocable links","IMPLEMENT_LATER","H5","Token security can be underestimated and links can outlive intent","Random single-purpose hashed token with expiry scope revoke audit noindex rate limits and PLAN_VIEWER/PLAN_REVIEWER principal scope","Required before any safe unauthenticated external sharing","S08 documents revocable scoped single-list link as a useful pattern","No external link without these controls; add renewable links only after audits","4","2","3","3","4","4","3","5","5","3","3","2","5","P2","Authenticated household access or a scoped share principal","YES: security review","Foundation architecture must reserve PLAN_VIEWER/PLAN_REVIEWER scopes"
"A25","Founder A: household collaboration","Comments and change proposals","MODIFY","H4/H5","Free-floating comments recreate chat and proposals may overwrite state","Comments attach to item meal proposal share or decision; proposal needs explicit accept/reject","Context and canonical-state separation keep collaboration actionable","S28 shows recipe comments but not household workflow; brief principle requires contextual collaboration","Add mentions/threading only if pilots cannot resolve within one contextual thread","4","3","5","4","4","5","3","4","3","2","2","3","4","P1","Structured reaction or decision option","NO","No generic inbox thread"
"B01","Founder B: SideChef-inspired","Recipe rating","MODIFY","H6","Generic stars are misleading with tiny samples and can be spammed before cooking","Verified Cook Feedback after acknowledged completion: taste difficulty time accuracy cook-again optional note","Creates household memory rather than vanity averages","S25 documents ratings/photos; brief defines post-cook verification and minimum sample","Show aggregates only after sample threshold; build when cook completion is trustworthy","3","3","2","4","3","5","3","4","3","2","2","3","4","P2","Private cook-again flag","NO","One editable active rating/user/recipe"
"B02","Founder B: SideChef-inspired","Serving adjustment","MERGE_WITH_ANOTHER_FEATURE","H6","Duplicates A20 and risks separate inconsistent implementations","Single Serving Transform capability shared by plan shopping nutrition and cook steps","One invariant-bearing system is safer than feature copies","S06 and S27; founder consistency requirements","Separate only if one surface has a proven independent data model and invariant","4","4","4","4","3","5","4","5","2","3","3","2","5","P2","See A20","YES: nutrition/content correctness","Canonical row A20"
"B03","Founder B: SideChef-inspired","Add recipe to meal plan","KEEP_AS_PROPOSED","H4","Must collect slot attendance servings and target household instead of blind add","Add-to-Meal-Board sheet with day meal type attendees servings and target","Expected bridge from recipe intent to household plan","S05 S22 document add-to-plan and plan collaboration","Simplify fields if defaults are proven safe and editable","4","4","4","4","2","5","3","3","2","1","1","4","5","P1","Add as unscheduled proposal","NO","Respect permissions and versioning"
"B04","Founder B: SideChef-inspired","Nutrition per serving","IMPLEMENT_LATER","H6","Missing data may display as zero and medical interpretation/privacy risk is high","Source-labelled estimated per-serving nutrition with completeness/null state and non-medical copy","Useful to some users but not required for household coordination MVP","S27 documents nutrition per serving; S24 illustrates sensitive health/nutrition footprint; S33 paid nutrition pattern","Build after source license quality thresholds privacy review and user demand","3","3","2","3","2","4","4","5","5","5","4","1","4","P3","Hide nutrition when incomplete; link source where allowed","YES: legal/privacy/content","No health outcome claims"
"B05","Founder B: SideChef-inspired","Voice-guided cooking","VALIDATE_BEFORE_BUILD","H6","Permission language Persian support and graceful failure are unproven; continuous recording is unacceptable","Push-to-enable command navigation with next previous repeat pause amount step; full visual parity","Hands-busy value is plausible but technically and accessibility dependent","S25 verifies guided visual cooking but current official source did not verify voice guidance","Hands-busy study plus Persian command accuracy visual fallback and microphone privacy pass","3","3","1","3","3","4","3","5","5","3","5","1","2","P3","Large one-handed controls and screen wake","YES: privacy/accessibility","Do not claim Persian before test"
"B06","Founder B: explicitly removed","Standalone timer feature based on handwritten item 6","REJECT","NOT_BUILT","Founder explicitly removed it; generic timers are native and unrelated to household coordination","No standalone timer; existing recipe-step timers may remain","Adds background/notification/test surface without differentiated user value","Founder brief explicit exclusion; S25 shows built-in recipe timers as embedded cook context only","No reconsideration in Household OS v1; a future step-linked timer requires separate evidence","2","3","1","1","1","3","1","2","1","1","1","5","5","REJECTED","Use device timer or retain existing cook-step timer","NO","Explicitly rejected"
"B07","Founder B: SideChef-inspired","Pantry-based recipe suggestions","IMPLEMENT_LATER","H6","Stale pantry data creates false certainty and poor suggestions","Explain present/missing/use-soon ingredients and confidence; require correction path","Can strengthen pantry-to-plan loop only after inventory integrity","S25 ingredient-at-home filtering; S29 inventory/expiry; S23 automated food list","Build when pantry freshness/correction metrics pass and explanations test well","4","3","3","4","3","5","4","5","3","2","4","1","4","P3","Manual filter by ingredients and use-soon list","NO","No fake certainty or AI label"
"B08","Founder B: SideChef-inspired","Recipe discovery slider","MODIFY","H6","Meaningless swiping optimizes engagement instead of a plan decision","What should we cook constrained by pantry attendance time preferences and recent repeats; yes/maybe/not-this-week/propose","Only valuable if it speeds household convergence","S25/S32 show discovery/personalization; no evidence that swipe mechanics improve household decisions","Prototype only if search/proposals fail; retain if time-to-plan improves without lower plan quality","2","2","3","3","2","4","3","4","3","2","4","2","3","P3","Curated shortlist with filters","NO","No addictive infinite swipe"
"B09","Founder B: SideChef-inspired","Receipt scan and pantry update","LEGAL_REVIEW_REQUIRED","H6_LATER","OCR errors duplicates brand/unit ambiguity and receipt personal data make silent updates unsafe","Photo → extract → review → match purchased items → confirm quantities → optional pantry update; deletion control","May reduce entry burden but is costly and privacy-sensitive","S30 documents receipt/photo capture; S29 data-safety caveat; S21/S22 show reviewed shopping/food-list linkage","20+ target-market receipts; measured correction/cost; retention/vendor/legal architecture approved","3","3","2","3","3","5","4","5","5","3","5","1","3","P3","Manual confirm purchased items and pantry additions","YES: legal/privacy/vendor","Never auto-update pantry"
"C01","Founder C: Kitchen Stories-inspired","Recipe import from video/social sources or user input","LEGAL_REVIEW_REQUIRED","H6_LATER","Copyright platform terms unsupported scraping media rights and extraction errors","Supported-source import to PRIVATE_DRAFT with attribution uncertainty review duplicate detection and deletion","Useful capture but not worth rights/privacy risk in MVP","S26 documents social/video/web/screenshot/handwritten import; S28 private drafts","Legal supported-source policy and extraction correction target pass; no scraping bypass","3","3","2","3","3","5","4","5","5","3","5","1","4","P3","Manual private recipe entry or URL bookmark","YES: legal/privacy/content rights","No automatic public publishing"
"C02","Founder C: commercial observation","Free-trial / annual-pricing observation","REJECT","COMMERCIAL_RESEARCH","Pricing mechanic is not a product feature and no paid value boundary is proven","Record as packaging hypothesis after retention and willingness-to-pay evidence","Billing before repeated value distracts from product proof","S06 S17 S23 S26 show varied household/food pricing; presence is not validation for Garnish","Run pricing experiment after W4 repeated household cycles and billing/legal readiness","1","1","1","2","1","4","5","4","3","2","3","2","5","NOT_A_FEATURE","Research willingness to pay and packaging","YES: commercial/legal billing gate","Do not put trial in feature backlog"
"C03","Founder C: Kitchen Stories-inspired","Visual step-by-step cooking with per-step ingredient amounts","IMPLEMENT_LATER","H6","Requires reliable step-ingredient mappings and content QA across serving changes","Visual cook mode with per-step quantities remaining ingredients optional media and evidence-backed safety notes","Strong cook UX but not needed to prove household coordination","S27 demonstrates step-specific ingredient amounts/media; S28 authoring mappings","Representative content completeness and serving invariant tests pass","4","4","1","4","2","5","3","5","2","3","3","2","5","P2","Current recipe steps with full ingredient list","NO","Accessibility and RTL required"
"C04","Founder C: Kitchen Stories-inspired","Manual recipe import","IMPLEMENT_LATER","H6","Manual import can accidentally publish copied content and is tedious without drafts","Private manual recipe draft with source attribution fields review and duplicate detection","Lower legal/technical risk than automated social import but still secondary","S28 documents manual private-draft authoring pattern","Build after private recipe model exists and households request capture repeatedly","3","2","1","3","2","5","3","3","3","2","2","2","4","P3","Save source URL and note","YES: content rights policy","Private by default"
"X01","Explicit exclusion","Public household profiles","REJECT","NOT_BUILT","Exposes family composition/routines with no core-job value","Private household only","High privacy/reputation risk and no coordination benefit","Founder product principles; S18/S24 show why household/sensitive scope matters","Only under a separate privacy-reviewed product strategy with proven demand","1","1","1","1","1","2","1","4","5","4","3","2","5","REJECTED","Private membership directory","YES: privacy/legal","No public discovery"
"X02","Explicit exclusion","Social feed","REJECT","NOT_BUILT","Creates moderation ranking and engagement theater","Consequential object-scoped activity history only","Does not help plan shop cook loop","Founder product principles","No reconsideration within Household OS","1","1","1","1","1","2","1","5","5","4","4","1","5","REJECTED","Scoped recent changes","YES: safety/privacy","No engagement feed"
"X03","Explicit exclusion","Generic group chat / family chat","REJECT","NOT_BUILT","Competes with mature messengers and buries actions in prose","Contextual comments plus structured decisions","Decision not chat is the core principle","Founder product principles; shared-list competitors already coexist with messaging","Reconsider only a specific contextual need unsupported by bounded workflows","2","4","3","2","1","4","1","5","5","4","3","2","5","REJECTED","Deep link to existing messenger if user chooses","YES: privacy/moderation","No standalone messenger"
"X04","Explicit exclusion","Always-on GPS tracking","REJECT","NOT_BUILT","Surveillance battery consent and safety risk","Explicit Shopping Session with optional manual store","Not necessary to know who is shopping","Founder product principles; S07 shows even optional location reminders need explicit permission","Separate safety-reviewed use case proves necessity and strict default-off minimization","1","2","1","1","1","3","1","5","5","5","5","1","5","REJECTED","User starts session manually","YES: privacy/legal","No background location"
"X05","Explicit exclusion","Autonomous shopping / purchasing / payment","REJECT","NOT_BUILT","Financial fraud retailer liability substitutions and refund complexity","Human-reviewed list and deliberate retailer handoff","Human decision must remain at purchase","Founder product principles; S21 shows manual retailer checkout handoff","Only after separate commerce strategy contracts liability and confirmation controls","2","2","1","2","2","4","5","5","5","5","5","1","5","REJECTED","Export cart/list to retailer","YES: legal/financial/security","No payment credentials"
"X06","Explicit exclusion","Child social accounts","REJECT","NOT_BUILT","Child privacy consent moderation and abuse risk","Later MANAGED_PROFILE non-authenticated managed principal with guardian control and no public/social surface","Household participation does not require child social identity","Founder product principles; S19 documents child/registration constraints","MANAGED_PROFILE research and child-safety/legal review pass","2","2","3","2","2","4","2","5","5","5","4","1","5","REJECTED","Guardian records attendance/preferences","YES: child safety/legal","Authenticated adult household roles first"
"X07","Explicit exclusion","Public recipe community","REJECT","NOT_BUILT","Copyright moderation ranking and cold-start costs in a crowded market","Private household recipes/imports only","Does not prove coordination value","Founder product principles; S28 shows community publication requires review","Separate community thesis after private capture retention and moderation/legal capability","2","2","1","2","1","4","3","5","5","4","4","1","5","REJECTED","Private share within household","YES: legal/moderation","No public publish"
"X08","Explicit exclusion","Marketplace","REJECT","NOT_BUILT","Payments liquidity disputes tax trust and supply are a separate business","No marketplace","Extreme scope divergence","Founder product principles","Core household retention plus validated two-sided supply/demand and separate operating plan","1","1","1","1","1","2","3","5","5","5","5","1","5","REJECTED","External links only where safe","YES: legal/financial","Do not bundle into OS v1"
"X09","Explicit exclusion","Nutritionist marketplace","REJECT","NOT_BUILT","Credentials medical boundary liability sensitive data and payments","Scoped non-clinical advisor proposal only after validation","Highest-risk form of premature marketplace","Founder product principles; S24 sensitive health data footprint","Separate regulated strategy with credentialing legal insurance and demand","1","1","2","1","2","2","4","5","5","5","5","1","5","REJECTED","Read-only plan export","YES: medical/legal/privacy","No clinical positioning"
"X10","Explicit exclusion","Complex voting algorithm without evidence","REJECT","NOT_BUILT","Opaque social choice can marginalize members and overengineer a small group decision","Simple reactions plus human confirmation","Households need convergence not ranking sophistication","Founder product principles","Only after simple reactions repeatedly fail and fairness/explainability testing passes","1","2","3","1","1","4","1","5","3","3","4","1","5","REJECTED","Yes/maybe/not-this-week","YES: fairness/product review","No AI winner selection"
"X11","Explicit exclusion","Generic notification center","REJECT","NOT_BUILT","Duplicates activity history and encourages noisy announcement events","Action inbox limited to unresolved decisions and failed/required actions","Notification should complete work","Founder product positioning and principles; S10 demonstrates narrow event controls","Add a broader inbox only if users miss resolvable work across objects","2","3","3","2","1","4","1","4","4","2","3","2","5","REJECTED","Object-scoped alerts and recent activity","NO","Do not mirror every event"
"X12","Explicit exclusion","Fake AI label for deterministic logic","REJECT","NOT_BUILT","Misleads users and investors and weakens explainability","Name deterministic matching rules accurately; label model use and uncertainty when real","Trust is more valuable than AI theater","Founder product principles; S23 shows competitors use AI claims but does not validate need","Only label AI when a model materially performs the function and evaluation/disclosure exist","1","1","1","1","1","3","1","1","3","2","2","5","5","REJECTED","Rules-based suggestions with explanation","YES: claims/reputation review","No pitch inflation"
"X13","Explicit exclusion","Medical claims","REJECT","NOT_BUILT","Unvalidated advice can harm users and trigger regulatory exposure","Estimated non-medical nutrition with source/completeness when approved","Advisor sharing does not create clinical software","Founder product principles; S24 shows health-data sensitivity","Only under separately approved clinical evidence/regulatory strategy","1","1","1","1","1","3","2","5","5","5","5","1","5","REJECTED","General food coordination copy","YES: medical/legal","No diagnose/treat/prevent claims"
"X14","Explicit exclusion","All household data visible to every member by default","REJECT","NOT_BUILT","Violates individual privacy and creates unsafe scoped-share or MANAGED_PROFILE access","Field-level privacy and purpose-based sharing defaults for household roles MANAGED_PROFILE and PLAN_VIEWER/PLAN_REVIEWER","Household is not blanket consent","Founder privacy principle; S18 documents full-access model as negative benchmark","Broaden a field only with explicit informed opt-in and permission tests","1","1","1","1","1","5","1","5","5","4","3","1","5","REJECTED","Share only coordination fields","YES: privacy/security","Default-off sensitive fields"
"X15","Explicit product-positioning exclusion","Generic weekly calendar","REJECT","NOT_BUILT","Competes with mature family calendars and expands into unrelated household scheduling","Food-only Meal Board with attendance confirmation and plan versioning","Calendar breadth does not strengthen the food coordination loop","Founder product positioning; S16/S17 show mature calendar-centered competition","Only under a separate validated family-organizer strategy; not within Household OS v1","2","3","2","2","1","4","2","5","4","2","4","1","5","REJECTED","Integrate/export meal events to an existing calendar later","YES: product scope/privacy","Do not recreate Cozi"
"X16","Explicit product-positioning exclusion","Shared-grocery-list-only product direction","REJECT","NOT_BUILT","Shared lists are commodity and cannot defend the stated Household OS thesis","Use the list as substrate for explainable plan-to-shop and unavailable/substitution decisions","Official benchmark shows broad shared-list parity","S01 S04 S08 S10 S12 S15 S20","Reconsider product direction only if user research rejects the broader coordination job and a list-only business has viable distribution/economics","3","5","3","2","1","5","2","2","2","1","1","5","5","REJECTED","Build minimum shared-list foundation but do not stop there","YES: founder/investor product gate","Not a feature rejection; a positioning rejection"
"N01","Advisor synthesis","Explainable shopping-item provenance","IMPLEMENT_IN_FOUNDATION","H2","Without provenance users cannot trust generated items or plan diffs","Record requester source meal reason and allowed alternatives as typed contributions","Differentiates an OS workflow from a shared checklist","Founder explainability principle; S05/S22 establish plan-to-list commodity baseline","Reduce visible detail only if usability shows overload; retain audit data","5","5","5","5","5","5","4","5","3","2","2","2","5","P0","At minimum requester and source meal","NO","Required for safe dedupe/removal"
"N02","Advisor synthesis","Offline outbox and conflict visibility","IMPLEMENT_IN_FOUNDATION","H2","Hidden offline failure makes in-store completion untrustworthy","Durable local queue idempotent replay reconnect state and explicit conflict recovery","Connectivity loss is normal in stores","S15 explicitly documents offline edits/sync; S08 documents server connectivity dependence","Simplify merge policy only after conflict telemetry; do not remove offline visibility","5","4","5","5","4","5","3","5","3","3","4","1","4","P0","Read-only cached list if safe queued writes cannot ship","YES: architecture/security","Test two devices/tabs and restart"
"N03","Advisor synthesis","Semantic dedupe and idempotency","IMPLEMENT_IN_FOUNDATION","H2","Retries and concurrent plan/list edits can create duplicate semantic items or double decisions","Database-enforced identity where possible plus idempotency keys and deterministic merge policy","Reliability is product value and a launch prerequisite","Founder baseline names ShoppingItem/PantryItem race risk and MealSlot duplicate risk","Never remove; tune normalization only with measured false merges","5","4","5","5","4","5","2","5","2","3","2","1","5","P0","Manual conflict UI for ambiguous matches","YES: data architecture","Do not broad-normalize unrelated data"
"N04","Advisor synthesis","Server-enforced notification preferences and quiet hours","IMPLEMENT_IN_FOUNDATION","H3","Frontend toggles without scheduler enforcement violate user choice","Server policy at enqueue/delivery with category consent quiet hours dedupe and audit","Known baseline gap blocks trustworthy notifications","Founder baseline notification enforcement gap; S10/S04 show user-controlled notification patterns","Urgent bypass only after explicit opt-in and measured necessity","5","4","5","5","4","5","3","5","5","3","4","2","5","P0","In-app actions without push","YES: consent/privacy","Kill switch required"
"N05","Advisor synthesis","Advisor proposal cannot overwrite canonical plan","IMPLEMENT_IN_FOUNDATION","H5","External write access turns a convenience link into data-integrity and consent risk","Separate AdvisorProposal accepted/rejected by authorized household member","Preserves household authority and clear audit","No competitor source verifies this workflow; founder principle requires human gate","Never allow direct canonical write; streamline household acceptance only with audit","4","2","4","3","5","4","3","5","5","4","3","1","5","P2","Read-only advisor comment","YES: security/privacy","Hard H5 invariant"
